suite,problem,size,ams,nvar,ncon,nnzj,nnzh,tobj,tcon,tgrad,tjac,thess,thprod,tjprod,tjtprod,tcreate
COPS,bearing,"(50, 50)",ExaModels,2704,208,208,26010,0.000190661,2.32e-7,0.000266495,1.02e-7,0.000264939,0.000271261,5.43e-7,2.63e-7,9.2626e-5
COPS,bearing,"(100, 100)",ExaModels,10404,408,408,102010,0.000738734,4.09e-7,0.001039083,1.76e-7,0.001040306,0.001057627,9.83e-7,1.808e-6,0.000291524
COPS,camshape,3200,ExaModels,3200,6403,16000,19195,1.8e-8,9.857e-6,3.78e-7,3.2159e-5,4.6978e-5,1.36e-7,3.1322e-5,3.4687e-5,0.00041414
COPS,camshape,6400,ExaModels,6400,12803,32000,38395,1.8e-8,1.9663e-5,1.484e-6,6.5552e-5,9.3683e-5,1.642e-6,6.256e-5,7.6605e-5,0.00087167
COPS,catmix,1600,ExaModels,36802,32002,140802,81591,1.0353e-5,0.000708195,2.2284e-5,0.001086921,0.000712991,6.5139e-5,0.001180555,0.001194067,0.002703487
COPS,catmix,3200,ExaModels,73602,64002,281602,163191,2.0683e-5,0.001426679,4.5734e-5,0.002185837,0.001437285,0.000131011,0.002365414,0.002399452,0.005988239
COPS,chain,3200,ExaModels,3200,2402,11191,6392,1.8e-8,7.196e-6,1.46e-7,2.0342e-5,2.7937e-5,1.37e-7,2.7614e-5,2.7986e-5,0.00021591
COPS,chain,6400,ExaModels,6400,4802,22391,12792,1.8e-8,1.4407e-5,1.623e-6,4.075e-5,5.6077e-5,1.559e-6,5.5206e-5,5.7298e-5,0.000399937
COPS,channel,3200,ExaModels,128000,128000,985581,76800,1.8e-8,0.001124254,3.6569e-5,0.002380171,0.00021657,3.6738e-5,0.003372303,0.003378539,0.016446655
COPS,channel,6400,ExaModels,256000,256000,1971181,153600,1.8e-8,0.002432774,7.4451e-5,0.005369748,0.000436207,7.4508e-5,0.006852122,0.007097067,0.034458463
COPS,elec,200,ExaModels,600,200,600,418500,0.000102058,3.99e-7,0.000260457,3.69e-7,0.001008845,0.001117667,1.16e-6,1.196e-6,0.000176909
COPS,elec,400,ExaModels,1200,400,1200,1677000,0.000413044,7.34e-7,0.001048694,6.97e-7,0.004184338,0.004496038,2.276e-6,2.332e-6,0.000602704
COPS,gasoil,1600,ExaModels,41603,41600,217590,90222,1.821e-6,0.001076554,1.3333e-5,0.001207112,0.001112355,1.4729e-5,0.001355215,0.001368621,0.003494585
COPS,gasoil,3200,ExaModels,83203,83200,435190,179822,1.822e-6,0.002154656,2.5487e-5,0.002423422,0.002229878,2.677e-5,0.00271102,0.002751391,0.0076864
COPS,glider,1600,ExaModels,8006,6407,44807,201600,1.8e-8,0.00040448,4.146e-6,0.000869121,0.006687976,2.027e-6,0.00087764,0.00089058,0.001833869
COPS,glider,3200,ExaModels,16006,12807,89607,403200,1.8e-8,0.000808729,6.428e-6,0.001737314,0.013357615,4.159e-6,0.00175253,0.001792299,0.002079644
COPS,marine,800,ExaModels,25615,25592,87176,59696,2.253e-6,0.00023384,1.059e-5,0.000261693,0.000245281,1.2311e-5,0.000386048,0.00037768,0.002078639
COPS,marine,1600,ExaModels,51215,51192,174376,118896,2.263e-6,0.000472213,1.856e-5,0.000537655,0.000481561,1.9921e-5,0.00077539,0.000760487,0.004364535
COPS,methanol,1600,ExaModels,48005,48000,259188,394101,1.6e-6,0.001143495,1.4649e-5,0.001320347,0.00187377,1.5688e-5,0.001526559,0.0015027,0.004331413
COPS,methanol,3200,ExaModels,96005,96000,518388,787701,1.641e-6,0.0022907,2.8825e-5,0.002658212,0.003732381,2.9355e-5,0.003034384,0.003008954,0.009449504
COPS,minsurf,"(50, 50)",ExaModels,2704,3696,3696,36414,0.000181575,5.339e-6,0.000396133,1.266e-6,0.000597144,0.000630757,5.542e-6,5.46e-6,0.000294493
COPS,minsurf,"(100, 100)",ExaModels,10404,13516,13516,142814,0.000701359,1.9697e-5,0.001570915,5.895e-6,0.002365122,0.002493694,2.001e-5,2.0624e-5,0.001065251
COPS,pinene,1600,ExaModels,80005,80000,366380,168385,1.279e-6,0.001718689,2.3719e-5,0.001803919,0.001536471,2.3512e-5,0.00206906,0.002158591,0.007478513
COPS,pinene,3200,ExaModels,160005,160000,732780,336385,1.327e-6,0.003445997,4.7203e-5,0.003631052,0.003087079,4.7254e-5,0.004135252,0.004324557,0.016027161
COPS,polygon,1600,ExaModels,1600,320401,1280000,3203990,5.048e-6,0.004034982,1.2413e-5,0.007496434,0.015555993,2.7358e-5,0.007874841,0.007878638,0.029015696
COPS,polygon,3200,ExaModels,3200,1280801,5120000,12807990,1.013e-5,0.016285909,2.4893e-5,0.033687585,0.069311432,5.6923e-5,0.031567907,0.031743158,0.140550412
COPS,robot,800,ExaModels,7210,4812,28812,53600,1.8e-8,4.8279e-5,1.876e-6,0.000126255,0.000280615,1.777e-6,0.000136524,0.000133121,0.000478598
COPS,robot,1600,ExaModels,14410,9612,57612,107200,1.8e-8,9.64e-5,3.734e-6,0.000252197,0.000566608,3.857e-6,0.000265969,0.000266497,0.000882796
COPS,rocket,6400,ExaModels,25605,19204,121604,377600,1.8e-8,0.000191678,7.016e-6,0.000433118,0.001512953,7.007e-6,0.000479643,0.000474438,0.001581908
COPS,rocket,12800,ExaModels,51205,38404,243204,755200,1.8e-8,0.00038415,1.457e-5,0.000886914,0.003054907,1.4292e-5,0.000965304,0.000957414,0.003130796
COPS,steering,6400,ExaModels,32006,25608,128008,153600,1.8e-8,0.000153866,8.848e-6,0.00036955,0.000566152,8.889e-6,0.000428147,0.000447686,0.002038532
COPS,steering,12800,ExaModels,64006,51208,256008,307200,1.8e-8,0.000308291,1.8234e-5,0.000761881,0.001161986,1.8258e-5,0.000870084,0.000904698,0.004479395
COPS,torsion,"(50, 50)",ExaModels,2704,2704,2704,26010,5.2146e-5,3.943e-6,0.000107483,1.044e-6,0.000104992,0.000111059,3.318e-6,3.432e-6,0.000226253
COPS,torsion,"(100, 100)",ExaModels,10404,10404,10404,102010,0.000204289,1.5217e-5,0.000419184,4.825e-6,0.000416264,0.000435801,1.2813e-5,1.2982e-5,0.000891141
COPS,dirichlet,20,ExaModels,33199,24261,197154,227097,1.8e-8,0.001639594,9.282e-6,0.003823396,0.004587564,8.997e-6,0.003905094,0.003928014,0.025056717
COPS,dirichlet,40,ExaModels,63379,45501,376534,434997,1.8e-8,0.003141333,1.8172e-5,0.007273175,0.008776317,1.7884e-5,0.007462799,0.007506041,0.047340361
