suite,problem,size,ams,nvar,ncon,nnzj,nnzh,tobj,tcon,tgrad,tjac,thess,thprod,tjprod,tjtprod,tcreate
LV,rosenrock,1000,JuMP,1000,998,2994,6989,6.54e-7,5.474e-6,2.0093e-5,0.000170572,0.001223186,0.00092109,0.000170876,0.000171981,0.119007629
LV,rosenrock,10000,JuMP,10000,9998,29994,69989,5.585e-6,0.000141193,0.000242775,0.00248671,0.023653262,0.015202787,0.00247396,0.002460177,1.472701135
LV,wood,1000,JuMP,1000,993,2979,4978,6.56e-7,2.979e-6,4.3081e-5,0.000127867,0.001011322,0.000846664,0.000129342,0.000126467,0.05290625
LV,wood,10000,JuMP,10000,9993,29979,49978,5.585e-6,0.000130562,0.000474738,0.001606526,0.016784931,0.012554776,0.001613288,0.001568003,0.85238285
LV,chained_powell,1000,JuMP,1000,2,4,2504,6.58e-7,6.61e-7,2.5357e-5,7.86e-7,0.00032228,0.000304882,7.87e-7,9.18e-7,0.011984223
LV,chained_powell,10000,JuMP,10000,2,4,25004,5.583e-6,5.601e-6,0.000277077,5.758e-6,0.003488103,0.003282104,5.735e-6,8.38e-6,0.147200267
LV,cragg_levy,1000,JuMP,1000,998,2994,5991,6.55e-7,3.78e-6,2.0569e-5,0.000149977,0.001086642,0.000827429,0.000150122,0.000151317,0.059393759
LV,cragg_levy,10000,JuMP,10000,9998,29994,59991,5.597e-6,0.000132567,0.000234742,0.001802947,0.019100481,0.011311931,0.001835071,0.001813922,0.811332267
LV,broyden_tridiagonal,1000,JuMP,1000,996,4980,7977,6.54e-7,6.73e-6,2.2281e-5,0.000174664,0.00141867,0.001105045,0.000175863,0.000175329,0.0863173
LV,broyden_tridiagonal,10000,JuMP,10000,9996,49980,79977,5.583e-6,0.000151288,0.000266145,0.003361202,0.027299252,0.018146221,0.003573029,0.003307493,1.176870269
LV,trigo_tridiagonal,1000,JuMP,1000,4,14,1015,6.62e-7,7.16e-7,1.3871e-5,1.128e-6,0.00017046,0.00018369,9.3e-7,4.725e-6,0.019510829
LV,trigo_tridiagonal,10000,JuMP,10000,4,14,10015,5.592e-6,5.65e-6,0.000158339,6.119e-6,0.001745168,0.00193419,5.92e-6,3.0205e-5,0.199158873
LV,augmented_lagrangian,1000,JuMP,1000,998,2994,3998,6.57e-7,3.03e-6,1.3833e-5,0.000117653,0.00064485,0.000478473,0.00012115,0.000117503,0.069590784
LV,augmented_lagrangian,10000,JuMP,10000,9998,29994,39998,5.597e-6,0.000130424,0.000150216,0.00150156,0.01111283,0.007064662,0.001568799,0.001470811,0.829863241
LV,modified_brown,1000,JuMP,1000,6,30,1531,6.57e-7,7.29e-7,1.1243e-5,1.495e-6,0.000134975,0.000122491,1.207e-6,5.553e-6,0.00563355
LV,modified_brown,10000,JuMP,10000,6,30,15031,5.581e-6,5.665e-6,0.000127159,6.447e-6,0.001400252,0.001281489,6.176e-6,3.585e-5,0.063145679
LV,generalized_brown,1000,JuMP,1000,998,2994,2498,6.57e-7,4.0376e-5,1.0342e-5,0.000305421,0.000134056,0.000103587,4.067e-5,0.004435264,0.011366149
LV,generalized_brown,10000,JuMP,10000,9998,29994,24998,5.595e-6,0.000640455,0.000119854,0.003519043,0.001536605,0.001122449,0.000655843,0.292335911,0.13706467
LV,chained_hs46,1000,JuMP,1000,664,1992,3986,6.61e-7,2.131e-6,1.152e-5,4.3866e-5,0.00051757,0.000335947,4.3381e-5,4.4691e-5,0.035845573
LV,chained_hs46,10000,JuMP,10000,6664,19992,39986,5.591e-6,8.7856e-5,0.000127706,0.000895267,0.009444147,0.004251388,0.000873884,0.000883594,0.375628504
LV,chained_hs47,1000,JuMP,1000,746,1990,2988,4.392e-6,2.5789e-5,3.985e-6,0.000118664,6.297e-6,2.385e-6,2.5427e-5,0.00241748,0.004332245
LV,chained_hs47,10000,JuMP,10000,7496,19990,29988,4.3449e-5,0.000354554,3.2218e-5,0.001266773,0.000181883,2.4081e-5,0.000360761,0.137455233,0.048461853
LV,chained_hs48,1000,JuMP,1000,664,2656,2326,4.03e-6,2.6682e-5,3.4616e-5,0.00020707,5.783e-6,1.889e-6,2.7013e-5,0.002800267,0.004576802
LV,chained_hs48,10000,JuMP,10000,6664,26656,23326,3.9852e-5,0.000383698,0.000508088,0.002183932,0.000175528,1.927e-5,0.000377562,0.190113173,0.050454553
LV,chained_hs49,1000,JuMP,1000,664,1992,1994,6.63e-7,2.3308e-5,1.1523e-5,0.0001543,0.00017233,0.000147273,2.3688e-5,0.002651799,0.00795531
LV,chained_hs49,10000,JuMP,10000,6664,19992,19994,5.586e-6,0.000346272,0.000127555,0.00164911,0.001829608,0.001551097,0.000354234,0.169323353,0.095795711
LV,chained_hs50,1000,JuMP,1000,746,2238,2988,4.39e-6,3.4451e-5,3.99e-6,0.000164691,7.188e-6,2.405e-6,3.4141e-5,0.002883941,0.004718337
LV,chained_hs50,10000,JuMP,10000,7496,22488,29988,4.3443e-5,0.000412694,3.2237e-5,0.001715104,0.000200342,2.4077e-5,0.000413097,0.183239243,0.052834672
LV,chained_hs51,1000,JuMP,1000,746,1741,2241,6.6e-7,2.9289e-5,1.2669e-5,0.000138534,0.000160705,0.00012946,2.7872e-5,0.002801657,0.008245218
LV,chained_hs51,10000,JuMP,10000,7496,17491,22491,5.595e-6,0.000389733,0.000142323,0.001483936,0.001774252,0.001393353,0.000399515,0.175753309,0.097088098
LV,chained_hs52,1000,JuMP,1000,746,1741,2241,6.58e-7,2.5718e-5,1.0387e-5,0.000136658,0.000143779,0.000115236,2.5964e-5,0.002803023,0.007009291
LV,chained_hs52,10000,JuMP,10000,7496,17491,22491,5.587e-6,0.000403673,0.000119984,0.001509369,0.001558342,0.001225287,0.000411987,0.175337413,0.080239427
LV,chained_hs53,1000,JuMP,1000,746,1741,2241,6.68e-7,2.7844e-5,1.2684e-5,0.00014396,0.000162409,0.000130807,2.819e-5,0.002803869,0.006806757
LV,chained_hs53,10000,JuMP,10000,7496,17491,22491,5.594e-6,0.000403042,0.000142086,0.001515445,0.001767467,0.001405958,0.000406012,0.175426882,0.075614506
COPS,bearing,"(50, 50)",JuMP,2704,208,208,8008,2.0334e-5,2.15e-7,0.000143897,4.8e-8,1.416e-6,1.0624e-5,2.81e-7,3.23e-7,0.021568683
COPS,bearing,"(100, 100)",JuMP,10404,408,408,31008,7.8563e-5,3.97e-7,0.000568565,6.3e-8,5.171e-6,4.5999e-5,5.67e-7,1.791e-6,0.098262394
COPS,camshape,3200,JuMP,3200,6403,16000,9597,3.528e-6,0.000188685,0.000161298,0.000429629,8.4663e-5,1.46e-7,0.000189276,0.010896351,0.020053196
COPS,camshape,6400,JuMP,6400,12803,32000,19197,7.0e-6,0.000362444,0.00033087,0.000833568,0.000176766,1.674e-6,0.000365251,0.033695445,0.040955328
COPS,catmix,1600,JuMP,36802,32002,140802,19200,5.9e-8,0.000655885,0.000100618,0.002311719,0.0002453,1.0202e-5,0.000674702,0.81447345,0.142886861
COPS,catmix,3200,JuMP,73602,64002,281602,38400,6.0e-8,0.002161442,0.000200367,0.006004901,0.000523687,2.0936e-5,0.002039644,3.231567574,0.303516876
COPS,chain,3200,JuMP,3200,2402,11191,6392,5.3e-8,1.1676e-5,8.225e-6,0.000242565,0.001016062,1.46e-7,0.000245808,0.000246628,0.108763364
COPS,chain,6400,JuMP,6400,4802,22391,12792,5.4e-8,4.3391e-5,1.5665e-5,0.000495433,0.002300933,1.629e-6,0.00050223,0.000508466,0.217176409
COPS,channel,3200,JuMP,128000,128000,889587,25600,5.0e-8,0.003436362,0.000105299,0.008407427,0.000338172,3.6777e-5,0.003636936,4.736232867,0.786081038
COPS,channel,6400,JuMP,256000,256000,1779187,51200,5.0e-8,0.008202618,0.000209864,0.016779964,0.000758862,7.4526e-5,0.008563152,18.564517805,1.728280363
COPS,elec,200,JuMP,600,200,600,180900,4.44e-7,8.634e-6,0.001166629,1.6794e-5,1.808348116,0.018208118,8.05e-6,0.000375831,1.706651078
COPS,elec,400,JuMP,1200,400,1200,721800,7.66e-7,1.6726e-5,0.007733972,3.5278e-5,14.61887651,0.074677042,1.5883e-5,0.000891205,11.344995187
COPS,gasoil,1600,JuMP,41603,41600,217590,71002,1.595e-6,0.0003884,0.000396913,0.003115227,0.012976913,1.1102e-5,0.003283802,0.003272317,0.596991574
COPS,gasoil,3200,JuMP,83203,83200,435190,141402,1.596e-6,0.00089685,0.000769573,0.011200545,0.02994801,2.302e-5,0.012083537,0.011399296,1.326928704
COPS,glider,1600,JuMP,8006,6407,44807,99200,5.5e-8,0.000238722,2.1703e-5,0.005613942,0.033597789,2.059e-6,0.005090004,0.068514782,2.585394824
COPS,glider,3200,JuMP,16006,12807,89607,198400,5.4e-8,0.000610297,4.2531e-5,0.013530573,0.069506466,4.129e-6,0.011239315,0.253917773,5.785747387
COPS,marine,800,JuMP,25615,25592,87176,17784,6.42e-7,0.000407687,0.000245133,0.0013017,0.000164095,6.7e-6,0.00041561,0.33257653,0.081462209
COPS,marine,1600,JuMP,51215,51192,174376,35384,6.52e-7,0.001060434,0.000472019,0.003578282,0.000361085,1.4142e-5,0.001127788,1.305435701,0.169741413
COPS,methanol,1600,JuMP,48005,48000,259188,254883,1.324e-6,0.000445391,0.000450049,0.009042802,0.039633717,1.2728e-5,0.00713542,0.007375076,1.357105855
COPS,methanol,3200,JuMP,96005,96000,518388,509283,1.326e-6,0.001080858,0.000878838,0.016292461,0.084593035,2.5593e-5,0.017948405,0.01908603,2.714281359
COPS,minsurf,"(50, 50)",JuMP,2704,3696,3696,10609,1.612e-6,3.432e-6,0.000191796,6.13e-7,0.00326823,0.003170533,4.744e-6,3.277e-6,0.088584267
COPS,minsurf,"(100, 100)",JuMP,10404,13516,13516,41209,5.814e-6,1.2585e-5,0.000891251,2.212e-6,0.016149578,0.015713259,1.7465e-5,1.225e-5,0.48215817
COPS,pinene,1600,JuMP,80005,80000,366380,48400,1.116e-6,0.00306324,0.000721872,0.006599328,0.000607836,2.1979e-5,0.003204563,3.813181014,0.308484296
COPS,pinene,3200,JuMP,160005,160000,732780,96400,1.117e-6,0.009202243,0.001433746,0.016432048,0.002632069,4.5009e-5,0.009455281,15.197311436,0.855658114
COPS,polygon,1600,JuMP,1600,320401,1280000,3201596,9.94e-7,0.01290825,1.2307e-5,0.163824848,0.731110992,0.261810166,0.161057773,0.155457583,27.908218365
COPS,polygon,3200,JuMP,3200,1280801,5120000,12803196,1.877e-6,0.060671086,2.4353e-5,0.688817164,3.541150842,1.233632962,0.697151863,0.697891265,134.048066644
COPS,robot,800,JuMP,7210,4812,28812,30400,5.3e-8,0.00019685,1.6506e-5,0.001205267,0.002707061,1.904e-6,0.00052313,0.058853052,0.245869866
COPS,robot,1600,JuMP,14410,9612,57612,60800,5.3e-8,0.000387396,3.2132e-5,0.002896511,0.008750998,3.689e-6,0.001174568,0.222131431,0.507151061
COPS,rocket,6400,JuMP,25605,19204,121604,185600,5.3e-8,0.000828114,6.6838e-5,0.009333341,0.026352933,6.492e-6,0.005073891,0.783060492,1.667908971
COPS,rocket,12800,JuMP,51205,38404,243204,371200,5.3e-8,0.00408508,0.000132717,0.021414378,0.054645201,1.3485e-5,0.013447685,3.077951328,3.318107543
COPS,steering,6400,JuMP,32006,25608,128008,89600,5.3e-8,0.0009958,7.0276e-5,0.00974315,0.018725072,8.601e-6,0.006057457,0.978055567,1.002595001
COPS,steering,12800,JuMP,64006,51208,256008,179200,5.3e-8,0.003126237,0.000139649,0.020733115,0.045527298,1.8177e-5,0.014274578,3.844725529,2.2524851
COPS,torsion,"(50, 50)",JuMP,2704,2704,2704,8008,2.0389e-5,2.505e-6,0.000143429,4.53e-7,1.367e-6,1.0522e-5,3.472e-6,2.52e-6,0.02437828
COPS,torsion,"(100, 100)",JuMP,10404,10404,10404,31008,7.8678e-5,9.738e-6,0.000566135,1.871e-6,4.854e-6,4.4124e-5,1.344e-5,9.753e-6,0.108887527
COPS,dirichlet,20,JuMP,11683,2743,35644,74233,5.3e-8,8.5416e-5,2.619e-5,0.00538236,0.069887519,3.0e-6,0.004339197,0.004520233,4.951224934
COPS,dirichlet,40,JuMP,22303,4423,69164,146873,5.3e-8,0.000168753,4.9236e-5,0.010253466,0.139450531,5.829e-6,0.009812026,0.010127902,10.34044289
