suite,problem,size,ams,nvar,ncon,nnzj,nnzh,tobj,tcon,tgrad,tjac,thess,thprod,tjprod,tjtprod,tcreate
LV,rosenrock,1000,ExaModels,1000,998,2994,8985,1.8e-8,2.4919e-5,4.469e-6,5.1434e-5,9.349e-5,1.0759e-5,5.135e-5,5.356e-5,6.423e-5
LV,rosenrock,10000,ExaModels,10000,9998,29994,89985,1.8e-8,0.000250308,4.531e-5,0.000517253,0.000940002,0.00010795,0.000518285,0.000542587,0.000655466
LV,wood,1000,ExaModels,1000,993,2979,6472,2.155e-6,2.743e-6,6.422e-6,9.473e-6,3.3088e-5,1.5062e-5,1.2635e-5,1.4e-5,6.1327e-5
LV,wood,10000,ExaModels,10000,9993,29979,64972,2.1316e-5,2.7587e-5,6.5118e-5,9.8031e-5,0.000330876,0.000152039,0.000127199,0.000140806,0.000640855
LV,chained_powell,1000,ExaModels,1000,2,4,3999,6.774e-6,9.2e-8,9.353e-6,9.1e-8,2.1222e-5,2.2177e-5,1.17e-7,1.61e-7,2.3226e-5
LV,chained_powell,10000,ExaModels,10000,2,4,39999,6.7815e-5,9.2e-8,9.5223e-5,9.1e-8,0.000210763,0.000223394,1.17e-7,2.456e-6,7.7734e-5
LV,cragg_levy,1000,ExaModels,1000,998,2994,7485,2.0747e-5,2.382e-6,3.0102e-5,9.279e-6,7.4764e-5,6.0479e-5,1.017e-5,1.1117e-5,6.6741e-5
LV,cragg_levy,10000,ExaModels,10000,9998,29994,74985,0.000208142,2.4103e-5,0.000303058,9.4732e-5,0.000750731,0.000603065,0.000102078,0.000111233,0.000647056
LV,broyden_tridiagonal,1000,ExaModels,1000,996,4980,10974,1.0211e-5,4.238e-6,1.8151e-5,1.2824e-5,6.004e-5,4.9656e-5,1.4415e-5,1.4812e-5,7.2978e-5
LV,broyden_tridiagonal,10000,ExaModels,10000,9996,49980,109974,0.000101942,4.2699e-5,0.000178057,0.000129305,0.000604216,0.000497434,0.000144723,0.000149536,0.000700303
LV,broyden_banded,1000,ExaModels,2000,1499,9477,13978,1.0212e-5,1.1809e-5,1.7705e-5,2.962e-5,9.9907e-5,4.4972e-5,3.6256e-5,3.3911e-5,0.00016171
LV,broyden_banded,10000,ExaModels,20000,14999,94977,139978,0.000101978,0.000117812,0.000179813,0.000296455,0.001010904,0.0004506,0.000362582,0.000339458,0.001257205
LV,trigo_tridiagonal,1000,ExaModels,1000,4,14,3009,2.0039e-5,7.7e-8,4.1316e-5,7.2e-8,6.1144e-5,6.2553e-5,1.0e-7,1.5e-7,2.8609e-5
LV,trigo_tridiagonal,10000,ExaModels,10000,4,14,30009,0.000202361,7.8e-8,0.000418797,7.1e-8,0.000613907,0.000629085,1.0e-7,2.433e-6,8.2352e-5
LV,augmented_lagrangian,1000,ExaModels,1000,998,2994,5398,4.731e-6,7.208e-6,9.701e-6,1.2257e-5,4.119e-5,2.6113e-5,1.4818e-5,1.4526e-5,7.3412e-5
LV,augmented_lagrangian,10000,ExaModels,10000,9998,29994,53998,4.7112e-5,7.2379e-5,9.5625e-5,0.000123963,0.000412352,0.00026387,0.000150017,0.000146531,0.000672792
LV,modified_brown,1000,ExaModels,1000,6,30,1531,4.429e-6,1.09e-7,7.518e-6,1.08e-7,1.2196e-5,1.2297e-5,1.45e-7,1.9e-7,4.9442e-5
LV,modified_brown,10000,ExaModels,10000,6,30,15031,4.4266e-5,1.09e-7,7.5831e-5,1.08e-7,0.000121622,0.000123405,1.45e-7,2.562e-6,0.000111426
LV,generalized_brown,1000,ExaModels,1000,998,2994,2998,2.579e-6,1.823e-6,1.6316e-5,6.531e-6,4.7324e-5,3.9272e-5,7.911e-6,7.26e-6,6.527e-5
LV,generalized_brown,10000,ExaModels,10000,9998,29994,29998,2.5731e-5,1.8331e-5,0.000165351,6.7336e-5,0.000475278,0.000395605,7.9585e-5,7.2747e-5,0.000688366
LV,chained_hs46,1000,ExaModels,1000,664,1992,4648,4.002e-6,5.949e-6,7.048e-6,1.0304e-5,2.7527e-5,1.2809e-5,1.1099e-5,1.1295e-5,5.8668e-5
LV,chained_hs46,10000,ExaModels,10000,6664,19992,46648,3.9993e-5,5.9332e-5,7.1514e-5,0.000103401,0.000276042,0.000130236,0.000110372,0.000113243,0.000483496
LV,chained_hs47,1000,ExaModels,1000,746,1990,3732,5.14e-7,1.074e-6,2.703e-6,1.225e-6,7.339e-6,5.163e-6,3.563e-6,3.663e-6,6.4464e-5
LV,chained_hs47,10000,ExaModels,10000,7496,19990,37482,4.928e-6,1.0725e-5,2.767e-5,1.3707e-5,7.3744e-5,5.2479e-5,3.5217e-5,3.6882e-5,0.000569701
LV,chained_hs48,1000,ExaModels,1000,664,2656,2988,4.85e-7,1.394e-6,2.428e-6,2.608e-6,5.196e-6,4.471e-6,4.682e-6,4.902e-6,5.7998e-5
LV,chained_hs48,10000,ExaModels,10000,6664,26656,29988,4.629e-6,1.3668e-5,2.4818e-5,2.8811e-5,5.1776e-5,4.548e-5,4.6872e-5,4.963e-5,0.000485483
LV,chained_hs49,1000,ExaModels,1000,664,1992,2656,4.001e-6,1.169e-6,7.054e-6,2.374e-6,1.3207e-5,1.2753e-5,2.865e-6,2.957e-6,5.7477e-5
LV,chained_hs49,10000,ExaModels,10000,6664,19992,26656,4.0002e-5,1.1953e-5,7.1531e-5,2.5634e-5,0.000133755,0.000129453,2.9012e-5,3.0455e-5,0.000478047
LV,chained_hs50,1000,ExaModels,1000,746,2238,3236,5.16e-7,1.328e-6,2.7e-6,2.317e-6,7.142e-6,5.173e-6,5.035e-6,5.009e-6,6.5341e-5
LV,chained_hs50,10000,ExaModels,10000,7496,22488,32486,4.92e-6,1.3613e-5,2.7791e-5,2.4453e-5,7.1268e-5,5.2514e-5,5.1156e-5,5.0721e-5,0.000562087
LV,chained_hs51,1000,ExaModels,1000,746,1741,2489,2.015e-6,9.84e-7,3.579e-6,9.35e-7,7.376e-6,6.797e-6,2.43e-6,2.468e-6,6.0929e-5
LV,chained_hs51,10000,ExaModels,10000,7496,17491,24989,2.0005e-5,1.0136e-5,3.6625e-5,1.0723e-5,7.6771e-5,6.8606e-5,2.5129e-5,2.5241e-5,0.000561125
LV,chained_hs52,1000,ExaModels,1000,746,1741,2489,2.096e-6,9.75e-7,3.627e-6,9.46e-7,7.648e-6,6.824e-6,2.401e-6,2.491e-6,6.0664e-5
LV,chained_hs52,10000,ExaModels,10000,7496,17491,24989,2.0783e-5,9.974e-6,3.7422e-5,1.0729e-5,7.9248e-5,6.9e-5,2.4856e-5,2.5416e-5,0.000555127
LV,chained_hs53,1000,ExaModels,1000,746,1741,2489,2.016e-6,9.75e-7,3.578e-6,9.34e-7,7.318e-6,6.802e-6,2.436e-6,2.468e-6,6.2661e-5
LV,chained_hs53,10000,ExaModels,10000,7496,17491,24989,1.9984e-5,9.947e-6,3.6627e-5,1.0758e-5,7.6076e-5,6.859e-5,2.5131e-5,2.5348e-5,0.0005608
