suite,problem,size,ams,nvar,ncon,nnzj,nnzh,tobj,tcon,tgrad,tjac,thess,tcreate
OPF-polar,pglib_opf_case3_lmbd.m,pglib_opf_case3_lmbd.m,JuMP,24,28,97,134,6.3e-8,3.77e-7,8.41e-7,1.651e-6,9.772e-6,0.001278821
OPF-polar,pglib_opf_case5_pjm.m,pglib_opf_case5_pjm.m,JuMP,44,53,191,264,6.3e-8,6.85e-7,9.38e-7,3.274e-6,1.9202e-5,0.002330596
OPF-polar,pglib_opf_case14_ieee.m,pglib_opf_case14_ieee.m,JuMP,118,169,612,881,6.1e-8,2.002e-6,1.136e-6,1.1213e-5,6.5136e-5,0.007173664
OPF-polar,pglib_opf_case24_ieee_rts.m,pglib_opf_case24_ieee_rts.m,JuMP,266,315,1208,1695,1.31e-7,3.854e-6,2.133e-6,1.974e-5,0.000158584,0.013630692
OPF-polar,pglib_opf_case30_ieee.m,pglib_opf_case30_ieee.m,JuMP,236,348,1245,1806,6.1e-8,3.958e-6,1.492e-6,2.2577e-5,0.000171634,0.014912964
OPF-polar,pglib_opf_case30_as.m,pglib_opf_case30_as.m,JuMP,236,348,1245,1812,7.3e-8,4.248e-6,1.608e-6,2.244e-5,0.000173312,0.014910089
OPF-polar,pglib_opf_case39_epri.m,pglib_opf_case39_epri.m,JuMP,282,401,1401,2024,6.6e-8,4.235e-6,1.9e-6,2.3781e-5,0.000196999,0.016371507
OPF-polar,pglib_opf_case57_ieee.m,pglib_opf_case57_ieee.m,JuMP,448,675,2418,3523,6.4e-8,8.199e-6,2.332e-6,5.2494e-5,0.000351921,0.029076363
OPF-polar,pglib_opf_case60_c.m,pglib_opf_case60_c.m,JuMP,518,737,2699,3884,8.4e-8,9.738e-6,3.087e-6,7.2845e-5,0.000392334,0.031468072
OPF-polar,pglib_opf_case73_ieee_rts.m,pglib_opf_case73_ieee_rts.m,JuMP,824,987,3802,5349,2.95e-7,1.2319e-5,5.626e-6,0.000102638,0.000535943,0.044602601
OPF-polar,pglib_opf_case89_pegase.m,pglib_opf_case89_pegase.m,JuMP,1042,1649,6395,9310,6.8e-8,2.7068e-5,4.973e-6,0.000232133,0.000942923,0.076817724
OPF-polar,pglib_opf_case118_ieee.m,pglib_opf_case118_ieee.m,JuMP,1088,1539,5703,8198,7.6e-8,2.1075e-5,5.648e-6,0.000189311,0.000856689,0.067259449
OPF-polar,pglib_opf_case162_ieee_dtc.m,pglib_opf_case162_ieee_dtc.m,JuMP,1484,2313,8579,12530,6.9e-8,4.8311e-5,6.681e-6,0.000305316,0.001308977,0.103318373
OPF-polar,pglib_opf_case179_goc.m,pglib_opf_case179_goc.m,JuMP,1468,2200,7989,11612,8.7e-8,3.4805e-5,7.331e-6,0.000285266,0.001189831,0.096792124
OPF-polar,pglib_opf_case197_snem.m,pglib_opf_case197_snem.m,JuMP,1608,2397,8659,12592,9.5e-8,3.7204e-5,8.787e-6,0.000288486,0.00132308,0.102697757
OPF-polar,pglib_opf_case200_activ.m,pglib_opf_case200_activ.m,JuMP,1456,2116,7431,10815,1.52e-7,3.0044e-5,8.037e-6,0.000238336,0.001202361,0.088977998
OPF-polar,pglib_opf_case240_pserc.m,pglib_opf_case240_pserc.m,JuMP,2558,3617,13727,19712,2.08e-7,7.005e-5,1.7275e-5,0.000426266,0.002494973,0.164948737
OPF-polar,pglib_opf_case300_ieee.m,pglib_opf_case300_ieee.m,JuMP,2382,3478,12500,18115,1.22e-7,6.9472e-5,1.2674e-5,0.00041028,0.002082796,0.153383794
OPF-polar,pglib_opf_case500_goc.m,pglib_opf_case500_goc.m,JuMP,4254,6097,22214,32123,3.63e-7,0.000147327,2.7933e-5,0.000723647,0.00584068,0.302981135
OPF-polar,pglib_opf_case588_sdet.m,pglib_opf_case588_sdet.m,JuMP,4110,5979,20839,30252,1.58e-7,0.00011962,2.4139e-5,0.000702497,0.005246601,0.282482974
OPF-polar,pglib_opf_case793_goc.m,pglib_opf_case793_goc.m,JuMP,5432,7978,27681,40316,2.54e-7,0.000160422,3.1651e-5,0.000945021,0.008383113,0.489174041
OPF-polar,pglib_opf_case1354_pegase.m,pglib_opf_case1354_pegase.m,JuMP,11192,16646,61333,88686,3.42e-7,0.000429834,8.2888e-5,0.004410223,0.022038699,0.922430325
OPF-polar,pglib_opf_case1803_snem.m,pglib_opf_case1803_snem.m,JuMP,15246,23172,84547,123216,3.05e-7,0.000485879,9.8341e-5,0.005953457,0.030787072,1.150306585
OPF-polar,pglib_opf_case1888_rte.m,pglib_opf_case1888_rte.m,JuMP,14480,21494,76556,111409,4.06e-7,0.000476758,0.0001071,0.005236283,0.028455464,1.173264228
OPF-polar,pglib_opf_case1951_rte.m,pglib_opf_case1951_rte.m,JuMP,15018,22075,78637,114248,4.51e-7,0.000427021,0.000114079,0.005357914,0.029388968,1.280841704
OPF-polar,pglib_opf_case2000_goc.m,pglib_opf_case2000_goc.m,JuMP,19008,29432,109591,160098,5.65e-7,0.000665387,0.000123612,0.008908744,0.043315077,1.494419446
OPF-polar,pglib_opf_case2312_goc.m,pglib_opf_case2312_goc.m,JuMP,17128,25716,91153,132924,3.86e-7,0.000578565,0.000109108,0.00734387,0.035452565,1.345313046
OPF-polar,pglib_opf_case2383wp_k.m,pglib_opf_case2383wp_k.m,JuMP,17004,25039,87535,127424,1.3e-7,0.000500308,9.7069e-5,0.006359916,0.033017477,1.395719989
OPF-polar,pglib_opf_case2736sp_k.m,pglib_opf_case2736sp_k.m,JuMP,19088,28356,98612,143837,1.44e-7,0.000575843,0.000108787,0.007796172,0.038586274,1.461002267
OPF-polar,pglib_opf_case2737sop_k.m,pglib_opf_case2737sop_k.m,JuMP,18988,28358,98515,143842,1.22e-7,0.000559257,9.4345e-5,0.007998232,0.040089313,1.718771083
OPF-polar,pglib_opf_case2742_goc.m,pglib_opf_case2742_goc.m,JuMP,24540,38196,140570,205675,3.43e-7,0.000787952,0.000156981,0.012554163,0.052618655,2.29478973
