suite,problem,size,ams,nvar,ncon,nnzj,nnzh,tobj,tcon,tgrad,tjac,thess,thprod,tjprod,tjtprod,tcreate
OPF-polar,pglib_opf_case118_ieee.m,pglib_opf_case118_ieee.m,JuMP,1088,1539,5703,8198,7.5e-8,2.1296e-5,7.051e-6,0.000189791,0.000835595,8.2e-8,0.000161354,0.001093197,0.063842678
OPF-polar,pglib_opf_case1354_pegase.m,pglib_opf_case1354_pegase.m,JuMP,11192,16646,61333,88686,3.36e-7,0.000459333,0.00010887,0.004040448,0.020055302,3.122e-6,0.002712415,0.105146574,0.998078717
OPF-polar,pglib_opf_case2869_pegase.m,pglib_opf_case2869_pegase.m,JuMP,25086,37813,140724,203851,6.07e-7,0.001211329,0.000255514,0.013899298,0.049940606,7.144e-6,0.012436884,0.475587848,2.216342877
OPF-polar,pglib_opf_case9241_pegase.m,pglib_opf_case9241_pegase.m,JuMP,85568,130826,491980,713775,1.63e-6,0.00837936,0.001040891,0.049792389,0.186567118,2.5324e-5,0.044606865,5.309806675,9.283110076
OPF-rect,pglib_opf_case118_ieee.m,pglib_opf_case118_ieee.m,JuMP,1088,1775,6561,7460,7.5e-8,7.3168e-5,7.057e-6,0.000271782,0.000170798,8.1e-8,9.7353e-5,0.004388217,0.01947406
OPF-rect,pglib_opf_case1354_pegase.m,pglib_opf_case1354_pegase.m,JuMP,11192,19354,71813,83234,3.37e-7,0.001097096,0.000109115,0.005042839,0.003183122,2.964e-6,0.001558096,0.327351132,0.285764628
OPF-rect,pglib_opf_case2869_pegase.m,pglib_opf_case2869_pegase.m,JuMP,25086,43551,163607,188462,6.08e-7,0.004886482,0.00025557,0.012587605,0.012068032,7.174e-6,0.006807737,1.560192919,0.723945281
OPF-rect,pglib_opf_case9241_pegase.m,pglib_opf_case9241_pegase.m,JuMP,85568,149308,568661,651944,1.628e-6,0.020354829,0.001040469,0.049481798,0.052251209,2.5259e-5,0.030142125,17.917074307,3.483442085
OPF-polar,pglib_opf_case118_ieee.m,pglib_opf_case118_ieee.m,AMPL,1088,1539,5703,1814,1.92e-7,0.000140296,2.369e-6,0.000255715,0.000489512,4.8423e-5,0.000399369,0.000402054,0.007400235
OPF-polar,pglib_opf_case1354_pegase.m,pglib_opf_case1354_pegase.m,AMPL,11192,16646,61333,18866,2.472e-6,0.002768668,2.7499e-5,0.006044775,0.009420742,0.00091323,0.009687464,0.009680628,0.102004747
OPF-polar,pglib_opf_case2869_pegase.m,pglib_opf_case2869_pegase.m,AMPL,25086,37813,140724,42807,7.196e-6,0.010683367,9.8708e-5,0.019563387,0.037254763,0.002498371,0.027955832,0.027016101,0.265744455
OPF-polar,pglib_opf_case9241_pegase.m,pglib_opf_case9241_pegase.m,AMPL,85568,130826,491980,148747,4.06e-5,0.041140166,0.000921137,0.080005532,0.153701184,0.016907064,0.104727235,0.1046424,1.013192556
OPF-rect,pglib_opf_case118_ieee.m,pglib_opf_case118_ieee.m,AMPL,1088,1775,6561,1814,1.7e-7,0.000126174,7.79e-7,0.000292719,0.000801076,0.000144147,0.000469946,0.000468394,0.009544898
OPF-rect,pglib_opf_case1354_pegase.m,pglib_opf_case1354_pegase.m,AMPL,11192,19354,71813,18866,3.126e-6,0.002802484,1.0086e-5,0.007573096,0.022686764,0.002423547,0.010574267,0.010396089,0.139316077
OPF-rect,pglib_opf_case2869_pegase.m,pglib_opf_case2869_pegase.m,AMPL,25086,43551,163607,42807,5.65e-6,0.008572411,1.962e-5,0.019242414,0.070407845,0.007645744,0.028480043,0.028170326,0.341387499
OPF-rect,pglib_opf_case9241_pegase.m,pglib_opf_case9241_pegase.m,AMPL,85568,149308,568661,148747,4.1416e-5,0.032187245,0.000103099,0.074583396,0.288929602,0.04741225,0.104714357,0.105955876,1.372655674
