suite,problem,size,ams,nvar,ncon,nnzj,nnzh,tobj,tcon,tgrad,tjac,thess,thprod,tjprod,tjtprod,tcreate,bt_n,bt_spread
LV,chained_powell,2000,JuMP,2000,2,4,5004,1.599e-6,1.601e-6,4.3626e-5,1.72e-6,0.000554238,0.000481317,1.728e-6,2.003e-6,0.02542611,0,0.0
LV,broyden_banded,20,JuMP,40,29,171,238,1.33e-7,8.57e-7,5.04e-7,1.1366e-5,8.823e-6,6.439e-6,1.354e-6,3.6337e-5,0.000931882,0,0.0
LV,augmented_lagrangian,200000,JuMP,200000,199998,599994,799998,0.00014939,0.003586047,0.004342123,0.062012076,0.185210005,0.118466925,0.062812595,0.061260592,34.030389071,0,0.0
LV,chained_hs46,2000,JuMP,2000,1331,3993,7989,1.601e-6,5.084e-6,1.9549e-5,0.000108077,0.000833901,0.000503342,0.000112933,0.000113953,0.064609948,0,0.0
LV,chained_hs49,20,JuMP,20,12,36,38,1.28e-7,3.08e-7,3.33e-7,2.118e-6,2.154e-6,1.891e-6,2.95e-7,1.9247e-5,0.00013885,0,0.0
LV,chained_hs51,200000,JuMP,200000,149996,349991,449991,0.000149145,0.017099362,0.004089388,0.048279136,0.03628441,0.025054526,0.016920687,60.555937327,24.581283205,0,0.0
LV,chained_powell,2000,AMPL,2000,2,4,4998,6.574e-5,3.31e-7,4.6572e-5,5.81e-7,0.000151964,1.5247e-5,5.668e-6,9.081e-6,0.004747986,0,0.0
LV,broyden_banded,20,AMPL,40,29,171,87,1.069e-6,1.779e-6,6.23e-7,4.905e-6,1.0781e-5,4.397e-6,7.311e-6,7.397e-6,0.00022331,0,0.0
LV,augmented_lagrangian,200000,AMPL,200000,199998,599994,600000,0.022431376,0.020748431,0.023831034,0.03748228,0.123043462,0.085352898,0.047547979,0.047428905,1.894150569,0,0.0
LV,chained_hs46,2000,AMPL,2000,1331,3993,3997,4.2578e-5,4.8561e-5,2.8876e-5,9.4316e-5,0.000314345,7.445e-5,0.000159074,0.000159873,0.00649608,0,0.0
LV,chained_hs49,20,AMPL,20,12,36,26,4.66e-7,1.93e-7,2.45e-7,4.5e-7,1.325e-6,4.5e-7,1.171e-6,1.162e-6,6.0175e-5,0,0.0
LV,chained_hs51,200000,AMPL,200000,149996,349991,299995,0.006102635,0.005767239,0.00547639,0.012477516,0.02889956,0.009082408,0.020092074,0.020143411,0.745461528,0,0.0
COPS,catmix,200,JuMP,4602,4002,17602,2400,5.5e-8,5.4984e-5,1.1158e-5,0.000233825,9.461e-6,2.53e-7,5.5638e-5,0.016272127,0.012521273,0,0.0
COPS,dirichlet,5,JuMP,3718,1483,10504,19753,4.9e-8,1.9078e-5,6.997e-6,0.000505449,0.005921187,2.07e-7,0.000436717,0.000461912,0.818657285,0,0.0
COPS,gasoil,18000,JuMP,468003,468000,2447990,792602,1.08e-6,0.006281567,0.002979717,0.043267556,0.114305176,0.000143192,0.044584147,0.043338423,8.377454798,0,0.0
COPS,methanol,50,JuMP,1505,1500,8088,8403,8.39e-7,7.135e-6,1.208e-5,3.7627e-5,0.000445723,6.5e-7,4.3204e-5,4.2386e-5,0.025422658,0,0.0
COPS,polygon,10,JuMP,10,16,50,131,1.24e-7,1.46e-7,2.02e-7,6.73e-7,6.151e-6,3.36e-6,6.92e-7,6.95e-7,0.000505633,0,0.0
COPS,rocket,17000,JuMP,68005,51004,323004,493000,5.1e-8,0.003168575,0.000105025,0.02247376,0.041819082,1.2155e-5,0.014449164,5.62430805,4.263390295,0,0.0
