suite,problem,size,ams,nvar,ncon,nnzj,nnzh,tobj,tcon,tgrad,tjac,thess,thprod,tjprod,tjtprod,tcreate,bt_n,bt_spread
LV,rosenrock,20,ExaModels,20,18,54,165,1.9e-7,4.8e-7,3.61e-7,1.463e-6,1.703e-6,9.81e-7,1.102e-6,1.102e-6,2.1851e-5,0,0.0
LV,rosenrock,2000,ExaModels,2000,1998,5994,17985,3.967e-6,2.1931e-5,1.9026e-5,4.5887e-5,8.1734e-5,5.1117e-5,5.4323e-5,5.3041e-5,0.001551941,0,0.0
LV,rosenrock,200000,ExaModels,200000,199998,599994,1799985,0.000134985,0.000242007,0.000938633,0.001003114,0.001885071,0.004471536,0.001439369,0.001322087,0.206377121,0,0.0
LV,wood,20,ExaModels,20,13,39,102,2.5e-7,5.51e-7,4.8e-7,4.51e-7,9.61e-7,9.02e-7,6.81e-7,6.91e-7,1.7313e-5,0,0.0
LV,wood,2000,ExaModels,2000,1993,5979,12972,3.848e-6,2.075e-5,1.8655e-5,1.7322e-5,3.9454e-5,5.3802e-5,3.0528e-5,3.1509e-5,0.001558995,0,0.0
LV,wood,200000,ExaModels,200000,199993,599979,1299972,0.000275851,0.000200048,0.000813196,0.000469897,0.001456161,0.002740015,0.001073197,0.001043911,0.180235653,0,0.0
LV,chained_powell,20,ExaModels,20,2,4,79,2.7e-7,3.3e-7,4.9e-7,4.8e-7,9.81e-7,9.81e-7,6.31e-7,6.31e-7,2.0078e-5,0,0.0
LV,chained_powell,2000,ExaModels,2000,2,4,7999,9.808e-6,3.3e-7,2.4817e-5,4.5e-7,2.5398e-5,4.9714e-5,6.31e-7,7.72e-7,0.000585656,0,0.0
LV,chained_powell,200000,ExaModels,200000,2,4,799999,0.000265131,3.3e-7,0.000801374,4.5e-7,0.0006457,0.001791864,6.31e-7,1.8324e-5,0.072467933,0,0.0
LV,cragg_levy,20,ExaModels,20,18,54,135,4.7e-7,1.8e-7,7.51e-7,3.0e-7,1.263e-6,1.553e-6,5.41e-7,5.41e-7,2.0048e-5,0,0.0
LV,cragg_levy,2000,ExaModels,2000,1998,5994,14985,3.1429e-5,5.12e-6,5.4433e-5,1.0009e-5,9.3717e-5,0.000119616,2.0749e-5,2.0809e-5,0.001455389,0,0.0
LV,cragg_levy,200000,ExaModels,200000,199998,599994,1499985,0.000413922,7.0002e-5,0.000976685,0.000487551,0.001536251,0.004562849,0.00101637,0.000957288,0.181888475,0,0.0
LV,broyden_tridiagonal,20,ExaModels,20,16,80,194,4.7e-7,2.0e-7,8.11e-7,3.1e-7,1.312e-6,1.803e-6,6.01e-7,6.01e-7,2.9205e-5,0,0.0
LV,broyden_tridiagonal,2000,ExaModels,2000,1996,9980,21974,1.4958e-5,5.851e-6,2.9326e-5,1.2253e-5,4.9474e-5,8.4539e-5,2.7652e-5,3.1139e-5,0.00209643,0,0.0
LV,broyden_tridiagonal,200000,ExaModels,200000,199996,999980,2199974,0.000292944,5.849e-5,0.001088396,0.000752491,0.001633195,0.008505887,0.001605923,0.001805149,0.28856813,0,0.0
LV,broyden_banded,20,ExaModels,40,29,171,256,3.4e-7,2.284e-6,6.21e-7,2.906e-6,4.168e-6,1.703e-6,3.427e-6,3.447e-6,8.9279e-5,0,0.0
LV,broyden_banded,2000,ExaModels,4000,2999,18981,27976,1.4707e-5,1.7603e-5,3.4405e-5,3.7782e-5,9.7655e-5,9.8536e-5,6.3621e-5,6.5724e-5,0.002948677,0,0.0
LV,broyden_banded,200000,ExaModels,400000,299999,1899981,2799976,0.000259341,0.000139884,0.001104158,0.00181335,0.002942896,0.007746581,0.004292679,0.005770043,0.395399253,0,0.0
LV,trigo_tridiagonal,20,ExaModels,20,4,14,69,4.5e-7,7.11e-7,9.02e-7,8.81e-7,1.944e-6,1.492e-6,1.072e-6,1.072e-6,2.652e-5,0,0.0
LV,trigo_tridiagonal,2000,ExaModels,2000,4,14,6009,3.2812e-5,7.22e-7,4.9944e-5,8.91e-7,5.4252e-5,7.5403e-5,1.092e-6,1.263e-6,0.000521406,0,0.0
LV,trigo_tridiagonal,200000,ExaModels,200000,4,14,600009,0.000592811,7.01e-7,0.001410568,8.71e-7,0.000992627,0.001720243,1.062e-6,1.9277e-5,0.062421557,0,0.0
LV,augmented_lagrangian,20,ExaModels,20,18,54,106,2.5e-7,2.3e-7,5.11e-7,3.4e-7,9.52e-7,1.183e-6,6.01e-7,6.01e-7,2.4506e-5,0,0.0
LV,augmented_lagrangian,2000,ExaModels,2000,1998,5994,10798,5.791e-6,9.017e-6,2.3915e-5,1.6501e-5,5.0215e-5,6.4001e-5,2.8915e-5,2.6771e-5,0.001155445,0,0.0
LV,augmented_lagrangian,200000,ExaModels,200000,199998,599994,1079998,0.000118594,7.2908e-5,0.000518289,0.000517358,0.000961817,0.00236604,0.001161013,0.001144813,0.137337664,0,0.0
LV,modified_brown,20,ExaModels,20,6,30,61,2.3e-7,1.763e-6,4.3e-7,2.064e-6,2.514e-6,8.01e-7,2.344e-6,2.334e-6,4.7891e-5,0,0.0
LV,modified_brown,2000,ExaModels,2000,6,30,3031,6.071e-6,1.793e-6,1.6962e-5,2.063e-6,1.5199e-5,3.3113e-5,2.334e-6,2.535e-6,0.000216098,0,0.0
