suite,problem,size,ams,nvar,ncon,nnzj,nnzh,tobj,tcon,tgrad,tjac,thess,thprod,tjprod,tjtprod,tcreate,bt_n,bt_spread
LV,rosenrock,20,ExaModels,20,18,54,165,2.0e-8,2.9e-7,7.0e-8,5.9e-7,1.04e-6,1.4e-7,6.0e-7,6.3e-7,7.31e-6,0,0.0
LV,rosenrock,2000,ExaModels,2000,1998,5994,17985,2.0e-8,2.718e-5,5.31e-6,6.191e-5,0.00011436,1.109e-5,6.239e-5,6.5041e-5,4.948e-5,0,0.0
LV,rosenrock,200000,ExaModels,200000,199998,599994,1799985,2.0e-8,0.00273967,0.000564352,0.006285673,0.011580172,0.001162545,0.006300743,0.006570904,0.00817133,0,0.0
LV,wood,20,ExaModels,20,13,39,102,7.0e-8,6.0e-8,1.0e-7,1.0e-7,3.0e-7,1.8e-7,1.5e-7,1.6e-7,5.27e-6,0,0.0
LV,wood,2000,ExaModels,2000,1993,5979,12972,3.23e-6,2.62e-6,8.7e-6,1.131e-5,3.733e-5,1.661e-5,1.601e-5,1.795e-5,4.896e-5,0,0.0
LV,wood,200000,ExaModels,200000,199993,599979,1299972,0.000321131,0.000263191,0.000908943,0.001144704,0.003809534,0.001676246,0.001624446,0.001810637,0.00837186,0,0.0
LV,chained_powell,20,ExaModels,20,2,4,79,1.0e-7,6.0e-8,1.4e-7,7.0e-8,3.0e-7,2.5e-7,8.0e-8,9.0e-8,8.49e-6,0,0.0
LV,chained_powell,2000,ExaModels,2000,2,4,7999,7.34e-6,7.0e-8,1.307e-5,7.0e-8,2.4111e-5,2.505e-5,8.0e-8,2.1e-7,1.567e-5,0,0.0
LV,chained_powell,200000,ExaModels,200000,2,4,799999,0.000737133,7.0e-8,0.001703416,6.0e-8,0.003253751,0.003937985,9.0e-8,1.491e-5,0.000552922,0,0.0
LV,cragg_levy,20,ExaModels,20,18,54,135,2.6e-7,6.0e-8,3.3e-7,1.3e-7,7.5e-7,6.2e-7,1.3e-7,1.8e-7,6.44e-6,0,0.0
LV,cragg_levy,2000,ExaModels,2000,1998,5994,14985,2.599e-5,2.13e-6,3.528e-5,1.246e-5,8.275e-5,6.736e-5,1.035e-5,1.427e-5,5.448e-5,0,0.0
LV,cragg_levy,200000,ExaModels,200000,199998,599994,1499985,0.00261055,0.000214381,0.003545673,0.001279655,0.008376811,0.006791265,0.001044543,0.001441856,0.008344641,0,0.0
LV,broyden_tridiagonal,20,ExaModels,20,16,80,194,1.4e-7,8.0e-8,2.5e-7,1.5e-7,6.9e-7,6.1e-7,1.6e-7,2.0e-7,9.35e-6,0,0.0
LV,broyden_tridiagonal,2000,ExaModels,2000,1996,9980,21974,1.07e-5,3.67e-6,2.202e-5,1.567e-5,7.23e-5,5.873e-5,1.443e-5,1.892e-5,5.661e-5,0,0.0
LV,broyden_tridiagonal,200000,ExaModels,200000,199996,999980,2199974,0.001077734,0.000368641,0.002234358,0.001614865,0.007469437,0.005916472,0.001459245,0.001905677,0.008511691,0,0.0
LV,broyden_banded,20,ExaModels,40,29,171,256,1.5e-7,1.8e-7,2.6e-7,4.1e-7,1.08e-6,5.4e-7,3.7e-7,4.5e-7,4.288e-5,0,0.0
LV,broyden_banded,2000,ExaModels,4000,2999,18981,27976,1.169e-5,1.127e-5,2.262e-5,4.03e-5,0.000114331,5.105e-5,3.678e-5,4.575e-5,0.000129421,0,0.0
LV,broyden_banded,200000,ExaModels,400000,299999,1899981,2799976,0.001173565,0.001137135,0.002289168,0.004144335,0.011712153,0.005160629,0.003719264,0.004616217,0.014638744,0,0.0
LV,trigo_tridiagonal,20,ExaModels,20,4,14,69,2.4e-7,5.0e-8,4.6e-7,6.0e-8,6.9e-7,6.8e-7,6.0e-8,8.0e-8,1.107e-5,0,0.0
LV,trigo_tridiagonal,2000,ExaModels,2000,4,14,6009,2.386e-5,5.0e-8,4.877e-5,6.0e-8,7.06e-5,7.203e-5,6.0e-8,2.0e-7,1.693e-5,0,0.0
LV,trigo_tridiagonal,200000,ExaModels,200000,4,14,600009,0.002395809,5.0e-8,0.004915448,6.0e-8,0.007118246,0.007262916,6.0e-8,1.474e-5,0.000346292,0,0.0
LV,augmented_lagrangian,20,ExaModels,20,18,54,106,9.0e-8,1.1e-7,1.4e-7,1.6e-7,4.7e-7,3.2e-7,1.9e-7,2.0e-7,9.72e-6,0,0.0
LV,augmented_lagrangian,2000,ExaModels,2000,1998,5994,10798,5.24e-6,7.17e-6,1.118e-5,1.5421e-5,4.643e-5,2.954e-5,1.646e-5,1.727e-5,6.015e-5,0,0.0
LV,augmented_lagrangian,200000,ExaModels,200000,199998,599994,1079998,0.000524602,0.000725512,0.001143294,0.001544155,0.004742477,0.002986661,0.001657986,0.001765006,0.008616471,0,0.0
LV,modified_brown,20,ExaModels,20,6,30,61,9.0e-8,7.0e-8,1.1e-7,7.0e-8,2.1e-7,1.9e-7,1.0e-7,1.1e-7,2.376e-5,0,0.0
LV,modified_brown,2000,ExaModels,2000,6,30,3031,6.57e-6,7.0e-8,8.2e-6,7.0e-8,1.358e-5,1.587e-5,9.0e-8,2.2e-7,2.838e-5,0,0.0
LV,modified_brown,200000,ExaModels,200000,6,30,300031,0.000655633,7.0e-8,0.000824033,7.0e-8,0.001366495,0.001611256,9.0e-8,1.473e-5,0.000358011,0,0.0
LV,generalized_brown,20,ExaModels,20,18,54,58,7.0e-8,6.0e-8,2.3e-7,1.0e-7,5.8e-7,5.2e-7,1.2e-7,1.3e-7,4.98e-6,0,0.0
LV,generalized_brown,2000,ExaModels,2000,1998,5994,5998,5.15e-6,1.63e-6,2.043e-5,9.02e-6,5.955e-5,4.891e-5,8.16e-6,9.54e-6,5.7141e-5,0,0.0
LV,generalized_brown,200000,ExaModels,200000,199998,599994,599998,0.000514942,0.00016277,0.002056128,0.001068794,0.006016422,0.004935508,0.000824663,0.000960314,0.008557992,0,0.0
LV,chained_hs46,20,ExaModels,20,11,33,79,7.0e-8,9.0e-8,9.0e-8,1.3e-7,3.2e-7,1.6e-7,1.6e-7,1.6e-7,6.87e-6,0,0.0
LV,chained_hs46,2000,ExaModels,2000,1331,3993,9319,4.57e-6,6.22e-6,7.71e-6,1.308e-5,3.528e-5,1.496e-5,1.345e-5,1.394e-5,4.818e-5,0,0.0
LV,chained_hs46,200000,ExaModels,200000,133331,399993,933319,0.000448402,0.000624082,0.000779783,0.001330115,0.003564984,0.001513246,0.001366056,0.001404835,0.006032062,0,0.0
LV,chained_hs47,20,ExaModels,20,11,30,57,5.0e-8,6.0e-8,9.0e-8,5.0e-8,1.0e-7,8.0e-8,9.0e-8,9.0e-8,8.441e-6,0,0.0
LV,chained_hs47,2000,ExaModels,2000,1496,3990,7482,1.54e-6,1.16e-6,8.51e-6,1.92e-6,9.481e-6,6.8e-6,4.85e-6,5.27e-6,5.645e-5,0,0.0
LV,chained_hs47,200000,ExaModels,200000,149996,399990,749982,0.000153331,0.000118851,0.000901483,0.000200781,0.000976573,0.000688342,0.000459542,0.000516532,0.006893555,0,0.0
LV,chained_hs48,20,ExaModels,20,12,48,54,3.0e-8,6.0e-8,5.0e-8,6.0e-8,8.0e-8,8.0e-8,1.0e-7,1.0e-7,6.68e-6,0,0.0
LV,chained_hs48,2000,ExaModels,2000,1332,5328,5994,6.4e-7,1.46e-6,3.34e-6,3.66e-6,5.77e-6,5.84e-6,5.75e-6,6.55e-6,4.784e-5,0,0.0
LV,chained_hs48,200000,ExaModels,200000,133332,533328,599994,6.193e-5,0.00014917,0.000331061,0.000416152,0.000597182,0.000600092,0.000586212,0.000654522,0.006010861,0,0.0
LV,chained_hs49,20,ExaModels,20,12,36,48,7.0e-8,6.0e-8,1.0e-7,5.0e-8,1.8e-7,1.6e-7,8.0e-8,8.0e-8,6.0e-6,0,0.0
LV,chained_hs49,2000,ExaModels,2000,1332,3996,5328,4.45e-6,1.26e-6,7.77e-6,3.63e-6,1.608e-5,1.499e-5,3.52e-6,3.84e-6,4.649e-5,0,0.0
LV,chained_hs49,200000,ExaModels,200000,133332,399996,533328,0.000451992,0.000125091,0.000777483,0.000387581,0.001628076,0.001512065,0.000363531,0.000397552,0.006005851,0,0.0
LV,chained_hs50,20,ExaModels,20,11,33,51,5.0e-8,6.0e-8,9.0e-8,5.0e-8,1.0e-7,9.0e-8,9.0e-8,9.0e-8,8.62e-6,0,0.0
LV,chained_hs50,2000,ExaModels,2000,1496,4488,6486,1.55e-6,1.33e-6,8.76e-6,3.24e-6,9.09e-6,6.87e-6,6.21e-6,6.65e-6,5.523e-5,0,0.0
LV,chained_hs50,200000,ExaModels,200000,149996,449988,649986,0.00015272,0.000131981,0.000913573,0.000337991,0.000920143,0.000688703,0.000635752,0.000708243,0.006898334,0,0.0
LV,chained_hs51,20,ExaModels,20,11,26,39,5.0e-8,7.0e-8,6.0e-8,4.0e-8,1.0e-7,1.0e-7,7.0e-8,9.0e-8,7.23e-6,0,0.0
LV,chained_hs51,2000,ExaModels,2000,1496,3491,4989,2.59e-6,1.23e-6,4.39e-6,1.59e-6,8.74e-6,8.74e-6,3.0e-6,3.43e-6,5.33e-5,0,0.0
LV,chained_hs51,200000,ExaModels,200000,149996,349991,499989,0.000257291,0.00011475,0.000450122,0.000167001,0.000894783,0.000885263,0.000317201,0.000353711,0.006947925,0,0.0
LV,chained_hs52,20,ExaModels,20,11,26,39,5.0e-8,7.0e-8,6.0e-8,4.0e-8,1.1e-7,1.0e-7,7.0e-8,9.0e-8,6.7e-6,0,0.0
LV,chained_hs52,2000,ExaModels,2000,1496,3491,4989,2.59e-6,1.09e-6,4.7e-6,1.62e-6,8.9e-6,8.54e-6,3.03e-6,3.47e-6,4.952e-5,0,0.0
LV,chained_hs52,200000,ExaModels,200000,149996,349991,499989,0.000258121,0.00011134,0.000480971,0.000167211,0.000920393,0.000859183,0.000313981,0.000349651,0.006803445,0,0.0
LV,chained_hs53,20,ExaModels,20,11,26,39,5.0e-8,6.0e-8,6.0e-8,4.0e-8,1.0e-7,1.0e-7,8.0e-8,8.0e-8,6.7e-6,0,0.0
LV,chained_hs53,2000,ExaModels,2000,1496,3491,4989,2.59e-6,1.07e-6,4.49e-6,1.61e-6,8.66e-6,8.71e-6,3.011e-6,3.44e-6,5.029e-5,0,0.0
LV,chained_hs53,200000,ExaModels,200000,149996,349991,499989,0.00025745,0.00011158,0.000448542,0.00016703,0.000891683,0.000883363,0.000313221,0.000356062,0.006782454,0,0.0
COPS,bearing,"(5, 5)",ExaModels,49,28,28,360,1.84e-6,6.0e-8,2.07e-6,3.0e-8,2.24e-6,2.47e-6,5.0e-8,6.0e-8,1.495e-5,0,0.0
COPS,bearing,"(35, 35)",ExaModels,1369,148,148,12960,5.822e-5,1.2e-7,6.5631e-5,6.0e-8,7.2111e-5,8.2551e-5,1.2e-7,1.8e-7,3.41e-5,0,0.0
COPS,bearing,"(320, 320)",ExaModels,103684,1288,1288,1030410,0.004413666,7.6e-7,0.004741247,4.2e-7,0.005204189,0.006046491,7.0e-7,7.74e-6,0.000802803,0,0.0
COPS,camshape,20,ExaModels,20,43,100,115,2.0e-8,9.0e-8,2.0e-8,1.7e-7,1.8e-7,2.0e-8,1.6e-7,1.9e-7,2.151e-5,0,0.0
COPS,camshape,2000,ExaModels,2000,4003,10000,11995,2.0e-8,3.1e-6,2.7e-7,1.337e-5,1.685e-5,1.4e-7,1.113e-5,1.445e-5,0.000128031,0,0.0
COPS,camshape,170000,ExaModels,170000,340003,850000,1019995,2.0e-8,0.000261041,2.813e-5,0.001166724,0.001611946,1.352e-5,0.000945473,0.001191524,0.016065697,0,0.0
