suite,problem,size,ams,nvar,ncon,nnzj,nnzh,tobj,tcon,tgrad,tjac,thess,thprod,tjprod,tjtprod,tcreate,bt_n,bt_spread
LV,rosenrock,20,ExaModels,20,18,54,165,1.5e-7,3.7e-7,3.0e-7,6.5e-7,1.27e-6,8.2e-7,8.9e-7,8.8e-7,1.705e-5,0,0.0
LV,rosenrock,2000,ExaModels,2000,1998,5994,17985,1.158e-5,2.186e-5,2.593e-5,4.026e-5,7.89e-5,9.5961e-5,5.5821e-5,5.5901e-5,0.00152957,0,0.0
LV,rosenrock,200000,ExaModels,200000,199998,599994,1799985,0.000348873,0.000659424,0.001788752,0.00159471,0.003206481,0.008138345,0.003964507,0.003940147,0.169207918,0,0.0
LV,wood,20,ExaModels,20,13,39,102,1.9e-7,4.0e-7,3.9e-7,3.6e-7,8.1e-7,8.1e-7,5.6e-7,5.7e-7,1.26e-5,0,0.0
LV,wood,2000,ExaModels,2000,1993,5979,12972,3.82e-6,2.37e-5,3.292e-5,2.259e-5,4.645e-5,8.8871e-5,4.084e-5,4.055e-5,0.00148348,0,0.0
LV,wood,200000,ExaModels,200000,199993,599979,1299972,0.000248221,0.000143821,0.001925642,0.000380962,0.001254878,0.006011599,0.002676177,0.002687457,0.166681004,0,0.0
LV,chained_powell,20,ExaModels,20,2,4,79,2.1e-7,2.7e-7,3.9e-7,3.4e-7,7.4e-7,7.6e-7,5.0e-7,5.2e-7,1.494e-5,0,0.0
LV,chained_powell,2000,ExaModels,2000,2,4,7999,7.29e-6,2.7e-7,3.444e-5,3.3e-7,2.028e-5,7.4041e-5,5.1e-7,6.9e-7,0.000458463,0,0.0
LV,chained_powell,200000,ExaModels,200000,2,4,799999,0.000805855,2.7e-7,0.001995413,3.3e-7,0.000769385,0.004824961,5.1e-7,1.65e-5,0.068216993,0,0.0
LV,cragg_levy,20,ExaModels,20,18,54,135,3.6e-7,1.8e-7,5.8e-7,2.3e-7,1.01e-6,1.22e-6,4.7e-7,4.5e-7,1.578e-5,0,0.0
