suite,problem,size,ams,nvar,ncon,nnzj,nnzh,tobj,tcon,tgrad,tjac,thess,thprod,tjprod,tjtprod,tcreate,bt_n,bt_spread
LV,rosenrock,20,ExaModels,20,18,54,165,1.4e-7,3.8e-7,3.0e-7,6.6e-7,1.23e-6,7.9e-7,9.4e-7,8.7e-7,1.703e-5,0,0.0
LV,rosenrock,2000,ExaModels,2000,1998,5994,17985,5.24e-6,1.968e-5,1.895e-5,3.3751e-5,7.076e-5,7.2791e-5,5.683e-5,5.666e-5,0.001531352,0,0.0
LV,rosenrock,200000,ExaModels,200000,199998,599994,1799985,0.000219121,0.000344113,0.001443971,0.000886047,0.001854705,0.006456292,0.002747592,0.002762863,0.173902198,0,0.0
LV,wood,20,ExaModels,20,13,39,102,1.9e-7,3.9e-7,3.7e-7,3.5e-7,8.3e-7,7.9e-7,5.5e-7,5.6e-7,1.33e-5,0,0.0
LV,wood,2000,ExaModels,2000,1993,5979,12972,3.82e-6,2.7701e-5,3.336e-5,2.128e-5,4.6921e-5,8.9711e-5,4.284e-5,4.31e-5,0.001581482,0,0.0
LV,wood,200000,ExaModels,200000,199993,599979,1299972,0.000140311,0.000131931,0.001387132,0.000395563,0.000871897,0.005717556,0.002440699,0.002501711,0.168706596,0,0.0
LV,chained_powell,20,ExaModels,20,2,4,79,2.1e-7,2.6e-7,3.6e-7,3.5e-7,7.4e-7,7.4e-7,5.0e-7,5.1e-7,1.504e-5,0,0.0
LV,chained_powell,2000,ExaModels,2000,2,4,7999,7.3e-6,2.6e-7,3.384e-5,3.4e-7,2.04e-5,7.544e-5,5.0e-7,6.7e-7,0.000487334,0,0.0
LV,chained_powell,200000,ExaModels,200000,2,4,799999,0.000440154,2.6e-7,0.001581693,3.3e-7,0.000535524,0.003824271,4.9e-7,1.6451e-5,0.081719932,0,0.0
LV,cragg_levy,20,ExaModels,20,18,54,135,3.6e-7,1.5e-7,5.7e-7,2.2e-7,9.7e-7,1.2e-6,4.7e-7,4.4e-7,1.5951e-5,0,0.0
LV,cragg_levy,2000,ExaModels,2000,1998,5994,14985,2.484e-5,5.12e-6,5.561e-5,1.509e-5,7.768e-5,0.000154061,3.048e-5,3.156e-5,0.001350201,0,0.0
LV,cragg_levy,200000,ExaModels,200000,199998,599994,1499985,0.000626356,2.5041e-5,0.001972676,0.000329873,0.001495872,0.006355092,0.002164717,0.002157868,0.152123822,0,0.0
LV,broyden_tridiagonal,20,ExaModels,20,16,80,194,3.7e-7,1.6e-7,6.2e-7,2.6e-7,1.13e-6,1.46e-6,5.2e-7,5.0e-7,2.307e-5,0,0.0
LV,broyden_tridiagonal,2000,ExaModels,2000,1996,9980,21974,1.183e-5,3.27e-6,2.4971e-5,1.211e-5,4.361e-5,7.6331e-5,2.433e-5,2.401e-5,0.001943496,0,0.0
LV,broyden_tridiagonal,200000,ExaModels,200000,199996,999980,2199974,0.000707465,9.7431e-5,0.001949746,0.000472374,0.001386621,0.008307207,0.003557049,0.003554809,0.235685389,0,0.0
LV,broyden_banded,20,ExaModels,40,29,171,256,2.4e-7,1.911e-6,4.7e-7,2.42e-6,3.39e-6,1.37e-6,2.86e-6,2.9e-6,6.4811e-5,0,0.0
LV,broyden_banded,2000,ExaModels,4000,2999,18981,27976,1.074e-5,1.097e-5,2.486e-5,2.896e-5,7.964e-5,0.000135211,7.055e-5,0.000114731,0.002423609,0,0.0
LV,broyden_banded,200000,ExaModels,400000,299999,1899981,2799976,0.000723946,0.000126391,0.002082137,0.00121631,0.002298809,0.011349101,0.007660672,0.00867435,0.323269673,0,0.0
LV,trigo_tridiagonal,20,ExaModels,20,4,14,69,3.5e-7,4.8e-7,7.4e-7,6.6e-7,1.44e-6,1.13e-6,8.1e-7,8.2e-7,1.737e-5,0,0.0
LV,trigo_tridiagonal,2000,ExaModels,2000,4,14,6009,3.143e-5,4.8e-7,5.1011e-5,6.5e-7,4.513e-5,7.509e-5,8.0e-7,9.9e-7,0.000533494,0,0.0
LV,trigo_tridiagonal,200000,ExaModels,200000,4,14,600009,0.000970458,4.9e-7,0.002975564,6.5e-7,0.001077879,0.003395828,8.1e-7,1.698e-5,0.07168183,0,0.0
LV,augmented_lagrangian,20,ExaModels,20,18,54,106,2.1e-7,1.9e-7,3.9e-7,2.9e-7,7.7e-7,9.4e-7,5.0e-7,5.0e-7,1.7991e-5,0,0.0
LV,augmented_lagrangian,2000,ExaModels,2000,1998,5994,10798,4.87e-6,1.202e-5,2.5951e-5,1.8711e-5,4.1971e-5,9.099e-5,3.488e-5,3.508e-5,0.000992588,0,0.0
LV,augmented_lagrangian,200000,ExaModels,200000,199998,599994,1079998,0.000192672,9.0221e-5,0.000715946,0.000355403,0.000876877,0.004285355,0.002187907,0.002188248,0.122099317,0,0.0
LV,modified_brown,20,ExaModels,20,6,30,61,1.9e-7,1.351e-6,3.5e-7,1.65e-6,2.0e-6,6.5e-7,1.88e-6,1.88e-6,3.529e-5,0,0.0
LV,modified_brown,2000,ExaModels,2000,6,30,3031,4.71e-6,1.37e-6,2.1501e-5,1.67e-6,1.242e-5,4.5111e-5,1.93e-6,2.12e-6,0.000189142,0,0.0
LV,modified_brown,200000,ExaModels,200000,6,30,300031,0.000409274,1.37e-6,0.000627225,1.67e-6,0.000250932,0.001453872,1.9e-6,1.889e-5,0.023787262,0,0.0
LV,generalized_brown,20,ExaModels,20,18,54,58,2.2e-7,1.5e-7,4.5e-7,2.0e-7,8.2e-7,9.8e-7,4.0e-7,4.1e-7,1.088e-5,0,0.0
LV,generalized_brown,2000,ExaModels,2000,1998,5994,5998,3.83e-6,5.79e-6,3.3641e-5,1.3e-5,5.5921e-5,9.1581e-5,3.035e-5,2.94e-5,0.000657426,0,0.0
LV,generalized_brown,200000,ExaModels,200000,199998,599994,599998,0.000417734,2.0401e-5,0.000760676,0.000361783,0.000883247,0.003091155,0.002371869,0.002310209,0.076604359,0,0.0
LV,chained_hs46,20,ExaModels,20,11,33,79,1.8e-7,2.9e-7,3.4e-7,3.8e-7,7.5e-7,6.7e-7,5.8e-7,6.2e-7,1.506e-5,0,0.0
LV,chained_hs46,2000,ExaModels,2000,1331,3993,9319,4.93e-6,5.45e-6,2.735e-5,1.029e-5,2.956e-5,7.3881e-5,3.609e-5,3.5051e-5,0.000739006,0,0.0
LV,chained_hs46,200000,ExaModels,200000,133331,399993,933319,0.000279022,9.796e-5,0.00124084,0.000296192,0.000739666,0.004466326,0.001499582,0.001655463,0.103326355,0,0.0
LV,chained_hs47,20,ExaModels,20,11,30,57,1.6e-7,4.2e-7,3.2e-7,5.0e-7,8.0e-7,6.1e-7,6.7e-7,6.8e-7,1.59e-5,0,0.0
LV,chained_hs47,2000,ExaModels,2000,1496,3990,7482,1.6e-6,1.96e-6,2.305e-5,2.52e-6,8.99e-6,6.019e-5,2.771e-5,2.79e-5,0.000596415,0,0.0
LV,chained_hs47,200000,ExaModels,200000,149996,399990,749982,7.609e-5,6.2751e-5,0.000792716,0.000274842,0.000507434,0.003558008,0.001524252,0.001645044,0.080605751,0,0.0
LV,chained_hs48,20,ExaModels,20,12,48,54,1.5e-7,2.5e-7,3.0e-7,3.5e-7,5.8e-7,5.8e-7,5.6e-7,5.7e-7,1.3361e-5,0,0.0
LV,chained_hs48,2000,ExaModels,2000,1332,5328,5994,1.35e-6,2.09e-6,2.537e-5,2.83e-6,5.59e-6,5.1211e-5,3.596e-5,3.44e-5,0.000600165,0,0.0
LV,chained_hs48,200000,ExaModels,200000,133332,533328,599994,9.4591e-5,5.5741e-5,0.00120173,0.000337663,0.000400343,0.002575951,0.002025456,0.002152737,0.08530795,0,0.0
LV,chained_hs49,20,ExaModels,20,12,36,48,1.8e-7,2.4e-7,3.4e-7,3.0e-7,6.2e-7,6.2e-7,5.1e-7,5.2e-7,1.275e-5,0,0.0
LV,chained_hs49,2000,ExaModels,2000,1332,3996,5328,4.91e-6,1.7e-6,2.7931e-5,2.25e-6,1.381e-5,5.892e-5,3.0011e-5,2.756e-5,0.000527964,0,0.0
LV,chained_hs49,200000,ExaModels,200000,133332,399996,533328,0.000301693,4.905e-5,0.001275481,0.000262453,0.000420954,0.00236799,0.001470932,0.001629223,0.072743798,0,0.0
LV,chained_hs50,20,ExaModels,20,11,33,51,1.6e-7,4.3e-7,3.0e-7,4.5e-7,7.6e-7,5.8e-7,6.5e-7,7.0e-7,1.514e-5,0,0.0
LV,chained_hs50,2000,ExaModels,2000,1496,4488,6486,1.6e-6,2.08e-6,2.271e-5,2.55e-6,8.38e-6,5.425e-5,3.018e-5,3.0371e-5,0.000545565,0,0.0
LV,chained_hs50,200000,ExaModels,200000,149996,449988,649986,7.2861e-5,6.79e-5,0.000907367,0.000305322,0.000445893,0.002753773,0.001767664,0.001831134,0.074978926,0,0.0
LV,chained_hs51,20,ExaModels,20,11,26,39,1.8e-7,3.9e-7,2.9e-7,4.9e-7,7.5e-7,5.4e-7,6.7e-7,6.8e-7,1.386e-5,0,0.0
LV,chained_hs51,2000,ExaModels,2000,1496,3491,4989,2.3e-6,1.71e-6,2.248e-5,2.21e-6,7.64e-6,4.8461e-5,2.6e-5,2.651e-5,0.000422133,0,0.0
LV,chained_hs51,200000,ExaModels,200000,149996,349991,499989,0.000202982,5.949e-5,0.000733316,0.000246292,0.000363963,0.002169507,0.001390441,0.001439931,0.060056065,0,0.0
LV,chained_hs52,20,ExaModels,20,11,26,39,1.7e-7,3.9e-7,2.8e-7,5.3e-7,7.4e-7,5.5e-7,7.0e-7,7.2e-7,1.342e-5,0,0.0
LV,chained_hs52,2000,ExaModels,2000,1496,3491,4989,2.34e-6,1.71e-6,2.298e-5,2.21e-6,7.83e-6,4.88e-5,2.5201e-5,2.582e-5,0.000418233,0,0.0
LV,chained_hs52,200000,ExaModels,200000,149996,349991,499989,0.000200271,5.753e-5,0.000736186,0.000247952,0.000366373,0.002172447,0.001355371,0.001381181,0.059824894,0,0.0
LV,chained_hs53,20,ExaModels,20,11,26,39,1.8e-7,3.8e-7,2.9e-7,5.2e-7,7.3e-7,5.4e-7,7.2e-7,7.1e-7,1.363e-5,0,0.0
LV,chained_hs53,2000,ExaModels,2000,1496,3491,4989,2.29e-6,1.75e-6,2.168e-5,2.2e-6,7.65e-6,4.5941e-5,2.635e-5,2.481e-5,0.000417393,0,0.0
LV,chained_hs53,200000,ExaModels,200000,149996,349991,499989,0.000203321,5.9761e-5,0.000609075,0.000247502,0.000364293,0.002135447,0.001366741,0.001416611,0.059658432,0,0.0
COPS,bearing,"(5, 5)",ExaModels,49,28,28,360,2.11e-6,5.4e-7,2.47e-6,6.9e-7,3.3e-6,3.45e-6,8.9e-7,8.9e-7,4.202e-5,0,0.0
COPS,bearing,"(35, 35)",ExaModels,1369,148,148,12960,9.8891e-5,6.2e-7,0.000102611,7.1e-7,8.1891e-5,0.000146401,1.18e-6,1.27e-6,0.00129981,0,0.0
COPS,bearing,"(320, 320)",ExaModels,103684,1288,1288,1030410,0.001481752,1.23e-6,0.003193616,1.05e-6,0.000966588,0.004832919,1.6101e-5,3.9871e-5,0.104745067,0,0.0
COPS,camshape,20,ExaModels,20,43,100,115,1.4e-7,2.5e-6,3.1e-7,3.8e-6,3.74e-6,6.1e-7,4.09e-6,4.11e-6,4.2211e-5,0,0.0
COPS,camshape,2000,ExaModels,2000,4003,10000,11995,1.215e-5,1.736e-5,2.238e-5,3.1151e-5,3.56e-5,7.8741e-5,5.5271e-5,5.284e-5,0.001419292,0,0.0
COPS,camshape,170000,ExaModels,170000,340003,850000,1019995,0.000176271,5.682e-5,0.000346443,0.000548145,0.000651876,0.004083033,0.003286157,0.003344067,0.124296766,0,0.0
COPS,catmix,3,ExaModels,71,62,266,144,2.8e-7,2.9e-6,4.4e-7,3.21e-6,4.3e-6,9.9e-7,3.83e-6,3.87e-6,6.061e-5,0,0.0
COPS,catmix,200,ExaModels,4602,4002,17602,10191,1.0e-6,6.176e-5,3.48e-6,7.0191e-5,6.4171e-5,6.9931e-5,0.000118171,0.000126971,0.001501172,0,0.0
