framework,device,n,tload_s,tbuild_s,tfirst_grad_s,twarm_grad_s,tfirst_hess_s,twarm_hess_s
jax,cpu,20,0.634282,0.000144,0.034792,0.000004,0.118380,0.000008
jax,cpu,200,0.538840,0.000141,0.035888,0.000017,0.135277,0.000022
jax,cpu,2000,0.532992,0.000141,0.036208,0.000017,0.149126,0.000029
jax,cpu,20000,0.545257,0.000148,0.036215,0.000021,0.145395,0.000115
jax,cpu,200000,0.591766,0.000143,0.036198,0.000063,0.143256,0.001612
torch,cpu,20,1.480536,0.000001,0.001692,0.000099,0.523975,0.000411
torch,cpu,200,1.341388,0.000001,0.001636,0.000103,0.422837,0.000422
torch,cpu,2000,1.326309,0.000001,0.001662,0.000114,0.421878,0.000476
torch,cpu,20000,1.327895,0.000001,0.002433,0.000214,0.432954,0.000915
torch,cpu,200000,1.337488,0.000001,0.010811,0.001170,0.451410,0.006334
casadi,cpu,20,0.083932,0.000697,0.072989,0.000008,0.148628,0.000008
casadi,cpu,200,0.081556,0.001046,0.066057,0.000017,0.140806,0.000020
casadi,cpu,2000,0.081971,0.003447,0.068919,0.000106,0.169971,0.000146
casadi,cpu,20000,0.080253,0.029192,0.088536,0.000997,0.723737,0.001391
casadi,cpu,200000,0.089128,0.311986,0.298781,0.010550,3.711948,0.015779
