framework,device,n,tload_s,tbuild_s,tfirst_grad_s,twarm_grad_s,tfirst_hess_s,twarm_hess_s
jax,cpu,20,0.695281,0.000147,0.033125,0.000004,0.193144,0.000021
jax,cpu,200,0.593854,0.000141,0.034359,0.000013,0.208977,0.000048
jax,cpu,2000,0.539753,0.000147,0.034590,0.000013,0.223611,0.000318
jax,cpu,20000,0.544676,0.000140,0.034661,0.000018,0.228727,0.003028
jax,cpu,200000,0.544186,0.000135,0.034121,0.000058,0.245961,0.029617
torch,cpu,20,1.534853,0.000002,0.004037,0.000097,0.564516,0.000928
torch,cpu,200,1.307407,0.000001,0.001580,0.000099,0.417587,0.000970
torch,cpu,2000,1.304325,0.000002,0.001648,0.000113,0.420891,0.001193
torch,cpu,20000,1.276632,0.000002,0.002115,0.000209,0.421042,0.003137
torch,cpu,200000,1.300744,0.000002,0.007284,0.001117,0.460563,0.026410
casadi,cpu,20,0.081954,0.001176,0.064384,0.000002,0.287004,0.000005
casadi,cpu,200,0.087018,0.001579,0.059799,0.000003,0.261191,0.000028
casadi,cpu,2000,0.084638,0.004611,0.060748,0.000014,0.320418,0.000264
casadi,cpu,20000,0.131495,0.036867,0.079750,0.000111,0.886661,0.002618
casadi,cpu,200000,0.120633,0.392033,0.276470,0.001093,7.768887,0.034809
