framework,device,n,tload_s,tbuild_s,tfirst_grad_s,twarm_grad_s,tfirst_hess_s,twarm_hess_s
jax,cpu,20,0.663416,0.000150,0.034574,0.000004,0.197204,0.000024
jax,cpu,200,0.551462,0.000145,0.035914,0.000017,0.212903,0.000052
jax,cpu,2000,0.635081,0.000143,0.036200,0.000017,0.231798,0.000321
jax,cpu,20000,0.545006,0.000147,0.036444,0.000021,0.227318,0.003036
jax,cpu,200000,0.553700,0.000148,0.036258,0.000063,0.251678,0.030242
torch,cpu,20,1.558865,0.000001,0.003920,0.000098,0.554636,0.000938
torch,cpu,200,1.349248,0.000001,0.001589,0.000103,0.427552,0.000978
torch,cpu,2000,1.350596,0.000002,0.001694,0.000115,0.423619,0.001207
torch,cpu,20000,1.352812,0.000002,0.002472,0.000214,0.435595,0.003178
torch,cpu,200000,1.364803,0.000002,0.009814,0.001171,0.591392,0.026966
casadi,cpu,20,0.085753,0.001228,0.075270,0.000002,0.303454,0.000005
casadi,cpu,200,0.084785,0.001647,0.068389,0.000003,0.276144,0.000028
casadi,cpu,2000,0.085352,0.004839,0.071603,0.000014,0.335648,0.000266
casadi,cpu,20000,0.084854,0.038468,0.091832,0.000113,0.919185,0.002665
casadi,cpu,200000,0.082986,0.425796,0.293830,0.001123,7.656392,0.035806
