suite,problem,size,ams,nvar,ncon,nnzj,nnzh,tobj,tcon,tgrad,tjac,thess,thprod,tjprod,tjtprod,tcreate,bt_n,bt_spread
LV,chained_powell,20,JuMP,20,2,4,54,1.31e-7,1.27e-7,5.35e-7,2.21e-7,5.693e-6,4.938e-6,2.27e-7,2.26e-7,0.000294122,0,0.0
LV,broyden_tridiagonal,200000,JuMP,200000,199996,999980,1599977,0.000149291,0.00346194,0.00797615,0.099646812,0.34072631,0.235761788,0.101564244,0.10058378,48.782357482,0,0.0
LV,augmented_lagrangian,2000,JuMP,2000,1998,5994,7998,1.607e-6,7.162e-6,2.3924e-5,0.000227874,0.00108326,0.000781822,0.000230089,0.000228029,0.12740577,0,0.0
LV,chained_hs46,20,JuMP,20,11,33,69,1.31e-7,1.34e-7,3.32e-7,5.98e-7,5.499e-6,3.822e-6,6.15e-7,6.02e-7,0.000541635,0,0.0
LV,chained_hs48,200000,JuMP,200000,133332,533328,466664,0.000587178,0.01264405,0.010205834,0.048571725,0.006869255,0.00048615,0.012431933,81.361749926,1.762373882,0,0.0
LV,chained_hs51,2000,JuMP,2000,1496,3491,4491,1.606e-6,4.4333e-5,2.2791e-5,0.000210507,0.000241353,0.000208484,4.4021e-5,0.00860203,0.01393686,0,0.0
LV,chained_powell,20,AMPL,20,2,4,48,6.24e-7,1.46e-7,3.42e-7,2.43e-7,1.517e-6,3.49e-7,6.54e-7,6.67e-7,5.6385e-5,0,0.0
LV,broyden_tridiagonal,200000,AMPL,200000,199996,999980,599997,0.02543765,0.032086514,0.021862041,0.067986669,0.190808047,0.093122031,0.083236252,0.082970994,2.724770177,0,0.0
LV,augmented_lagrangian,2000,AMPL,2000,1998,5994,6000,6.3155e-5,0.000109474,8.8262e-5,0.000195003,0.000736012,0.000372096,0.000283332,0.000282151,0.013887427,0,0.0
LV,chained_hs46,20,AMPL,20,11,33,37,4.5e-7,4.6e-7,2.32e-7,7.91e-7,2.204e-6,6.71e-7,1.513e-6,1.5e-6,6.1236e-5,0,0.0
LV,chained_hs48,200000,AMPL,200000,133332,533328,333332,0.005146671,0.006548903,0.005498342,0.013970092,0.029324331,0.008166837,0.023359677,0.023457721,0.845262963,0,0.0
LV,chained_hs51,2000,AMPL,2000,1496,3491,2995,2.5425e-5,1.4988e-5,2.4921e-5,3.781e-5,0.000134979,5.0785e-5,9.4345e-5,9.4483e-5,0.005450117,0,0.0
COPS,catmix,3,JuMP,71,62,266,36,5.5e-8,6.59e-7,9.9e-7,2.593e-6,1.29e-7,3.8e-8,6.89e-7,3.1351e-5,0.000205815,0,0.0
COPS,channel,42000,JuMP,1680000,1680000,11675987,336000,4.6e-8,0.039730914,0.001875043,0.101565384,0.010338382,0.000516307,0.041153282,862.847964689,10.817208262,0,0.0
COPS,gasoil,200,JuMP,5203,5200,27190,9402,1.077e-6,2.8916e-5,4.0444e-5,0.000208298,0.000680668,1.333e-6,0.000221873,0.000215022,0.048739146,0,0.0
COPS,methanol,2,JuMP,65,60,312,378,1.47e-7,3.28e-7,1.21e-6,1.34e-6,1.2678e-5,1.05e-7,1.568e-6,1.513e-6,0.001290721,0,0.0
COPS,pinene,10000,JuMP,500005,500000,2289980,300400,7.46e-7,0.01706365,0.003313999,0.039679391,0.007865703,0.000154262,0.017168256,121.042833331,2.664115827,0,0.0
COPS,rocket,200,JuMP,805,604,3804,5800,5.1e-8,1.3605e-5,2.117e-6,0.000106076,0.000276272,7.2e-8,3.5557e-5,0.001405972,0.03592064,0,0.0
COPS,catmix,3,AMPL,71,62,266,18,8.0e-8,9.3e-7,1.23e-7,2.391e-6,3.391e-6,1.401e-6,7.55e-6,7.978e-6,0.000227558,0,0.0
COPS,channel,42000,AMPL,1680000,1680000,12935981,336000,0.00093946,0.080870065,0.001929234,0.210604376,0.180431579,0.036465687,1.219125726,1.114943206,13.901238557,0,0.0
COPS,gasoil,200,AMPL,5203,5200,27190,3802,3.431e-6,0.000160258,7.282e-6,0.00035041,0.000558756,0.000163278,0.000767194,0.000764694,0.023902169,0,0.0
COPS,methanol,2,AMPL,65,60,312,131,1.883e-6,1.285e-6,2.775e-6,3.228e-6,1.8012e-5,7.115e-6,9.695e-6,9.323e-6,0.000452449,0,0.0
COPS,pinene,10000,AMPL,500005,500000,2289980,150400,0.000290427,0.020337316,0.000585247,0.044079938,0.090672142,0.021744567,0.090899013,0.090918338,2.560016744,0,0.0
COPS,rocket,200,AMPL,805,604,3804,2211,1.35e-7,4.3983e-5,3.007e-6,8.9891e-5,0.00058105,7.9141e-5,0.000153262,0.000152437,0.004346708,0,0.0
OPF-polar,pglib_opf_case39_epri.m,pglib_opf_case39_epri.m,JuMP,282,401,1401,2024,5.8e-8,3.937e-6,2.086e-6,2.043e-5,0.000144458,6.1e-8,1.8029e-5,0.000172031,0.014435722,0,0.0
OPF-polar,pglib_opf_case197_snem.m,pglib_opf_case197_snem.m,JuMP,1608,2397,8659,12592,7.6e-8,2.553e-5,8.58e-6,0.000291055,0.001080769,1.15e-7,0.000255223,0.001738035,0.089119301,0,0.0
OPF-polar,pglib_opf_case1803_snem.m,pglib_opf_case1803_snem.m,JuMP,15246,23172,84547,123216,2.21e-7,0.00045687,9.3869e-5,0.003187444,0.018204187,2.469e-6,0.002666835,0.079700064,1.09905109,0,0.0
OPF-polar,pglib_opf_case2742_goc.m,pglib_opf_case2742_goc.m,JuMP,24540,38196,140570,205675,2.4e-7,0.00075994,0.000150327,0.006834648,0.031953721,4.282e-6,0.00550358,0.13888616,1.920317765,0,0.0
OPF-polar,pglib_opf_case3022_goc.m,pglib_opf_case3022_goc.m,JuMP,23238,34990,125203,182548,4.38e-7,0.000670282,0.000157341,0.005756722,0.028419817,4.234e-6,0.004463807,0.185049117,1.744782125,0,0.0
OPF-polar,pglib_opf_case4837_goc.m,pglib_opf_case4837_goc.m,JuMP,41398,64030,233663,341758,3.51e-7,0.001263844,0.000277357,0.016982929,0.055185862,7.325e-6,0.014892069,0.374635234,3.149934537,0,0.0
OPF-polar,pglib_opf_case8387_pegase.m,pglib_opf_case8387_pegase.m,JuMP,78748,118702,441065,641188,1.437e-6,0.002866158,0.000711597,0.036076192,0.109544845,1.408e-5,0.033050244,1.48426688,6.619553249,0,0.0
OPF-polar,pglib_opf_case20758_epigrids.m,pglib_opf_case20758_epigrids.m,JuMP,179236,274918,1005090,1469424,4.285e-6,0.009304352,0.001570595,0.086616231,0.265921169,3.4469e-5,0.08128819,6.727875134,18.300659941,0,0.0
OPF-rect,pglib_opf_case30_ieee.m,pglib_opf_case30_ieee.m,JuMP,236,408,1449,1598,5.6e-8,1.1177e-5,1.346e-6,3.866e-5,2.1575e-5,4.0e-8,1.4874e-5,0.000589758,0.003820405,0,0.0
