suite,problem,size,ams,nvar,ncon,nnzj,nnzh,tobj,tcon,tgrad,tjac,thess,thprod,tjprod,tjtprod,tcreate,bt_n,bt_spread
LV,rosenrock,20,ExaModels,20,18,54,165,1.7e-7,3.7e-7,3.0e-7,6.7e-7,1.26e-6,8.1e-7,8.8e-7,8.9e-7,1.7281e-5,0,0.0
LV,rosenrock,2000,ExaModels,2000,1998,5994,17985,1.256e-5,2.322e-5,3.358e-5,4.023e-5,8.5961e-5,0.000142061,6.657e-5,6.759e-5,0.001931068,0,0.0
LV,rosenrock,200000,ExaModels,200000,199998,599994,1799985,0.00015097,0.000195651,0.000632002,0.000568523,0.001251505,0.006475637,0.00237968,0.00241145,0.17056015,0,0.0
LV,wood,20,ExaModels,20,13,39,102,1.9e-7,4.4e-7,3.6e-7,3.4e-7,8.2e-7,8.0e-7,5.6e-7,5.6e-7,1.292e-5,0,0.0
LV,wood,2000,ExaModels,2000,1993,5979,12972,3.81e-6,1.324e-5,1.872e-5,1.075e-5,4.046e-5,5.2631e-5,5.9031e-5,6.227e-5,0.001362156,0,0.0
LV,wood,200000,ExaModels,200000,199993,599979,1299972,9.972e-5,0.000197511,0.001499256,0.000397102,0.000866413,0.006195276,0.002664161,0.002621191,0.162410675,0,0.0
LV,chained_powell,20,ExaModels,20,2,4,79,2.0e-7,2.6e-7,3.8e-7,3.6e-7,7.7e-7,7.7e-7,5.1e-7,5.2e-7,1.551e-5,0,0.0
LV,chained_powell,2000,ExaModels,2000,2,4,7999,7.3e-6,2.6e-7,1.9971e-5,3.5e-7,2.029e-5,4.353e-5,5.2e-7,6.8e-7,0.000516562,0,0.0
LV,chained_powell,200000,ExaModels,200000,2,4,799999,0.000265611,2.6e-7,0.001650927,3.5e-7,0.000510122,0.004202368,5.2e-7,1.722e-5,0.071614813,0,0.0
LV,cragg_levy,20,ExaModels,20,18,54,135,3.6e-7,1.4e-7,5.9e-7,2.2e-7,1.0e-6,1.22e-6,4.4e-7,4.5e-7,1.56e-5,0,0.0
