suite,problem,size,ams,nvar,ncon,nnzj,nnzh,tobj,tcon,tgrad,tjac,thess,thprod,tjprod,tjtprod,tcreate,bt_n,bt_spread
LV,rosenrock,20,ExaModels,20,18,54,165,0.0002896325933460479,6.760616806897268e-6,2.2403759619146995e-5,1.264462249152984e-5,2.0685780365566037e-5,2.9613147295423023e-5,2.3363977392913802e-5,2.3483484827704444e-5,0.0066507187499999995,4719,0.02863145203451821
LV,rosenrock,2000,ExaModels,2000,1998,5994,17985,0.0002908619127395716,6.7509811008984824e-6,2.2777858703568828e-5,1.327384317647059e-5,2.8308565017090207e-5,5.086000968957473e-5,2.4733739977882224e-5,2.4432638046418908e-5,0.009540191534031415,4435,0.2020340753941999
LV,rosenrock,200000,ExaModels,200000,199998,599994,1799985,0.00035750064746852396,2.845118554146626e-5,6.32659921875e-5,7.544838225483656e-5,0.0002483991572356215,0.0006687941524440762,0.0001686611913714625,0.0001696148338019369,0.24940792080000002,1207,0.2660233803467594
LV,wood,20,ExaModels,20,13,39,102,0.0002833281959933912,1.8530991027027027e-5,2.3039329839368364e-5,1.9351651028806587e-5,2.8113352224342974e-5,3.102527292576419e-5,3.054609974308599e-5,3.0282360675352302e-5,0.0072267217582938385,4842,0.07495189254104807
LV,wood,2000,ExaModels,2000,1993,5979,12972,0.0003052961568053993,1.8977954946364722e-5,2.3956261390262952e-5,1.949029139551699e-5,3.792101616073379e-5,5.180825229914975e-5,3.230719463087248e-5,3.165720970379793e-5,0.01031800652020202,4445,0.08005513472633877
LV,wood,200000,ExaModels,200000,199993,599979,1299972,0.0003663036974131173,3.809740075199749e-5,9.246093679674407e-5,5.3665093300852614e-5,0.00017521144160272806,0.0005516436484490399,0.0001578814815830721,0.00015554001843781428,0.22406003409090908,1354,0.058330951831244454
LV,chained_powell,20,ExaModels,20,2,4,79,0.000292848819541842,1.3518382969664715e-5,2.2920274700875786e-5,1.9602225891844197e-5,2.88198847699866e-5,3.064633256351039e-5,3.135278987683989e-5,3.177592945886251e-5,0.00720825973364486,4278,0.05151985167966521
LV,chained_powell,2000,ExaModels,2000,2,4,7999,0.00030035322551252847,1.3952436440677965e-5,2.468120667926906e-5,1.990574404761905e-5,3.098500939457202e-5,4.411470949622608e-5,3.1916854124062714e-5,3.169968927528537e-5,0.008877225398936171,2874,0.4445516773245338
LV,chained_powell,200000,ExaModels,200000,2,4,799999,0.0003717433273584906,1.337691850410722e-5,8.412539553886926e-5,1.993783072822004e-5,0.00012272589135317236,0.00039695424527186763,3.213047108142674e-5,3.1802931014150944e-5,0.097622375,1692,0.06208661294851248
LV,cragg_levy,20,ExaModels,20,18,54,135,0.00028991010984084285,6.452046264142489e-6,2.3034792432169366e-5,1.2299063762419478e-5,2.1106317439486732e-5,3.121537636793848e-5,2.4162540761881125e-5,2.332807243163341e-5,0.006588087050387597,4461,0.14308874302470892
LV,cragg_levy,2000,ExaModels,2000,1998,5994,14985,0.0002960929934169924,6.3524875e-6,2.3649056269198546e-5,1.2903237734569296e-5,3.11092833216045e-5,6.0197583470057425e-5,2.4941941733526238e-5,2.4498257472738935e-5,0.009551630334975369,4861,0.05557670130611836
LV,cragg_levy,200000,ExaModels,200000,199998,599994,1499985,0.0003693213653603034,1.378497626765455e-5,8.944731518940787e-5,5.05292279425141e-5,0.0001798146214717742,0.0006302847056483691,0.0001504079878902045,0.00014541213272434175,0.20637658333333334,1257,0.06462404563524768
LV,broyden_tridiagonal,20,ExaModels,20,16,80,194,0.0003055791156536948,6.739157021835103e-6,3.0818052200489e-5,1.2379283965728274e-5,3.059588887208951e-5,4.1738869863013704e-5,2.35140620854338e-5,2.32145462413452e-5,0.006986854679802956,4574,0.04675402143968955
LV,broyden_tridiagonal,2000,ExaModels,2000,1996,9980,21974,0.0003255398326600043,7.001585869004642e-6,3.1865052579224104e-5,1.3585676699844105e-5,3.54891308395949e-5,7.612890376035692e-5,2.788921685116851e-5,2.7912175624636836e-5,0.011124202118012422,4703,0.09150444292297367
LV,broyden_tridiagonal,200000,ExaModels,200000,199996,999980,2199974,0.0003677212661207779,1.8769012388162422e-5,0.00010599376029373197,0.00011269595885831834,0.00025343325957049483,0.0008864751336104513,0.00027970931919642857,0.0002816499135322092,0.3245725917,1684,0.06549908099609941
LV,broyden_banded,20,ExaModels,40,29,171,256,0.0002961615374137931,8.017057505942586e-5,2.392808675424193e-5,8.114872013651877e-5,9.423095965770172e-5,3.1509185926032524e-5,9.356220599088343e-5,9.4512382974091e-5,0.011825429764285715,2930,0.3823425283077989
LV,broyden_banded,2000,ExaModels,4000,2999,18981,27976,0.00029245804514022283,7.959223451910408e-5,2.4158639883833492e-5,8.329339801729594e-5,0.00010019075795485451,6.808122036693465e-5,9.818148375165126e-5,9.654074614594038e-5,0.016924917875,3677,0.11227573807079021
LV,broyden_banded,200000,ExaModels,400000,299999,1899981,2799976,0.00036443969014084506,7.624593174287608e-5,8.327897584541062e-5,0.0003173418654124457,0.0005172498893805309,0.0010214080240384617,0.0006563582755203171,0.0006453726635514019,0.4684653,1009,0.09044095978201849
LV,trigo_tridiagonal,20,ExaModels,20,4,14,69,0.0002998082505522828,3.695332675331045e-5,2.4956369619000493e-5,5.54656428005284e-5,5.682471074985355e-5,3.346044171150397e-5,5.4285923188405794e-5,5.6479856477017034e-5,0.008610263808139534,5432,0.9045383387465805
LV,trigo_tridiagonal,2000,ExaModels,2000,4,14,6009,0.00031605180918320257,3.4458246465816913e-5,2.583838821490468e-5,4.103077908459685e-5,5.851932311028501e-5,3.4506516871901485e-5,5.587985568736916e-5,5.691168782922096e-5,0.011177552086956522,4334,0.2886323803769071
