suite,case,size,config,model_device,solver_device,linear_solver,nvar,ncon,nnzj,nnzh,tparse,tcreate,ttotal,teval_launch_only,tlinsolve_launch_only,tinit,nreps,iter,status,objective,hostname,device,timestamp
rosenbrock,rosenrock,20,cpu-gpu,gpu,cpu,LDLFactorizations,20,18,54,165,0.0,0.001041814,0.001869674,0.001394738,2.5081999999999998e-5,0.0002200603485107422,3,7,SOLVE_SUCCEEDED,6.232302087882614,node5000,NVIDIA H200,2026-08-04T13:39:16.430
rosenbrock,rosenrock,20,gpu-cpu,cpu,gpu,cuDSS,20,18,54,165,0.0,0.000677749,0.026544611,0.001331907,NaN,0.01172184944152832,3,7,SOLVE_SUCCEEDED,6.232302087882607,node5000,NVIDIA H200,2026-08-04T13:40:11.304
rosenbrock,rosenrock,20,gpu-gpu,gpu,gpu,cuDSS,20,18,54,165,0.0,0.000909237,0.026020886,0.001170946,NaN,0.011504173278808594,3,7,SOLVE_SUCCEEDED,6.232302087882615,node5000,NVIDIA H200,2026-08-04T13:40:16.217
rosenbrock,rosenrock,2000,cpu-gpu,gpu,cpu,LDLFactorizations,2000,1998,5994,17985,0.0,0.001731625,0.009194791,0.0024226029999999997,0.0009936139999999999,0.0028061866760253906,3,7,SOLVE_SUCCEEDED,6.232302087882608,node5000,NVIDIA H200,2026-08-04T13:40:18.942
rosenbrock,rosenrock,2000,gpu-cpu,cpu,gpu,cuDSS,2000,1998,5994,17985,0.0,0.001374756,0.039145078,0.0033553730000000005,NaN,0.01764202117919922,2,7,SOLVE_SUCCEEDED,6.232302087882607,node5000,NVIDIA H200,2026-08-04T13:40:23.761
rosenbrock,rosenrock,2000,gpu-gpu,gpu,gpu,cuDSS,2000,1998,5994,17985,0.0,0.001472212,0.035603398,0.001286238,NaN,0.017102956771850586,3,7,SOLVE_SUCCEEDED,6.23230208788261,node5000,NVIDIA H200,2026-08-04T13:40:25.530
rosenbrock,rosenrock,200000,cpu-gpu,gpu,cpu,LDLFactorizations,200000,199998,599994,1799985,0.0,0.03980628,0.734859374,0.045573732,0.106679948,0.2892920970916748,3,7,SOLVE_SUCCEEDED,6.232302087882669,node5000,NVIDIA H200,2026-08-04T13:40:31.141
rosenbrock,rosenrock,200000,gpu-cpu,cpu,gpu,cuDSS,200000,199998,599994,1799985,0.0,0.026052396,0.506064302,0.16565849,NaN,0.2950160503387451,3,7,SOLVE_SUCCEEDED,6.2323020878826085,node5000,NVIDIA H200,2026-08-04T13:40:34.716
rosenbrock,rosenrock,200000,gpu-gpu,gpu,gpu,cuDSS,200000,199998,599994,1799985,0.0,0.017748098,0.2852665,0.0014205100000000003,NaN,0.2504889965057373,3,7,SOLVE_SUCCEEDED,6.232302087882672,node5000,NVIDIA H200,2026-08-04T13:40:37.617
opf,pglib_opf_case1354_pegase.m,1354,cpu-gpu,gpu,cpu,LDLFactorizations,11192,16646,62959,90572,0.004268377,0.006622619,0.440184813,0.08456893000000014,0.16926333700000004,0.03198599815368652,3,44,SOLVE_SUCCEEDED,1.2557431487159936e6,node5000,NVIDIA H200,2026-08-04T13:41:15.203
opf,pglib_opf_case1354_pegase.m,1354,gpu-cpu,cpu,gpu,cuDSS,11192,16646,62959,90572,0.004268377,0.003505655,0.268969866,0.057678562000000023,NaN,0.07166504859924316,3,44,SOLVE_SUCCEEDED,1.2557431487159724e6,node5000,NVIDIA H200,2026-08-04T13:41:24.695
opf,pglib_opf_case1354_pegase.m,1354,gpu-gpu,gpu,gpu,cuDSS,11192,16646,62959,90572,0.004268377,0.005579231,0.270506698,0.05761242700000003,NaN,0.07239603996276855,3,44,SOLVE_SUCCEEDED,1.2557431487160288e6,node5000,NVIDIA H200,2026-08-04T13:41:31.365
opf,pglib_opf_case9241_pegase.m,9241,cpu-gpu,gpu,cpu,LDLFactorizations,85568,130826,502843,726083,0.056271116,0.02656142,5.434738164,0.24900800100000023,2.9780142379999988,0.3449101448059082,2,63,SOLVE_SUCCEEDED,6.217735261023056e6,node5000,NVIDIA H200,2026-08-04T13:41:44.596
opf,pglib_opf_case9241_pegase.m,9241,gpu-cpu,cpu,gpu,cuDSS,85568,130826,502843,726083,0.056271116,0.015797987,1.372329279,0.528566995,NaN,0.436704158782959,3,63,SOLVE_SUCCEEDED,6.217735261021388e6,node5000,NVIDIA H200,2026-08-04T13:41:51.319
opf,pglib_opf_case9241_pegase.m,9241,gpu-gpu,gpu,gpu,cuDSS,85568,130826,502843,726083,0.056271116,0.018927053,0.876493429,0.062067751,NaN,0.4277670383453369,3,63,SOLVE_SUCCEEDED,6.217735261021718e6,node5000,NVIDIA H200,2026-08-04T13:41:56.047
