suite,problem,size,ams,nvar,ncon,nnzj,nnzh,tobj,tcon,tgrad,tjac,thess,thprod,tjprod,tjtprod,tcreate,bt_n,bt_spread
LV,rosenrock,20,ExaModels,20,18,54,165,2.6466598200000003e-5,4.0521964e-6,1.46866456e-5,7.8553567e-6,1.22578437e-5,1.95162119e-5,1.5255845500000002e-5,1.52963759e-5,0.0009785695370370371,10000,0.2144794363866469
LV,rosenrock,2000,ExaModels,2000,1998,5994,17985,3.4377695e-5,4.1144532e-6,1.47211488e-5,8.9165985e-6,2.1070948e-5,2.9115691100000003e-5,1.60406563e-5,1.58546179e-5,0.0020117017995930826,10000,0.5503767944693262
LV,rosenrock,200000,ExaModels,200000,199998,599994,1799985,3.51653304e-5,4.73455e-6,1.51930969e-5,2.4722898500000003e-5,6.210979800000001e-5,0.000129051513,3.4516976399999996e-5,3.4691533e-5,0.02379231303409091,10000,0.13995568744653658
LV,wood,20,ExaModels,20,13,39,102,2.684906e-5,1.19572239e-5,1.5088182999999999e-5,1.21967183e-5,1.68955941e-5,1.9426194e-5,1.93316929e-5,1.96616866e-5,0.0010465800637280934,10000,0.1525473496075523
LV,wood,2000,ExaModels,2000,1993,5979,12972,3.52162102e-5,1.19488012e-5,1.55549918e-5,1.21577042e-5,1.75671137e-5,2.82158146e-5,1.96799597e-5,2.0138945e-5,0.0020317758892438764,10000,0.13365019661710276
LV,wood,200000,ExaModels,200000,199993,599979,1299972,3.4819906499999996e-5,1.17896973e-5,2.35049869e-5,1.36997405e-5,4.2879569400000004e-5,9.35126911e-5,2.3342836e-5,2.3437317e-5,0.022300629307692308,10000,0.030490004331286853
LV,chained_powell,20,ExaModels,20,2,4,79,2.68341271e-5,7.932776099999999e-6,1.46930431e-5,1.2119343e-5,1.66752648e-5,1.94208933e-5,1.96101554e-5,1.99231658e-5,0.0009889829539098912,10000,0.1656000928992745
LV,chained_powell,2000,ExaModels,2000,2,4,7999,3.55233515e-5,7.9929642e-6,1.55725935e-5,1.20805609e-5,1.83072587e-5,2.49677896e-5,1.9633908e-5,1.96435761e-5,0.001465977880706922,10000,0.14296704551193504
LV,chained_powell,200000,ExaModels,200000,2,4,799999,3.53940231e-5,7.9662102e-6,2.2482584699999998e-5,1.2264171000000001e-5,3.1079068e-5,6.23646882e-5,1.99001801e-5,1.97938311e-5,0.0058199041552238805,10000,0.14920909044728736
LV,cragg_levy,20,ExaModels,20,18,54,135,2.66367478e-5,3.9078928e-6,1.46103967e-5,7.6089246999999995e-6,1.21571243e-5,2.07369516e-5,1.5100302099999999e-5,1.50341782e-5,0.000991839484848485,10000,0.15747033202580657
LV,cragg_levy,2000,ExaModels,2000,1998,5994,14985,3.53903909e-5,3.9706619e-6,1.74554158e-5,7.551793599999999e-6,2.75767408e-5,4.1011413200000004e-5,1.50281278e-5,1.5072169899999999e-5,0.001955500498031496,10000,0.07905714359018734
LV,cragg_levy,200000,ExaModels,200000,199998,599994,1499985,3.57493603e-5,3.9136587e-6,2.7888929800000002e-5,1.55515248e-5,4.96387447e-5,0.00011910251890000001,2.56553788e-5,2.5969859099999996e-5,0.02262288596551724,10000,0.03555266134370529
LV,broyden_tridiagonal,20,ExaModels,20,16,80,194,3.07841584e-5,3.970378e-6,1.8825978800000002e-5,7.6917368e-6,1.6537110799999998e-5,2.4863266e-5,1.53109444e-5,1.54548942e-5,0.001064063655746509,10000,0.16411177978519928
LV,broyden_tridiagonal,2000,ExaModels,2000,1996,9980,21974,3.9721665900000005e-5,4.152648099999999e-6,2.03674678e-5,1.10391511e-5,2.450012e-5,4.2717598299999995e-5,1.88779519e-5,1.90346475e-5,0.0021692128822869954,10000,0.1604753362077564
LV,broyden_tridiagonal,200000,ExaModels,200000,199996,999980,2199974,4.01053824e-5,4.0791559999999995e-6,2.5299761199999998e-5,3.0042361099999997e-5,6.7062767e-5,0.00019016601480500723,5.11084268e-5,5.06616204e-5,0.030288321191176474,8308,0.16727261717865188
LV,broyden_banded,20,ExaModels,40,29,171,256,2.67873913e-5,4.09799698e-5,1.47411573e-5,4.92604955e-5,5.53689333e-5,2.14209723e-5,5.78526993e-5,5.99244738e-5,0.0014492139091603054,10000,0.2347524131167124
LV,broyden_banded,2000,ExaModels,4000,2999,18981,27976,3.54821822e-5,4.15053452e-5,1.53690939e-5,4.95682868e-5,5.64833012e-5,4.22388661e-5,5.7629869300000005e-5,5.80245193e-5,0.002600940653259362,10000,0.13823399305205636
LV,broyden_banded,200000,ExaModels,400000,299999,1899981,2799976,3.60396068e-5,4.29606818e-5,1.75576054e-5,7.230739419999999e-5,0.0001189839091,0.00019888841544425816,0.00014228443,0.0001446730605,0.042692570448979596,9544,0.10924849661021906
LV,trigo_tridiagonal,20,ExaModels,20,4,14,69,2.6786021199999998e-5,1.57629522e-5,1.52154109e-5,2.09689567e-5,2.73504478e-5,1.97240888e-5,2.94305732e-5,2.9930264699999996e-5,0.001120881918618267,10000,0.13602624513446157
LV,trigo_tridiagonal,2000,ExaModels,2000,4,14,6009,3.58254312e-5,1.58422701e-5,1.50131195e-5,2.09034942e-5,2.7717904799999998e-5,2.03560993e-5,2.98367676e-5,2.9597456e-5,0.0016045517154811716,10000,0.1312772101039451
LV,trigo_tridiagonal,200000,ExaModels,200000,4,14,600009,3.65684139e-5,1.6264667e-5,1.96112282e-5,2.10978218e-5,2.8105977999999998e-5,3.31899525e-5,2.9239182400000003e-5,3.0625681300000003e-5,0.006432487903030303,10000,0.14391161935020222
LV,augmented_lagrangian,20,ExaModels,20,18,54,106,2.8103805999999997e-5,4.0315415999999996e-6,1.57085091e-5,7.639624300000001e-6,1.35107003e-5,1.98990902e-5,1.5166631799999999e-5,1.52002433e-5,0.001004155159557662,10000,0.12917392594372032
LV,augmented_lagrangian,2000,ExaModels,2000,1998,5994,10798,2.96123939e-5,4.0783102e-6,1.6105115300000002e-5,7.6825082e-6,1.8777155300000002e-5,3.34113772e-5,1.5307522400000002e-5,1.5274665600000002e-5,0.001942119268389662,10000,0.11615383467636507
LV,augmented_lagrangian,200000,ExaModels,200000,199998,599994,1079998,3.80070218e-5,4.0725324e-6,2.00504755e-5,1.2334172999999999e-5,5.9522931300000005e-5,0.000107619722,2.2764426099999998e-5,2.31378972e-5,0.021236875585858583,10000,0.06907696724608928
LV,modified_brown,20,ExaModels,20,6,30,61,2.79504484e-5,3.13234585e-5,1.48396408e-5,3.74529495e-5,4.91800347e-5,1.92562318e-5,4.6127850199999996e-5,4.72073952e-5,0.0012394091503518873,10000,0.2588554073691846
LV,modified_brown,2000,ExaModels,2000,6,30,3031,3.87955876e-5,3.15831659e-5,1.5406471899999997e-5,3.75496322e-5,5.0410417299999996e-5,2.03261584e-5,4.58430332e-5,4.64706676e-5,0.0016830415996409334,10000,0.23430150668692837
LV,modified_brown,200000,ExaModels,200000,6,30,300031,3.91485564e-5,3.21770148e-5,1.5061366400000001e-5,3.7178341799999994e-5,4.9675587599999997e-5,2.09189798e-5,4.5868947599999995e-5,4.63392187e-5,0.004388369907692307,10000,0.24128954831439017
LV,generalized_brown,20,ExaModels,20,18,54,58,2.8085729599999997e-5,4.0784447e-6,1.5524052799999997e-5,7.8115028e-6,1.3276155e-5,1.97944642e-5,1.52997529e-5,1.53415015e-5,0.0010140581373276776,10000,0.04504588866279431
LV,generalized_brown,2000,ExaModels,2000,1998,5994,5998,4.01016412e-5,4.0320738000000006e-6,1.5789055599999997e-5,7.661249200000001e-6,1.80319526e-5,2.63024672e-5,1.53887152e-5,1.52493376e-5,0.0018821451221896382,10000,0.09948914759129605
LV,generalized_brown,200000,ExaModels,200000,199998,599994,599998,4.14834709e-5,4.045374e-6,1.9261829e-5,1.21901452e-5,3.54400901e-5,5.463724639999999e-5,2.2468547799999998e-5,2.22653458e-5,0.019083339124999998,10000,0.14999975809642294
LV,chained_hs46,20,ExaModels,20,11,33,79,2.8925827999999997e-5,8.8745842e-6,1.55348206e-5,1.22467973e-5,1.83991188e-5,1.95086559e-5,1.9903668899999997e-5,1.98666958e-5,0.0010987610651541594,10000,0.10807071369091877
