suite,case,size,config,model_device,solver_device,linear_solver,nvar,ncon,nnzj,nnzh,tparse,tcreate,ttotal,teval_launch_only,tlinsolve_launch_only,tinit,nreps,iter,status,objective,hostname,device,timestamp
rosenbrock,rosenrock,20,cpu-gpu,gpu,cpu,LDLFactorizations,20,18,54,165,0.0,0.001070075,0.001821907,0.0013724719999999998,2.2505999999999994e-5,0.00020003318786621094,3,7,SOLVE_SUCCEEDED,6.232302087882614,node5000,NVIDIA H200,2026-08-05T02:21:03.551
rosenbrock,rosenrock,20,gpu-cpu,cpu,gpu,cuDSS,20,18,54,165,0.0,0.00070238,0.026068911,0.0013057050000000003,NaN,0.011636972427368164,3,7,SOLVE_SUCCEEDED,6.232302087882613,node5000,NVIDIA H200,2026-08-05T02:21:58.424
rosenbrock,rosenrock,20,gpu-gpu,gpu,gpu,cuDSS,20,18,54,165,0.0,0.000953387,0.025720569,0.0011354919999999999,NaN,0.01153421401977539,3,7,SOLVE_SUCCEEDED,6.232302087882614,node5000,NVIDIA H200,2026-08-05T02:22:03.465
rosenbrock,rosenrock,2000,cpu-gpu,gpu,cpu,LDLFactorizations,2000,1998,5994,17985,0.0,0.001769916,0.009087344,0.0024111600000000007,0.000965486,0.0027837753295898438,3,7,SOLVE_SUCCEEDED,6.232302087882608,node5000,NVIDIA H200,2026-08-05T02:22:06.424
rosenbrock,rosenrock,2000,gpu-cpu,cpu,gpu,cuDSS,2000,1998,5994,17985,0.0,0.001360082,0.039000559,0.003336084,NaN,0.01800394058227539,2,7,SOLVE_SUCCEEDED,6.232302087882607,node5000,NVIDIA H200,2026-08-05T02:22:11.287
rosenbrock,rosenrock,2000,gpu-gpu,gpu,gpu,cuDSS,2000,1998,5994,17985,0.0,0.001528683,0.035498174,0.0012779889999999998,NaN,0.01716017723083496,3,7,SOLVE_SUCCEEDED,6.23230208788261,node5000,NVIDIA H200,2026-08-05T02:22:12.992
rosenbrock,rosenrock,200000,cpu-gpu,gpu,cpu,LDLFactorizations,200000,199998,599994,1799985,0.0,0.030689752,0.73332421,0.04293251099999999,0.10390928699999999,0.30015993118286133,3,7,SOLVE_SUCCEEDED,6.232302087882669,node5000,NVIDIA H200,2026-08-05T02:22:18.061
rosenbrock,rosenrock,200000,gpu-cpu,cpu,gpu,cuDSS,200000,199998,599994,1799985,0.0,0.024916965,0.486813698,0.16580456100000002,NaN,0.2743799686431885,3,7,SOLVE_SUCCEEDED,6.2323020878826085,node5000,NVIDIA H200,2026-08-05T02:22:21.337
rosenbrock,rosenrock,200000,gpu-gpu,gpu,gpu,cuDSS,200000,199998,599994,1799985,0.0,0.012026674,0.288329566,0.0013843840000000002,NaN,0.25455713272094727,3,7,SOLVE_SUCCEEDED,6.232302087882672,node5000,NVIDIA H200,2026-08-05T02:22:23.894
opf,pglib_opf_case1354_pegase.m,1354,cpu-gpu,gpu,cpu,LDLFactorizations,11192,16646,62959,90572,0.004705386,0.006454266,0.427382385,0.07907601799999998,0.16189695899999992,0.033946990966796875,3,44,SOLVE_SUCCEEDED,1.2557431487159936e6,node5000,NVIDIA H200,2026-08-05T02:23:01.981
opf,pglib_opf_case1354_pegase.m,1354,gpu-cpu,cpu,gpu,cuDSS,11192,16646,62959,90572,0.004705386,0.003562765,0.267190248,0.056764043999999965,NaN,0.07194805145263672,3,44,SOLVE_SUCCEEDED,1.2557431487159946e6,node5000,NVIDIA H200,2026-08-05T02:23:11.390
opf,pglib_opf_case1354_pegase.m,1354,gpu-gpu,gpu,gpu,cuDSS,11192,16646,62959,90572,0.004705386,0.005749281,0.254496038,0.049122759000000044,NaN,0.07063078880310059,3,44,SOLVE_SUCCEEDED,1.2557431487159366e6,node5000,NVIDIA H200,2026-08-05T02:23:17.925
opf,pglib_opf_case9241_pegase.m,9241,cpu-gpu,gpu,cpu,LDLFactorizations,85568,130826,502843,726083,0.02717245,0.026581546,5.962645234,0.2786482760000001,3.0621888600000005,0.41936516761779785,2,63,SOLVE_SUCCEEDED,6.217735261023056e6,node5000,NVIDIA H200,2026-08-05T02:23:32.685
opf,pglib_opf_case9241_pegase.m,9241,gpu-cpu,cpu,gpu,cuDSS,85568,130826,502843,726083,0.02717245,0.015946178,1.37611088,0.5324058329999998,NaN,0.4408528804779053,3,63,SOLVE_SUCCEEDED,6.217735261020567e6,node5000,NVIDIA H200,2026-08-05T02:23:39.431
