framework,device,n,tload_s,tbuild_s,tfirst_grad_s,twarm_grad_s,tfirst_hess_s,twarm_hess_s
jax,cpu,20,0.759824,0.000150,0.034501,0.000004,0.197770,0.000020
jax,cpu,200,0.536408,0.000140,0.035697,0.000013,0.211227,0.000049
jax,cpu,2000,0.627462,0.000145,0.036170,0.000013,0.227466,0.000318
jax,cpu,20000,0.606371,0.000140,0.036291,0.000018,0.227065,0.003028
jax,cpu,200000,0.574202,0.000143,0.035883,0.000058,0.252502,0.030184
torch,cpu,20,1.598613,0.000001,0.003973,0.000098,0.569491,0.000929
torch,cpu,200,1.467356,0.000001,0.001622,0.000100,0.442551,0.000973
torch,cpu,2000,1.343565,0.000002,0.001821,0.000111,0.481006,0.001179
torch,cpu,20000,1.322069,0.000002,0.002246,0.000213,0.493754,0.003134
torch,cpu,200000,1.400400,0.000002,0.009491,0.001088,0.674078,0.026617
casadi,cpu,20,0.085394,0.001192,0.068299,0.000002,0.289628,0.000005
casadi,cpu,200,0.087347,0.001550,0.061909,0.000004,0.263049,0.000029
casadi,cpu,2000,0.084998,0.004634,0.065073,0.000014,0.323410,0.000264
casadi,cpu,20000,0.086726,0.037232,0.082583,0.000130,0.888093,0.002621
casadi,cpu,200000,0.086335,0.396238,0.280985,0.001090,7.581253,0.034510
