suite,problem,size,ams,nvar,ncon,nnzj,nnzh,tobj,tcon,tgrad,tjac,thess,thprod,tjprod,tjtprod,tcreate,bt_n,bt_spread
LV,chained_hs46,20,JuMP,20,11,33,69,1.0e-7,1.0e-7,2.5e-7,4.6e-7,4.29e-6,2.91e-6,4.7e-7,4.6e-7,0.000399182,0,0.0
LV,chained_hs46,20,AMPL,20,11,33,37,3.8e-7,3.8e-7,1.9e-7,6.2e-7,1.69e-6,4.9e-7,1.13e-6,1.13e-6,3.261e-5,0,0.0
COPS,methanol,2,JuMP,65,60,312,378,1.3e-7,2.6e-7,7.7e-7,1.06e-6,9.3e-6,8.0e-8,1.22e-6,1.16e-6,0.000903164,0,0.0
COPS,methanol,2,AMPL,65,60,312,131,1.58e-6,1.2e-6,2.1e-6,2.67e-6,1.378e-5,5.571e-6,6.06e-6,6.761e-6,0.000193591,0,0.0
OPF-polar,pglib_opf_case2742_goc.m,pglib_opf_case2742_goc.m,JuMP,24540,38196,140570,205675,2.3e-7,0.000419971,0.000113,0.008107136,0.042844418,1.59e-6,0.007577173,0.079827559,1.456431571,0,0.0
OPF-polar,pglib_opf_case20758_epigrids.m,pglib_opf_case20758_epigrids.m,JuMP,179236,274918,1005090,1469424,4.2e-6,0.012924466,0.001161285,0.093778888,0.357079065,1.472e-5,0.084170286,3.567641306,15.266832097,0,0.0
OPF-rect,pglib_opf_case2736sp_k.m,pglib_opf_case2736sp_k.m,JuMP,19088,33828,116095,135048,1.0e-7,0.001772138,7.959e-5,0.006176237,0.004315918,1.21e-6,0.0022374,0.419341376,0.330330579,0,0.0
OPF-rect,pglib_opf_case13659_pegase.m,pglib_opf_case13659_pegase.m,JuMP,117370,197906,738289,835838,3.03e-6,0.022315817,0.000903074,0.05975302,0.05512785,7.63e-6,0.029413168,18.781819618,3.069776998,0,0.0
OPF-polar,pglib_opf_case2742_goc.m,pglib_opf_case2742_goc.m,AMPL,24540,38196,146039,42986,3.86e-6,0.005178763,8.7801e-5,0.012100193,0.020288948,0.001069175,0.015283836,0.014833574,0.101667383,0,0.0
OPF-polar,pglib_opf_case20758_epigrids.m,pglib_opf_case20758_epigrids.m,AMPL,179236,274918,1046155,313111,4.778e-5,0.045011881,0.000879364,0.10206348,0.166008086,0.025346621,0.119382269,0.116400227,0.841087802,0,0.0
OPF-rect,pglib_opf_case2736sp_k.m,pglib_opf_case2736sp_k.m,AMPL,19088,31092,121566,34336,3.17e-6,0.003428784,9.28e-6,0.007902951,0.022755461,0.001863287,0.010523562,0.010472602,0.095653444,0,0.0
OPF-rect,pglib_opf_case13659_pegase.m,pglib_opf_case13659_pegase.m,AMPL,117370,184247,745084,197345,2.906e-5,0.02745024,6.508e-5,0.061061295,0.237244551,0.031773097,0.076032025,0.075956884,0.746468613,0,0.0
