framework,device,n,tload_s,tbuild_s,tfirst_grad_s,twarm_grad_s,tfirst_hess_s,twarm_hess_s
jax,cpu,20,0.741947,0.000145,0.034118,0.000004,0.193832,0.000020
jax,cpu,200,0.599833,0.000136,0.035277,0.000013,0.209169,0.000047
jax,cpu,2000,0.600979,0.000137,0.035670,0.000014,0.224967,0.000319
jax,cpu,20000,0.489384,0.000131,0.035702,0.000018,0.227385,0.003030
jax,cpu,200000,0.491960,0.000126,0.035129,0.000058,0.247495,0.030188
torch,cpu,20,1.493699,0.000001,0.004051,0.000091,0.547334,0.000913
torch,cpu,200,1.284809,0.000001,0.001737,0.000095,0.413367,0.000965
torch,cpu,2000,1.284762,0.000002,0.001758,0.000107,0.426114,0.001178
torch,cpu,20000,1.285316,0.000002,0.002444,0.000205,0.423491,0.003109
torch,cpu,200000,1.282291,0.000001,0.009107,0.001253,0.456606,0.026905
casadi,cpu,20,0.080061,0.001109,0.093449,0.000002,0.368855,0.000004
casadi,cpu,200,0.079309,0.001528,0.080438,0.000003,0.376186,0.000027
casadi,cpu,2000,0.079736,0.004576,0.082959,0.000013,0.435536,0.000248
casadi,cpu,20000,0.080391,0.036932,0.099593,0.000122,1.028270,0.002512
casadi,cpu,200000,0.079663,0.394760,0.271944,0.001221,7.851182,0.033780
