framework,device,n,tload_s,tbuild_s,tfirst_grad_s,twarm_grad_s,tfirst_hess_s,twarm_hess_s
jax,cpu,20,0.684257,0.000151,0.034140,0.000004,0.199058,0.000024
jax,cpu,200,0.521243,0.000133,0.035291,0.000017,0.209576,0.000052
jax,cpu,2000,0.524920,0.000134,0.035882,0.000017,0.226971,0.000322
jax,cpu,20000,0.516360,0.000132,0.035763,0.000021,0.223684,0.003035
jax,cpu,200000,0.528013,0.000130,0.035586,0.000063,0.248812,0.030224
torch,cpu,20,1.544864,0.000002,0.004116,0.000095,0.629185,0.000922
torch,cpu,200,1.417213,0.000002,0.001786,0.000100,0.417011,0.000981
torch,cpu,2000,1.831260,0.000001,0.001930,0.000111,0.465341,0.001209
torch,cpu,20000,1.560417,0.000002,0.002550,0.000210,0.450079,0.003148
torch,cpu,200000,1.463959,0.000002,0.010126,0.001247,0.473960,0.026718
casadi,cpu,20,0.087256,0.001189,0.097001,0.000002,0.381813,0.000004
casadi,cpu,200,0.090941,0.001613,0.088324,0.000003,0.389959,0.000026
casadi,cpu,2000,0.089580,0.004783,0.090611,0.000013,0.449378,0.000245
casadi,cpu,20000,0.306494,0.038594,0.107450,0.000104,1.039417,0.002516
casadi,cpu,200000,0.088111,0.423053,0.284013,0.001055,7.843424,0.034414
