suite,case,size,config,model_device,solver_device,linear_solver,nvar,ncon,nnzj,nnzh,tparse,tcreate,ttotal,teval_launch_only,tlinsolve_launch_only,tinit,nreps,iter,status,objective,hostname,device,timestamp
rosenbrock,rosenrock,20,cpu-gpu,gpu,cpu,LDLFactorizations,20,18,54,165,0.0,0.001017226,0.001849343,0.0013752899999999995,2.3232e-5,0.00021314620971679688,3,7,SOLVE_SUCCEEDED,6.232302087882614,node5001,NVIDIA H200,2026-08-05T08:06:31.916
rosenbrock,rosenrock,20,gpu-cpu,cpu,gpu,cuDSS,20,18,54,165,0.0,0.000675147,0.026714494,0.0013277569999999995,NaN,0.01178884506225586,3,7,SOLVE_SUCCEEDED,6.232302087882613,node5001,NVIDIA H200,2026-08-05T08:07:25.959
rosenbrock,rosenrock,20,gpu-gpu,gpu,gpu,cuDSS,20,18,54,165,0.0,0.000888284,0.025979762,0.0011433799999999998,NaN,0.01158905029296875,3,7,SOLVE_SUCCEEDED,6.232302087882614,node5001,NVIDIA H200,2026-08-05T08:07:30.761
rosenbrock,rosenrock,2000,cpu-gpu,gpu,cpu,LDLFactorizations,2000,1998,5994,17985,0.0,0.001649222,0.008812747,0.0023370579999999995,0.0009956569999999998,0.0025429725646972656,3,7,SOLVE_SUCCEEDED,6.232302087882608,node5001,NVIDIA H200,2026-08-05T08:07:33.264
rosenbrock,rosenrock,2000,gpu-cpu,cpu,gpu,cuDSS,2000,1998,5994,17985,0.0,0.001352259,0.038264579,0.0032528100000000005,NaN,0.01739192008972168,2,7,SOLVE_SUCCEEDED,6.232302087882607,node5001,NVIDIA H200,2026-08-05T08:07:37.811
rosenbrock,rosenrock,2000,gpu-gpu,gpu,gpu,cuDSS,2000,1998,5994,17985,0.0,0.001428115,0.03468203,0.0012775829999999997,NaN,0.016662120819091797,3,7,SOLVE_SUCCEEDED,6.232302087882614,node5001,NVIDIA H200,2026-08-05T08:07:39.393
rosenbrock,rosenrock,200000,cpu-gpu,gpu,cpu,LDLFactorizations,200000,199998,599994,1799985,0.0,0.032720309,0.72289954,0.040295758,0.100266207,0.32120513916015625,3,7,SOLVE_SUCCEEDED,6.232302087882669,node5001,NVIDIA H200,2026-08-05T08:07:44.233
rosenbrock,rosenrock,200000,gpu-cpu,cpu,gpu,cuDSS,200000,199998,599994,1799985,0.0,0.024023672,0.48473062,0.16558556799999993,NaN,0.27349400520324707,3,7,SOLVE_SUCCEEDED,6.2323020878826085,node5001,NVIDIA H200,2026-08-05T08:07:47.341
rosenbrock,rosenrock,200000,gpu-gpu,gpu,gpu,cuDSS,200000,199998,599994,1799985,0.0,0.012791688,0.294704822,0.0013752589999999998,NaN,0.26061582565307617,3,7,SOLVE_SUCCEEDED,6.232302087882672,node5001,NVIDIA H200,2026-08-05T08:07:49.886
opf,pglib_opf_case1354_pegase.m,1354,cpu-gpu,gpu,cpu,LDLFactorizations,11192,16646,62959,90572,0.004361615,0.006485321,0.43439503,0.08091871500000007,0.16712421300000008,0.03484392166137695,3,44,SOLVE_SUCCEEDED,1.2557431487159936e6,node5001,NVIDIA H200,2026-08-05T08:08:26.043
opf,pglib_opf_case1354_pegase.m,1354,gpu-cpu,cpu,gpu,cuDSS,11192,16646,62959,90572,0.004361615,0.003280709,0.267038148,0.056626981999999985,NaN,0.07102704048156738,3,44,SOLVE_SUCCEEDED,1.2557431487160444e6,node5001,NVIDIA H200,2026-08-05T08:08:34.982
opf,pglib_opf_case1354_pegase.m,1354,gpu-gpu,gpu,gpu,cuDSS,11192,16646,62959,90572,0.004361615,0.005679805,0.258391835,0.04941510900000004,NaN,0.07046198844909668,3,44,SOLVE_SUCCEEDED,1.255743148716085e6,node5001,NVIDIA H200,2026-08-05T08:08:41.362
opf,pglib_opf_case9241_pegase.m,9241,cpu-gpu,gpu,cpu,LDLFactorizations,85568,130826,502843,726083,0.056985746,0.026405417,5.504423073,0.25043348199999993,3.076810611999997,0.32378196716308594,2,63,SOLVE_SUCCEEDED,6.217735261023056e6,node5001,NVIDIA H200,2026-08-05T08:08:54.308
opf,pglib_opf_case9241_pegase.m,9241,gpu-cpu,cpu,gpu,cuDSS,85568,130826,502843,726083,0.056985746,0.016526375,1.339949277,0.5092922210000004,NaN,0.42435288429260254,3,63,SOLVE_SUCCEEDED,6.2177352610211605e6,node5001,NVIDIA H200,2026-08-05T08:09:00.775
opf,pglib_opf_case9241_pegase.m,9241,gpu-gpu,gpu,gpu,cuDSS,85568,130826,502843,726083,0.056985746,0.019892276,0.871285078,0.061900190000000035,NaN,0.42339420318603516,3,63,SOLVE_SUCCEEDED,6.21773526102187e6,node5001,NVIDIA H200,2026-08-05T08:09:05.440
opf,pglib_opf_case78484_epigrids.m,78478,cpu-gpu,gpu,cpu,LDLFactorizations,674562,1039062,3950953,5708389,0.266931991,0.268502267,124.291386416,3.030219831000001,87.76469447399998,3.481760025024414,1,114,SOLVE_SUCCEEDED,1.51300802414636e7,node5001,NVIDIA H200,2026-08-05T08:11:13.536
opf,pglib_opf_case78484_epigrids.m,78478,gpu-cpu,cpu,gpu,cuDSS,674562,1039062,3950953,5708389,0.266931991,0.144378742,13.562177686,7.156680824999992,NaN,3.852238893508911,2,114,SOLVE_SUCCEEDED,1.5130080246039752e7,node5001,NVIDIA H200,2026-08-05T08:11:44.218
opf,pglib_opf_case78484_epigrids.m,78478,gpu-gpu,gpu,gpu,cuDSS,674562,1039062,3950953,5708389,0.266931991,0.121530843,6.398063933,0.14439906300000005,NaN,3.7928318977355957,2,114,SOLVE_SUCCEEDED,1.5130080243710555e7,node5001,NVIDIA H200,2026-08-05T08:11:59.714
