framework,device,n,tload_s,tbuild_s,tfirst_grad_s,twarm_grad_s,tfirst_hess_s,twarm_hess_s
jax,cpu,20,0.657304,0.000093,0.029890,0.000003,0.151015,0.000013
jax,cpu,200,0.478580,0.000093,0.030304,0.000008,0.161338,0.000033
jax,cpu,2000,0.484243,0.000093,0.031117,0.000008,0.173565,0.000227
jax,cpu,20000,0.477831,0.000095,0.030624,0.000011,0.173905,0.002175
jax,cpu,200000,0.460993,0.000092,0.030233,0.000041,0.190905,0.021648
torch,cpu,20,1.489257,0.000001,0.003154,0.000046,0.557733,0.000564
torch,cpu,200,2.189645,0.000001,0.000798,0.000049,0.559726,0.000595
torch,cpu,2000,1.159814,0.000001,0.000805,0.000055,0.511195,0.000737
torch,cpu,20000,1.264413,0.000001,0.001275,0.000118,0.523064,0.002123
torch,cpu,200000,1.242562,0.000001,0.004954,0.000886,0.488056,0.020062
casadi,cpu,20,0.071879,0.000939,0.075505,0.000001,0.266805,0.000003
casadi,cpu,200,0.069963,0.001163,0.064241,0.000002,0.268439,0.000021
casadi,cpu,2000,0.074731,0.003287,0.067275,0.000008,0.312169,0.000192
casadi,cpu,20000,0.074799,0.026226,0.081054,0.000080,0.730407,0.001903
casadi,cpu,200000,0.073074,0.275737,0.205870,0.000795,5.764109,0.024626
