suite,case,size,config,model_device,solver_device,linear_solver,nvar,ncon,nnzj,nnzh,tparse,tcreate,ttotal,teval_launch_only,tlinsolve_launch_only,tinit,nreps,iter,status,objective,hostname,device,timestamp
rosenbrock,rosenrock,20,cpu-gpu,gpu,cpu,LDLFactorizations,20,18,54,165,0.0,0.001314755,0.002389992,0.0017649200000000001,2.7756999999999992e-5,0.0002868175506591797,3,7,SOLVE_SUCCEEDED,6.232302087882614,node5004,NVIDIA RTX PRO 6000 Blackwell Server Edition,2026-08-05T21:41:45.031
rosenbrock,rosenrock,20,gpu-cpu,cpu,gpu,cuDSS,20,18,54,165,0.0,0.000913708,0.030529906,0.0017297390000000005,NaN,0.011353015899658203,3,7,SOLVE_SUCCEEDED,6.232302087882607,node5004,NVIDIA RTX PRO 6000 Blackwell Server Edition,2026-08-05T21:42:51.886
rosenbrock,rosenrock,20,gpu-gpu,gpu,gpu,cuDSS,20,18,54,165,0.0,0.001184537,0.034376532,0.0020483169999999996,NaN,0.012102842330932617,3,7,SOLVE_SUCCEEDED,6.232302087882614,node5004,NVIDIA RTX PRO 6000 Blackwell Server Edition,2026-08-05T21:42:57.874
rosenbrock,rosenrock,2000,cpu-gpu,gpu,cpu,LDLFactorizations,2000,1998,5994,17985,0.0,0.002189542,0.010127819,0.0032301120000000007,0.001047344,0.002731800079345703,3,7,SOLVE_SUCCEEDED,6.232302087882608,node5004,NVIDIA RTX PRO 6000 Blackwell Server Edition,2026-08-05T21:43:01.314
rosenbrock,rosenrock,2000,gpu-cpu,cpu,gpu,cuDSS,2000,1998,5994,17985,0.0,0.001685039,0.046298325,0.003903183,NaN,0.018617868423461914,2,7,SOLVE_SUCCEEDED,6.232302087882607,node5004,NVIDIA RTX PRO 6000 Blackwell Server Edition,2026-08-05T21:43:07.094
rosenbrock,rosenrock,2000,gpu-gpu,gpu,gpu,cuDSS,2000,1998,5994,17985,0.0,0.001922151,0.041979941,0.0018764709999999996,NaN,0.017472028732299805,3,7,SOLVE_SUCCEEDED,6.232302087882614,node5004,NVIDIA RTX PRO 6000 Blackwell Server Edition,2026-08-05T21:43:09.290
rosenbrock,rosenrock,200000,cpu-gpu,gpu,cpu,LDLFactorizations,200000,199998,599994,1799985,0.0,0.031264805,0.799752419,0.05304207399999999,0.116964501,0.347088098526001,3,7,SOLVE_SUCCEEDED,6.232302087882669,node5004,NVIDIA RTX PRO 6000 Blackwell Server Edition,2026-08-05T21:43:15.475
rosenbrock,rosenrock,200000,gpu-cpu,cpu,gpu,cuDSS,200000,199998,599994,1799985,0.0,0.036144276,0.566668279,0.17645470200000002,NaN,0.3368499279022217,3,7,SOLVE_SUCCEEDED,6.2323020878826085,node5004,NVIDIA RTX PRO 6000 Blackwell Server Edition,2026-08-05T21:43:19.522
rosenbrock,rosenrock,200000,gpu-gpu,gpu,gpu,cuDSS,200000,199998,599994,1799985,0.0,0.016101022,0.303635759,0.0020137659999999997,NaN,0.26197290420532227,3,7,SOLVE_SUCCEEDED,6.232302087882672,node5004,NVIDIA RTX PRO 6000 Blackwell Server Edition,2026-08-05T21:43:22.671
opf,pglib_opf_case1354_pegase.m,1354,cpu-gpu,gpu,cpu,LDLFactorizations,11192,16646,62959,90572,0.004910148,0.007106244,0.472787898,0.09586497199999999,0.17576154299999996,0.04141879081726074,3,44,SOLVE_SUCCEEDED,1.2557431487159936e6,node5004,NVIDIA RTX PRO 6000 Blackwell Server Edition,2026-08-05T21:44:06.696
opf,pglib_opf_case1354_pegase.m,1354,gpu-cpu,cpu,gpu,cuDSS,11192,16646,62959,90572,0.004910148,0.004079929,0.286733509,0.060922661000000024,NaN,0.0694580078125,3,44,SOLVE_SUCCEEDED,1.2557431487160402e6,node5004,NVIDIA RTX PRO 6000 Blackwell Server Edition,2026-08-05T21:44:17.196
opf,pglib_opf_case1354_pegase.m,1354,gpu-gpu,gpu,gpu,cuDSS,11192,16646,62959,90572,0.004910148,0.006282665,0.316011616,0.071605951,NaN,0.06969285011291504,3,44,SOLVE_SUCCEEDED,1.255743148715944e6,node5004,NVIDIA RTX PRO 6000 Blackwell Server Edition,2026-08-05T21:44:25.142
opf,pglib_opf_case9241_pegase.m,9241,cpu-gpu,gpu,cpu,LDLFactorizations,85568,130826,502843,726083,0.062427532,0.024659573,6.223186846,0.30162035800000003,3.5772999099999994,0.4291360378265381,2,63,SOLVE_SUCCEEDED,6.217735261023056e6,node5004,NVIDIA RTX PRO 6000 Blackwell Server Edition,2026-08-05T21:44:41.293
opf,pglib_opf_case9241_pegase.m,9241,gpu-cpu,cpu,gpu,cuDSS,85568,130826,502843,726083,0.062427532,0.019601226,1.494396594,0.5663027609999999,NaN,0.4310760498046875,3,63,SOLVE_SUCCEEDED,6.21773526101993e6,node5004,NVIDIA RTX PRO 6000 Blackwell Server Edition,2026-08-05T21:44:49.221
opf,pglib_opf_case9241_pegase.m,9241,gpu-gpu,gpu,gpu,cuDSS,85568,130826,502843,726083,0.062427532,0.016910237,1.010602748,0.08325602999999997,NaN,0.41522693634033203,3,63,SOLVE_SUCCEEDED,6.217735261021618e6,node5004,NVIDIA RTX PRO 6000 Blackwell Server Edition,2026-08-05T21:44:55.039
opf,pglib_opf_case78484_epigrids.m,78478,cpu-gpu,gpu,cpu,LDLFactorizations,674562,1039062,3950953,5708389,0.316566915,0.214029676,149.962435271,3.6778914760000037,105.03047997599998,4.581230878829956,1,114,SOLVE_SUCCEEDED,1.51300802414636e7,node5004,NVIDIA RTX PRO 6000 Blackwell Server Edition,2026-08-05T21:47:29.192
opf,pglib_opf_case78484_epigrids.m,78478,gpu-cpu,cpu,gpu,cuDSS,674562,1039062,3950953,5708389,0.316566915,0.185595531,15.671347739,8.184342916000007,NaN,4.1193342208862305,2,114,SOLVE_SUCCEEDED,1.5130080243479185e7,node5004,NVIDIA RTX PRO 6000 Blackwell Server Edition,2026-08-05T21:48:05.794
opf,pglib_opf_case78484_epigrids.m,78478,gpu-gpu,gpu,gpu,cuDSS,674562,1039062,3950953,5708389,0.316566915,0.120550573,7.578409292,0.19101293399999997,NaN,4.090760946273804,2,113,SOLVE_SUCCEEDED,1.5130080243369484e7,node5004,NVIDIA RTX PRO 6000 Blackwell Server Edition,2026-08-05T21:48:24.629
