suite,case,size,config,model_device,solver_device,linear_solver,nvar,ncon,nnzj,nnzh,tparse,tcreate,ttotal,teval_launch_only,tlinsolve_launch_only,tinit,nreps,iter,status,objective,hostname,device,timestamp
rosenbrock,rosenrock,20,cpu-cpu,cpu,cpu,LDLFactorizations,20,18,54,165,0.0,5.0352e-5,0.000127934,1.7464e-5,1.4366000000000001e-5,4.7206878662109375e-5,3,7,SOLVE_SUCCEEDED,6.232302087882607,node5004,NVIDIA RTX PRO 6000 Blackwell Server Edition,2026-08-05T22:50:43.489
rosenbrock,rosenrock,20,cpu-gpu,gpu,cpu,LDLFactorizations,20,18,54,165,0.0,0.001230215,0.002398582,0.0017598500000000007,3.4275999999999995e-5,0.0002930164337158203,3,7,SOLVE_SUCCEEDED,6.232302087882614,node5004,NVIDIA RTX PRO 6000 Blackwell Server Edition,2026-08-05T22:51:07.970
rosenbrock,rosenrock,20,gpu-cpu,cpu,gpu,cuDSS,20,18,54,165,0.0,0.000879183,0.030469315,0.0017207049999999997,NaN,0.011305093765258789,3,7,SOLVE_SUCCEEDED,6.232302087882607,node5004,NVIDIA RTX PRO 6000 Blackwell Server Edition,2026-08-05T22:52:10.268
rosenbrock,rosenrock,20,gpu-gpu,gpu,gpu,cuDSS,20,18,54,165,0.0,0.001087978,0.030093853,0.00165037,NaN,0.011202812194824219,3,7,SOLVE_SUCCEEDED,6.232302087882608,node5004,NVIDIA RTX PRO 6000 Blackwell Server Edition,2026-08-05T22:52:15.696
rosenbrock,rosenrock,2000,cpu-cpu,cpu,cpu,LDLFactorizations,2000,1998,5994,17985,0.0,0.000194623,0.008226469,0.0014981390000000001,0.0010033590000000001,0.0028820037841796875,3,7,SOLVE_SUCCEEDED,6.232302087882607,node5004,NVIDIA RTX PRO 6000 Blackwell Server Edition,2026-08-05T22:52:17.597
rosenbrock,rosenrock,2000,cpu-gpu,gpu,cpu,LDLFactorizations,2000,1998,5994,17985,0.0,0.002017562,0.011361686,0.003924636,0.001105468,0.0030269622802734375,3,7,SOLVE_SUCCEEDED,6.232302087882608,node5004,NVIDIA RTX PRO 6000 Blackwell Server Edition,2026-08-05T22:52:20.239
rosenbrock,rosenrock,2000,gpu-cpu,cpu,gpu,cuDSS,2000,1998,5994,17985,0.0,0.001547832,0.044050218,0.0038398550000000005,NaN,0.01775193214416504,2,7,SOLVE_SUCCEEDED,6.232302087882607,node5004,NVIDIA RTX PRO 6000 Blackwell Server Edition,2026-08-05T22:52:25.408
rosenbrock,rosenrock,2000,gpu-gpu,gpu,gpu,cuDSS,2000,1998,5994,17985,0.0,0.001688277,0.040763491,0.0018585220000000003,NaN,0.017007112503051758,3,7,SOLVE_SUCCEEDED,6.232302087882614,node5004,NVIDIA RTX PRO 6000 Blackwell Server Edition,2026-08-05T22:52:27.155
rosenbrock,rosenrock,200000,cpu-cpu,cpu,cpu,LDLFactorizations,200000,199998,599994,1799985,0.0,0.014674842,0.965106144,0.158871225,0.120493232,0.3556368350982666,3,7,SOLVE_SUCCEEDED,6.232302087882607,node5004,NVIDIA RTX PRO 6000 Blackwell Server Edition,2026-08-05T22:52:32.207
rosenbrock,rosenrock,200000,cpu-gpu,gpu,cpu,LDLFactorizations,200000,199998,599994,1799985,0.0,0.029883948,0.721505344,0.05057984099999999,0.115787591,0.27150917053222656,3,7,SOLVE_SUCCEEDED,6.232302087882669,node5004,NVIDIA RTX PRO 6000 Blackwell Server Edition,2026-08-05T22:52:36.970
