framework,device,n,tload_s,tbuild_s,tfirst_grad_s,twarm_grad_s,tfirst_hess_s,twarm_hess_s,tready_s
jax,cpu,20,0.656434,0.000092,0.029666,0.000003,0.150698,0.000013,0.150790
jax,cpu,200,0.499065,0.000090,0.030059,0.000008,0.161281,0.000033,0.161371
jax,cpu,2000,0.436540,0.000092,0.030331,0.000009,0.172956,0.000227,0.173047
jax,cpu,20000,0.447306,0.000095,0.030948,0.000011,0.172580,0.002178,0.172675
jax,cpu,200000,0.457483,0.000101,0.030101,0.000041,0.190901,0.021589,0.191002
torch,cpu,20,1.276190,0.000001,0.000763,0.000046,0.520804,0.000562,0.520805
torch,cpu,200,1.140809,0.000001,0.000764,0.000049,0.363769,0.000607,0.363770
torch,cpu,2000,1.236688,0.000001,0.000833,0.000055,0.372482,0.000740,0.372483
torch,cpu,20000,1.155516,0.000001,0.001188,0.000119,0.439553,0.002112,0.439554
torch,cpu,200000,1.111585,0.000001,0.005063,0.000934,0.447706,0.019851,0.447707
casadi,cpu,20,0.087306,0.000932,0.075618,0.000001,0.268405,0.000003,0.269337
casadi,cpu,200,0.083071,0.001188,0.065483,0.000002,0.269051,0.000021,0.270239
casadi,cpu,2000,0.079620,0.003305,0.067312,0.000008,0.312433,0.000192,0.315738
casadi,cpu,20000,0.080069,0.025713,0.078917,0.000078,0.728163,0.001908,0.753876
casadi,cpu,200000,0.075132,0.274648,0.203245,0.000790,5.732165,0.024498,6.006813
