suite,case,size,config,model_device,solver_device,linear_solver,nvar,ncon,nnzj,nnzh,tparse,tcreate,ttotal,teval_launch_only,tlinsolve_launch_only,tinit,nreps,iter,status,objective,neval_obj,neval_cons,neval_grad,neval_jac,neval_hess,hostname,device,timestamp
rosenbrock,rosenrock,20,cpu-cpu,cpu,cpu,LDLFactorizations,20,18,54,165,0.0,2.7094e-5,0.000122992,1.7573e-5,1.3761000000000001e-5,4.38690185546875e-5,3,7,SOLVE_SUCCEEDED,6.232302087882607,8,8,8,8,7,node5004,NVIDIA RTX PRO 6000 Blackwell Server Edition,2026-08-06T15:15:34.549
rosenbrock,rosenrock,20,cpu-gpu,gpu,cpu,LDLFactorizations,20,18,54,165,0.0,0.001042164,0.00262224,0.001856217,3.3854e-5,0.0003561973571777344,3,7,SOLVE_SUCCEEDED,6.232302087882614,8,8,8,8,7,node5004,NVIDIA RTX PRO 6000 Blackwell Server Edition,2026-08-06T15:15:58.437
rosenbrock,rosenrock,20,gpu-cpu,cpu,gpu,cuDSS,20,18,54,165,0.0,0.000889105,0.031107919,0.001685103,NaN,0.01147007942199707,3,7,SOLVE_SUCCEEDED,6.232302087882607,8,8,8,8,7,node5004,NVIDIA RTX PRO 6000 Blackwell Server Edition,2026-08-06T15:16:59.049
rosenbrock,rosenrock,20,gpu-gpu,gpu,gpu,cuDSS,20,18,54,165,0.0,0.00119279,0.026114349,0.001285899,NaN,0.010517120361328125,3,7,SOLVE_SUCCEEDED,6.232302087882608,8,8,8,8,7,node5004,NVIDIA RTX PRO 6000 Blackwell Server Edition,2026-08-06T15:17:04.690
rosenbrock,rosenrock,2000,cpu-cpu,cpu,cpu,LDLFactorizations,2000,1998,5994,17985,0.0,0.000188221,0.009841183,0.0015860579999999996,0.001141854,0.003728151321411133,3,7,SOLVE_SUCCEEDED,6.232302087882607,8,8,8,8,7,node5004,NVIDIA RTX PRO 6000 Blackwell Server Edition,2026-08-06T15:17:06.690
rosenbrock,rosenrock,2000,cpu-gpu,gpu,cpu,LDLFactorizations,2000,1998,5994,17985,0.0,0.001831699,0.009974895,0.003181427,0.001037999,0.0028409957885742188,3,7,SOLVE_SUCCEEDED,6.232302087882608,8,8,8,8,7,node5004,NVIDIA RTX PRO 6000 Blackwell Server Edition,2026-08-06T15:17:09.510
rosenbrock,rosenrock,2000,gpu-cpu,cpu,gpu,cuDSS,2000,1998,5994,17985,0.0,0.001428296,0.045011159,0.0038887779999999994,NaN,0.018352031707763672,2,7,SOLVE_SUCCEEDED,6.232302087882607,8,8,8,8,7,node5004,NVIDIA RTX PRO 6000 Blackwell Server Edition,2026-08-06T15:17:14.850
rosenbrock,rosenrock,2000,gpu-gpu,gpu,gpu,cuDSS,2000,1998,5994,17985,0.0,0.001596401,0.036235358,0.001466444,NaN,0.016091108322143555,3,7,SOLVE_SUCCEEDED,6.232302087882614,8,8,8,8,7,node5004,NVIDIA RTX PRO 6000 Blackwell Server Edition,2026-08-06T15:17:16.949
rosenbrock,rosenrock,200000,cpu-cpu,cpu,cpu,LDLFactorizations,200000,199998,599994,1799985,0.0,0.014654949,0.888797005,0.15407175700000006,0.11477708,0.3072659969329834,3,7,SOLVE_SUCCEEDED,6.232302087882607,8,8,8,8,7,node5004,NVIDIA RTX PRO 6000 Blackwell Server Edition,2026-08-06T15:17:22.128
rosenbrock,rosenrock,200000,cpu-gpu,gpu,cpu,LDLFactorizations,200000,199998,599994,1799985,0.0,0.031168133,0.731696296,0.050693915,0.115382148,0.2851221561431885,3,7,SOLVE_SUCCEEDED,6.232302087882669,8,8,8,8,7,node5004,NVIDIA RTX PRO 6000 Blackwell Server Edition,2026-08-06T15:17:27.315
