framework,device,n,tload_s,tbuild_s,tfirst_grad_s,twarm_grad_s,tfirst_hess_s,twarm_hess_s,tready_s
jax,cpu,20,0.835304,0.197747,0.034821,0.000004,0.093188,0.000023,0.290935
jax,cpu,200,0.475324,0.190846,0.037344,0.000017,0.089836,0.000039,0.280682
jax,cpu,2000,0.474791,0.197879,0.037291,0.000017,0.098162,0.000223,0.296041
jax,cpu,20000,0.490824,0.204688,0.036358,0.000021,0.144780,0.002108,0.349468
jax,cpu,200000,0.495826,0.192240,0.033885,0.000064,0.626684,0.025234,0.818924
torch,cpu,20,1.649697,2.791704,6.540792,0.000014,2.149466,0.000024,4.941170
torch,cpu,200,1.379452,2.313577,5.866367,0.000014,2.147618,0.000031,4.461196
torch,cpu,2000,1.351583,2.210025,5.722367,0.000016,1.970260,0.000118,4.180285
torch,cpu,20000,1.580372,2.146295,5.904169,0.000035,1.972714,0.000986,4.119010
torch,cpu,200000,1.388136,2.185218,5.762227,0.000218,1.964187,0.009521,4.149405
casadi,cpu,20,0.010839,0.001177,0.103903,0.000002,0.391603,0.000004,0.392779
casadi,cpu,200,0.009421,0.001613,0.091130,0.000003,0.398108,0.000026,0.399721
casadi,cpu,2000,0.009740,0.004849,0.095119,0.000013,0.456813,0.000246,0.461663
casadi,cpu,20000,0.009540,0.038271,0.111783,0.000122,1.046249,0.002526,1.084521
casadi,cpu,200000,0.009405,0.425493,0.288358,0.001083,8.127070,0.035125,8.552564
