suite,problem,size,ams,nvar,ncon,nnzj,nnzh,tobj,tcon,tgrad,tjac,thess,thprod,tjprod,tjtprod,tcreate
LV,rosenrock,20,JuMP,20,18,54,129,3.69e-7,3.44e-7,1.055e-6,2.715e-6,3.1978e-5,2.6379e-5,2.735e-6,2.753e-6,0.004660666
LV,rosenrock,2000,JuMP,2000,1998,5994,13989,1.841e-6,2.1279e-5,6.8681e-5,0.000439662,0.003895202,0.003066758,0.000436764,0.000439595,0.518367466
LV,rosenrock,200000,JuMP,200000,199998,599994,1399989,0.000151506,0.006633764,0.010217893,0.116828331,0.651719478,0.451730769,0.117317669,0.118819447,69.428151264
LV,wood,20,JuMP,20,13,39,78,3.6e-7,3.31e-7,1.64e-6,1.609e-6,2.4965e-5,2.2564e-5,1.625e-6,1.617e-6,0.00174944
LV,wood,2000,JuMP,2000,1993,5979,9978,1.857e-6,1.1851e-5,0.000137066,0.000349204,0.003339389,0.002877481,0.000346316,0.0003528,0.230954725
LV,wood,200000,JuMP,200000,199993,599979,999978,0.000146094,0.006339921,0.020302615,0.089911905,0.500756622,0.398637063,0.092160772,0.086711747,38.280660755
LV,chained_powell,20,JuMP,20,2,4,54,3.6e-7,2.99e-7,1.141e-6,5.07e-7,1.2233e-5,1.124e-5,5.12e-7,5.1e-7,0.000758367
LV,chained_powell,2000,JuMP,2000,2,4,5004,1.84e-6,1.784e-6,8.1256e-5,2.015e-6,0.001101698,0.001100244,2.013e-6,2.527e-6,0.048048617
LV,chained_powell,200000,JuMP,200000,2,4,500004,0.000145513,0.000145462,0.011446803,0.000146053,0.136205042,0.131536804,0.000146021,0.000209906,7.791527704
LV,cragg_levy,20,JuMP,20,18,54,111,3.58e-7,3.41e-7,1.009e-6,2.285e-6,2.8845e-5,2.3342e-5,2.311e-6,2.309e-6,0.00239628
LV,cragg_levy,2000,JuMP,2000,1998,5994,11991,1.84e-6,1.8044e-5,6.7097e-5,0.000374778,0.003488671,0.002691802,0.000374531,0.00037699,0.257461915
