suite,problem,size,ams,nvar,ncon,nnzj,nnzh,tobj,tcon,tgrad,tjac,thess,thprod,tjprod,tjtprod,tcreate
OPF-polar,pglib_opf_case3_lmbd.m,pglib_opf_case3_lmbd.m,ExaModels,24,28,103,141,1.8e-8,3.07e-7,2.9e-8,4.62e-7,7.74e-7,3.6e-8,5.81e-7,5.6e-7,0.000370611
OPF-polar,pglib_opf_case5_pjm.m,pglib_opf_case5_pjm.m,ExaModels,44,53,201,279,1.9e-8,4.94e-7,3.3e-8,8.45e-7,1.499e-6,3.4e-8,1.049e-6,1.042e-6,0.000395254
OPF-polar,pglib_opf_case14_ieee.m,pglib_opf_case14_ieee.m,ExaModels,118,169,639,913,1.8e-8,1.427e-6,4.1e-8,2.664e-6,4.8e-6,3.9e-8,3.369e-6,3.149e-6,0.000499914
OPF-polar,pglib_opf_case24_ieee_rts.m,pglib_opf_case24_ieee_rts.m,ExaModels,266,315,1255,1753,1.8e-8,2.634e-6,9.3e-8,5.068e-6,9.196e-6,1.08e-7,6.179e-6,6.129e-6,0.000577984
OPF-polar,pglib_opf_case30_ieee.m,pglib_opf_case30_ieee.m,ExaModels,236,348,1303,1870,1.8e-8,2.798e-6,4.7e-8,5.442e-6,9.876e-6,5.0e-8,6.585e-6,6.457e-6,0.000522057
OPF-polar,pglib_opf_case30_as.m,pglib_opf_case30_as.m,ExaModels,236,348,1303,1870,1.8e-8,2.771e-6,4.7e-8,5.428e-6,9.834e-6,4.8e-8,6.479e-6,6.36e-6,0.000571448
OPF-polar,pglib_opf_case39_epri.m,pglib_opf_case39_epri.m,ExaModels,282,401,1479,2112,1.8e-8,3.028e-6,5.9e-8,6.252e-6,1.1121e-5,6.7e-8,7.445e-6,7.338e-6,0.000566351
OPF-polar,pglib_opf_case57_ieee.m,pglib_opf_case57_ieee.m,ExaModels,448,675,2529,3641,1.8e-8,5.32e-6,6.1e-8,1.0921e-5,1.9167e-5,6.2e-8,1.2895e-5,1.2464e-5,0.000685047
OPF-polar,pglib_opf_case60_c.m,pglib_opf_case60_c.m,ExaModels,518,737,2807,4015,1.9e-8,5.72e-6,8.9e-8,1.2076e-5,2.1201e-5,9.8e-8,1.4168e-5,1.3792e-5,0.00069985
OPF-polar,pglib_opf_case73_ieee_rts.m,pglib_opf_case73_ieee_rts.m,ExaModels,824,987,3945,5525,1.9e-8,7.932e-6,2.07e-7,1.662e-5,2.9148e-5,2.55e-7,1.9159e-5,1.9221e-5,0.000989613
OPF-polar,pglib_opf_case89_pegase.m,pglib_opf_case89_pegase.m,ExaModels,1042,1649,6503,9430,1.8e-8,1.3544e-5,8.7e-8,2.9338e-5,5.0966e-5,9.5e-8,3.3252e-5,3.3938e-5,0.001040804
OPF-polar,pglib_opf_case118_ieee.m,pglib_opf_case118_ieee.m,ExaModels,1088,1539,5925,8474,1.8e-8,1.2365e-5,1.5e-7,2.6277e-5,4.4832e-5,1.87e-7,2.9536e-5,3.0086e-5,0.001396365
OPF-polar,pglib_opf_case162_ieee_dtc.m,pglib_opf_case162_ieee_dtc.m,ExaModels,1484,2313,8869,12832,1.8e-8,1.8594e-5,1.03e-7,3.9889e-5,6.9039e-5,1.12e-7,4.531e-5,4.6106e-5,0.001368331
OPF-polar,pglib_opf_case179_goc.m,pglib_opf_case179_goc.m,ExaModels,1468,2200,8307,11959,1.8e-8,1.7511e-5,1.27e-7,3.7121e-5,6.3713e-5,1.44e-7,4.1887e-5,4.2624e-5,0.001418005
OPF-polar,pglib_opf_case197_snem.m,pglib_opf_case197_snem.m,ExaModels,1608,2397,9045,13013,1.9e-8,1.8982e-5,1.43e-7,4.0236e-5,6.9321e-5,1.62e-7,4.5757e-5,4.6399e-5,0.001515
OPF-polar,pglib_opf_case200_activ.m,pglib_opf_case200_activ.m,ExaModels,1456,2116,7827,11218,1.8e-8,1.6319e-5,1.41e-7,3.4609e-5,5.9635e-5,1.59e-7,3.912e-5,3.9924e-5,0.00142756
OPF-polar,pglib_opf_case240_pserc.m,pglib_opf_case240_pserc.m,ExaModels,2558,3617,14207,20335,1.8e-8,2.9864e-5,6.37e-7,6.175e-5,0.000109136,6.96e-7,7.1717e-5,7.2886e-5,0.002143579
OPF-polar,pglib_opf_case300_ieee.m,pglib_opf_case300_ieee.m,ExaModels,2382,3478,13069,18753,1.8e-8,2.7716e-5,2.24e-7,5.803e-5,9.9475e-5,2.56e-7,6.5948e-5,6.7345e-5,0.001995203
OPF-polar,pglib_opf_case500_goc.m,pglib_opf_case500_goc.m,ExaModels,4254,6097,23183,33203,1.8e-8,4.9019e-5,1.465e-6,0.000103561,0.000177236,1.405e-6,0.000117856,0.000119875,0.003509421
OPF-polar,pglib_opf_case588_sdet.m,pglib_opf_case588_sdet.m,ExaModels,4110,5979,21947,31455,1.8e-8,4.6318e-5,1.067e-6,9.593e-5,0.000168086,1.129e-6,0.000111048,0.000115347,0.003210848
OPF-polar,pglib_opf_case793_goc.m,pglib_opf_case793_goc.m,ExaModels,5432,7978,29171,41855,2.0e-8,6.1532e-5,1.452e-6,0.000129691,0.00022376,1.438e-6,0.000147425,0.000150091,0.004493083
OPF-polar,pglib_opf_case1354_pegase.m,pglib_opf_case1354_pegase.m,ExaModels,11192,16646,62959,90572,1.8e-8,0.000139168,3.35e-6,0.000288463,0.000503516,3.526e-6,0.000334447,0.000339865,0.007804614
OPF-polar,pglib_opf_case1803_snem.m,pglib_opf_case1803_snem.m,ExaModels,15246,23172,87917,126816,1.8e-8,0.00020116,4.396e-6,0.000418991,0.000716787,4.796e-6,0.000469006,0.000473986,0.010480021
OPF-polar,pglib_opf_case1888_rte.m,pglib_opf_case1888_rte.m,ExaModels,14480,21494,80287,115430,1.8e-8,0.000182595,4.731e-6,0.000382501,0.000649857,4.633e-6,0.000429893,0.000431971,0.010140661
OPF-polar,pglib_opf_case1951_rte.m,pglib_opf_case1951_rte.m,ExaModels,15018,22075,82515,118492,1.9e-8,0.000188324,4.663e-6,0.000383581,0.000666404,5.002e-6,0.000439935,0.000449527,0.010700973
OPF-polar,pglib_opf_case2000_goc.m,pglib_opf_case2000_goc.m,ExaModels,19008,29432,113467,164090,1.8e-8,0.000269521,5.4e-6,0.000553123,0.000938106,5.736e-6,0.000619496,0.000628138,0.013245155
OPF-polar,pglib_opf_case2312_goc.m,pglib_opf_case2312_goc.m,ExaModels,17128,25716,95467,137422,1.9e-8,0.00022374,5.117e-6,0.00044785,0.000780001,5.258e-6,0.000512498,0.000519799,0.012094181
OPF-polar,pglib_opf_case2383wp_k.m,pglib_opf_case2383wp_k.m,ExaModels,17004,25039,92301,132517,1.9e-8,0.000218799,5.438e-6,0.000431799,0.000750874,5.54e-6,0.000498691,0.000503752,0.011472967
OPF-polar,pglib_opf_case2736sp_k.m,pglib_opf_case2736sp_k.m,ExaModels,19088,28356,104083,149578,1.8e-8,0.000249934,5.501e-6,0.000506349,0.00085282,5.507e-6,0.00057023,0.000578035,0.013749847
OPF-polar,pglib_opf_case2737sop_k.m,pglib_opf_case2737sop_k.m,ExaModels,18988,28358,103983,149529,1.8e-8,0.000248785,5.125e-6,0.000494045,0.000853319,5.598e-6,0.000568694,0.00057735,0.013489745
OPF-polar,pglib_opf_case2742_goc.m,pglib_opf_case2742_goc.m,ExaModels,24540,38196,146039,211278,1.8e-8,0.000366004,6.585e-6,0.000711138,0.001226216,7.071e-6,0.0008453,0.000830613,0.015668896
OPF-polar,pglib_opf_case2746wop_k.m,pglib_opf_case2746wop_k.m,ExaModels,19582,28642,105565,151431,1.8e-8,0.000254904,6.26e-6,0.000514269,0.000866257,6.422e-6,0.000582505,0.000589451,0.013859608
OPF-polar,pglib_opf_case2746wp_k.m,pglib_opf_case2746wp_k.m,ExaModels,19520,28446,104775,150224,1.8e-8,0.000253312,5.789e-6,0.000510215,0.000858526,6.056e-6,0.000575547,0.000580085,0.01388512
OPF-polar,pglib_opf_case2848_rte.m,pglib_opf_case2848_rte.m,ExaModels,21822,32129,119999,172351,1.8e-8,0.000296273,6.956e-6,0.000580228,0.000996091,7.113e-6,0.000672621,0.000683489,0.015535482
OPF-polar,pglib_opf_case2853_sdet.m,pglib_opf_case2853_sdet.m,ExaModels,23028,33154,124975,179049,1.8e-8,0.000307439,7.885e-6,0.000608371,0.001032776,8.17e-6,0.00069167,0.000707397,0.016439866
OPF-polar,pglib_opf_case2868_rte.m,pglib_opf_case2868_rte.m,ExaModels,22090,32393,121099,173849,1.8e-8,0.000317158,7.099e-6,0.000587259,0.00100426,6.985e-6,0.000680039,0.000685808,0.015982729
OPF-polar,pglib_opf_case2869_pegase.m,pglib_opf_case2869_pegase.m,ExaModels,25086,37813,144219,207856,1.8e-8,0.000367774,7.784e-6,0.000710774,0.001206619,7.985e-6,0.000832193,0.000837817,0.016514001
OPF-polar,pglib_opf_case3012wp_k.m,pglib_opf_case3012wp_k.m,ExaModels,21082,31029,113955,163577,1.8e-8,0.000276379,6.662e-6,0.000557486,0.000936657,6.61e-6,0.000630034,0.000639618,0.0147849
OPF-polar,pglib_opf_case3022_goc.m,pglib_opf_case3022_goc.m,ExaModels,23238,34990,130749,188311,1.8e-8,0.00032427,7.068e-6,0.000631171,0.001088597,7.033e-6,0.000728081,0.00073732,0.016030587
OPF-polar,pglib_opf_case3120sp_k.m,pglib_opf_case3120sp_k.m,ExaModels,21608,32092,117627,169030,1.8e-8,0.000287747,6.476e-6,0.000572243,0.000971769,6.387e-6,0.000651278,0.000659141,0.014937614
OPF-polar,pglib_opf_case3375wp_k.m,pglib_opf_case3375wp_k.m,ExaModels,24350,35876,132537,190311,2.0e-8,0.000331399,7.699e-6,0.000640919,0.001100845,7.832e-6,0.000737117,0.000747897,0.016793174
OPF-polar,pglib_opf_case3970_goc.m,pglib_opf_case3970_goc.m,ExaModels,35270,54428,207937,300527,1.8e-8,0.000545488,9.694e-6,0.001021702,0.001752757,1.0257e-5,0.001191969,0.00119994,0.02296307
OPF-polar,pglib_opf_case4020_goc.m,pglib_opf_case4020_goc.m,ExaModels,36696,56957,218385,315864,1.8e-8,0.000578715,9.877e-6,0.001075326,0.001843811,1.0711e-5,0.001262101,0.001277586,0.024133052
OPF-polar,pglib_opf_case4601_goc.m,pglib_opf_case4601_goc.m,ExaModels,38814,59596,225989,326366,1.8e-8,0.000601425,1.1432e-5,0.001135391,0.001905381,1.0372e-5,0.001303683,0.001312561,0.026263255
OPF-polar,pglib_opf_case4619_goc.m,pglib_opf_case4619_goc.m,ExaModels,42532,66289,254433,368185,1.8e-8,0.000688391,1.249e-5,0.00126532,0.00215788,1.2194e-5,0.001486165,0.001500679,0.029189163
OPF-polar,pglib_opf_case4661_sdet.m,pglib_opf_case4661_sdet.m,ExaModels,34758,51302,190681,273914,1.8e-8,0.000501712,1.0883e-5,0.000933855,0.001591546,1.0953e-5,0.001086058,0.001098554,0.024366387
OPF-polar,pglib_opf_case4837_goc.m,pglib_opf_case4837_goc.m,ExaModels,41398,64030,243289,351666,1.8e-8,0.000652244,1.1993e-5,0.001225767,0.00205822,1.1316e-5,0.001411815,0.001420422,0.027653481
OPF-polar,pglib_opf_case4917_goc.m,pglib_opf_case4917_goc.m,ExaModels,37872,56917,212749,306345,1.9e-8,0.000565915,1.0402e-5,0.001048111,0.001791135,1.1507e-5,0.001224605,0.001237086,0.027834379
OPF-polar,pglib_opf_case5658_epigrids.m,pglib_opf_case5658_epigrids.m,ExaModels,48552,74821,284425,410958,1.8e-8,0.00077428,1.4257e-5,0.001410271,0.002403138,1.4257e-5,0.001663028,0.001702506,0.031916695
OPF-polar,pglib_opf_case6468_rte.m,pglib_opf_case6468_rte.m,ExaModels,49734,75937,283735,409335,1.8e-8,0.000789638,1.4697e-5,0.001434177,0.002409375,1.4469e-5,0.001708333,0.001712172,0.036148961
OPF-polar,pglib_opf_case6470_rte.m,pglib_opf_case6470_rte.m,ExaModels,50482,75976,284613,409921,1.8e-8,0.000792272,1.5382e-5,0.001427731,0.002409539,1.57e-5,0.001706351,0.001719205,0.03611594
OPF-polar,pglib_opf_case6495_rte.m,pglib_opf_case6495_rte.m,ExaModels,50426,76124,284921,410506,1.8e-8,0.000791171,1.4773e-5,0.001430949,0.002413389,1.5656e-5,0.001710774,0.001718244,0.036831581
OPF-polar,pglib_opf_case6515_rte.m,pglib_opf_case6515_rte.m,ExaModels,50546,76290,285509,411342,1.8e-8,0.000796608,1.5672e-5,0.00143766,0.00241693,1.582e-5,0.001730219,0.001725586,0.036505273
OPF-polar,pglib_opf_case7336_epigrids.m,pglib_opf_case7336_epigrids.m,ExaModels,62116,95306,361611,522192,1.8e-8,0.001014836,1.8279e-5,0.001835857,0.003086657,1.8925e-5,0.002146883,0.002157847,0.042011416
OPF-polar,pglib_opf_case8387_pegase.m,pglib_opf_case8387_pegase.m,ExaModels,78748,118702,457335,659323,1.9e-8,0.00133911,2.5442e-5,0.002388777,0.00397514,2.6457e-5,0.002958515,0.002959074,0.058749974
OPF-polar,pglib_opf_case9241_pegase.m,pglib_opf_case9241_pegase.m,ExaModels,85568,130826,502843,726083,1.8e-8,0.001498753,2.731e-5,0.002682205,0.004399824,2.7987e-5,0.003318348,0.003364996,0.057368843
OPF-polar,pglib_opf_case9591_goc.m,pglib_opf_case9591_goc.m,ExaModels,83572,130588,497363,719807,1.8e-8,0.001420343,2.3797e-5,0.002552822,0.004282737,2.4102e-5,0.002984934,0.003023712,0.056266309
OPF-polar,pglib_opf_case10000_goc.m,pglib_opf_case10000_goc.m,ExaModels,76804,112352,419823,602508,1.8e-8,0.001199464,2.4771e-5,0.002123877,0.003557201,2.592e-5,0.002497073,0.002508255,0.055167486
