suite,problem,size,ams,nvar,ncon,nnzj,nnzh,tobj,tcon,tgrad,tjac,thess,thprod,tjprod,tjtprod,tcreate
LV,rosenrock,20,ExaModels,20,18,54,165,2.8525e-5,5.855e-6,2.2878e-5,1.1542e-5,1.8552e-5,3.006e-5,2.3528e-5,2.3543e-5,0.001443759
LV,rosenrock,2000,ExaModels,2000,1998,5994,17985,3.9917e-5,5.897e-6,2.3004e-5,1.2892e-5,1.9751e-5,3.0317e-5,2.5101e-5,2.5093e-5,0.002638232
LV,rosenrock,200000,ExaModels,200000,199998,599994,1799985,3.9961e-5,6.201e-6,2.3015e-5,1.2878e-5,1.98e-5,3.1929e-5,2.5077e-5,2.5087e-5,0.060735613
LV,wood,20,ExaModels,20,13,39,102,2.9064e-5,1.8233e-5,2.267e-5,1.8019e-5,2.5697e-5,3.0352e-5,3.0075e-5,3.0246e-5,0.001539224
LV,wood,2000,ExaModels,2000,1993,5979,12972,4.1056e-5,1.8389e-5,2.4093e-5,1.8044e-5,2.7213e-5,3.1401e-5,3.0315e-5,3.0496e-5,0.002844182
LV,wood,200000,ExaModels,200000,199993,599979,1299972,4.0304e-5,1.8616e-5,2.3976e-5,1.8063e-5,2.7333e-5,3.1738e-5,3.037e-5,3.0775e-5,0.053056652
LV,chained_powell,20,ExaModels,20,2,4,79,2.8881e-5,1.2151e-5,2.3078e-5,1.8098e-5,2.5834e-5,3.0164e-5,3.0189e-5,3.0255e-5,0.001457026
LV,chained_powell,2000,ExaModels,2000,2,4,7999,4.1555e-5,1.2071e-5,2.3688e-5,1.8032e-5,2.7296e-5,3.1773e-5,3.0092e-5,3.0405e-5,0.002043592
LV,chained_powell,200000,ExaModels,200000,2,4,799999,4.1661e-5,1.1999e-5,2.3062e-5,1.8056e-5,2.7307e-5,3.1984e-5,3.0101e-5,3.0438e-5,0.014258377
LV,cragg_levy,20,ExaModels,20,18,54,135,2.8822e-5,5.956e-6,2.2869e-5,1.1562e-5,1.8836e-5,3.0433e-5,2.3523e-5,2.376e-5,0.00143638
LV,cragg_levy,2000,ExaModels,2000,1998,5994,14985,4.1773e-5,5.886e-6,2.4121e-5,1.1582e-5,2.1477e-5,3.1966e-5,2.364e-5,2.3933e-5,0.002629187
LV,cragg_levy,200000,ExaModels,200000,199998,599994,1499985,4.131e-5,5.943e-6,2.4094e-5,1.1592e-5,2.1676e-5,3.1815e-5,2.3732e-5,2.3937e-5,0.056043014
LV,broyden_tridiagonal,20,ExaModels,20,16,80,194,3.5663e-5,5.9e-6,2.9393e-5,1.1486e-5,2.5899e-5,3.8252e-5,2.3687e-5,2.3771e-5,0.001538647
LV,broyden_tridiagonal,2000,ExaModels,2000,1996,9980,21974,4.7224e-5,5.941e-6,3.0582e-5,1.1618e-5,2.8681e-5,3.9716e-5,2.3859e-5,2.3851e-5,0.002796789
LV,broyden_tridiagonal,200000,ExaModels,200000,199996,999980,2199974,4.7527e-5,5.94e-6,3.0928e-5,1.1643e-5,2.8689e-5,3.9801e-5,2.3863e-5,2.4109e-5,0.079689999
LV,broyden_banded,20,ExaModels,40,29,167,258,2.8714e-5,5.0415e-5,2.2817e-5,6.2867e-5,7.5249e-5,3.0377e-5,7.8714e-5,7.8351e-5,0.001990766
LV,broyden_banded,2000,ExaModels,4000,2999,18977,27978,4.0323e-5,5.1565e-5,2.3922e-5,6.4193e-5,7.7315e-5,3.1588e-5,7.9567e-5,7.9558e-5,0.003456953
LV,broyden_banded,200000,ExaModels,400000,299999,1899977,2799978,4.061e-5,5.0944e-5,2.3806e-5,6.4826e-5,7.8235e-5,3.1818e-5,8.0119e-5,7.9628e-5,0.117202159
LV,trigo_tridiagonal,20,ExaModels,20,4,14,69,2.9156e-5,2.4886e-5,2.2818e-5,3.1915e-5,4.1875e-5,3.0362e-5,4.5515e-5,4.5697e-5,0.001599191
LV,trigo_tridiagonal,2000,ExaModels,2000,4,14,6009,4.0966e-5,2.4982e-5,2.4138e-5,3.2163e-5,4.33e-5,3.1805e-5,4.5693e-5,4.5797e-5,0.002214271
LV,trigo_tridiagonal,200000,ExaModels,200000,4,14,600009,4.0923e-5,2.4759e-5,2.4074e-5,3.1921e-5,4.3092e-5,3.183e-5,4.5384e-5,4.5628e-5,0.013548731
LV,augmented_lagrangian,20,ExaModels,20,18,54,106,2.9834e-5,5.904e-6,2.352e-5,1.1678e-5,1.938e-5,3.0863e-5,2.3641e-5,2.3777e-5,0.001480954
LV,augmented_lagrangian,2000,ExaModels,2000,1998,5994,10798,2.7922e-5,5.875e-6,2.3931e-5,1.1654e-5,1.9793e-5,3.1667e-5,2.3747e-5,2.3887e-5,0.002643073
LV,augmented_lagrangian,200000,ExaModels,200000,199998,599994,1079998,4.1142e-5,5.858e-6,2.4951e-5,1.1588e-5,2.0782e-5,3.2471e-5,2.5341e-5,2.5168e-5,0.047962301
LV,modified_brown,20,ExaModels,20,6,30,61,2.9114e-5,4.5621e-5,2.3284e-5,6.1022e-5,6.8305e-5,3.0468e-5,7.6929e-5,7.7011e-5,0.001846041
LV,modified_brown,2000,ExaModels,2000,6,30,3031,4.2984e-5,4.5766e-5,2.4177e-5,6.1347e-5,7.0861e-5,3.1904e-5,7.7325e-5,7.7381e-5,0.002386375
LV,modified_brown,200000,ExaModels,200000,6,30,300031,4.1411e-5,4.5787e-5,2.3297e-5,6.0593e-5,6.9973e-5,3.1952e-5,7.6397e-5,7.7069e-5,0.006644342
LV,generalized_brown,20,ExaModels,20,18,54,58,2.6526e-5,6.125e-6,2.3412e-5,1.1511e-5,1.9158e-5,3.0965e-5,2.3491e-5,2.3558e-5,0.001382457
LV,generalized_brown,2000,ExaModels,2000,1998,5994,5998,4.3789e-5,6.165e-6,2.611e-5,1.217e-5,2.0258e-5,3.1921e-5,2.3823e-5,2.3688e-5,0.002701241
LV,generalized_brown,200000,ExaModels,200000,199998,599994,599998,4.1691e-5,6.179e-6,2.4869e-5,1.1557e-5,2.0149e-5,3.3891e-5,2.3603e-5,2.3706e-5,0.03579787
LV,chained_hs46,20,ExaModels,20,11,33,79,3.0865e-5,1.3228e-5,2.2854e-5,1.923e-5,2.783e-5,3.0615e-5,3.1622e-5,3.1802e-5,0.001538958
