suite,problem,size,ams,nvar,ncon,nnzj,nnzh,tobj,tcon,tgrad,tjac,thess,thprod,tjprod,tjtprod,tcreate
LV,rosenrock,20,ExaModels,20,18,54,165,5.6062e-5,1.186e-5,4.7025e-5,2.3625e-5,3.6879e-5,6.0806e-5,4.7114e-5,4.7622e-5,0.003432294
LV,rosenrock,2000,ExaModels,2000,1998,5994,17985,6.4584e-5,1.1825e-5,4.7008e-5,2.3565e-5,3.7095e-5,6.1426e-5,4.7767e-5,4.7709e-5,0.004785768
LV,rosenrock,200000,ExaModels,200000,199998,599994,1799985,0.000111362,1.1865e-5,4.7345e-5,2.4149e-5,3.979e-5,6.3961e-5,4.8308e-5,4.8791e-5,0.029880278
LV,wood,20,ExaModels,20,13,39,102,5.2668e-5,3.9615e-5,4.811e-5,3.8696e-5,5.4742e-5,6.2463e-5,6.3005e-5,6.4446e-5,0.003576906
LV,wood,2000,ExaModels,2000,1993,5979,12972,6.6037e-5,3.771e-5,4.8001e-5,3.6921e-5,5.4352e-5,6.2508e-5,6.3019e-5,6.3475e-5,0.00514091
LV,wood,200000,ExaModels,200000,199993,599979,1299972,9.5487e-5,4.0445e-5,5.1166e-5,3.9052e-5,5.7684e-5,6.833e-5,6.8048e-5,6.8608e-5,0.029667726
LV,chained_powell,20,ExaModels,20,2,4,79,5.3448e-5,2.5298e-5,4.979e-5,3.8924e-5,5.4898e-5,6.2952e-5,6.6395e-5,6.3462e-5,0.003923518
LV,chained_powell,2000,ExaModels,2000,2,4,7999,7.0193e-5,2.4187e-5,4.8224e-5,3.6958e-5,5.3535e-5,6.214e-5,6.7449e-5,6.5379e-5,0.00436658
LV,chained_powell,200000,ExaModels,200000,2,4,799999,0.000104792,2.4609e-5,4.9444e-5,3.9859e-5,5.7241e-5,6.2538e-5,6.2329e-5,6.3095e-5,0.008362695
LV,cragg_levy,20,ExaModels,20,18,54,135,5.7488e-5,1.2574e-5,4.7655e-5,2.5213e-5,4.0228e-5,6.5406e-5,5.1255e-5,4.7964e-5,0.003609017
LV,cragg_levy,2000,ExaModels,2000,1998,5994,14985,0.000122531,1.2005e-5,4.8167e-5,2.4218e-5,4.0249e-5,6.3838e-5,5.277e-5,5.1522e-5,0.004929068
LV,cragg_levy,200000,ExaModels,200000,199998,599994,1499985,0.000157275,1.2008e-5,5.0877e-5,2.5838e-5,4.0917e-5,6.3756e-5,5.2466e-5,5.204e-5,0.029794536
LV,broyden_tridiagonal,20,ExaModels,20,16,80,194,7.1477e-5,1.187e-5,6.1584e-5,2.4547e-5,5.5116e-5,7.5989e-5,4.7659e-5,4.8023e-5,0.003656458
LV,broyden_tridiagonal,2000,ExaModels,2000,1996,9980,21974,8.2964e-5,1.2189e-5,6.5686e-5,2.452e-5,5.6676e-5,7.7036e-5,4.9346e-5,4.8464e-5,0.005268762
LV,broyden_tridiagonal,200000,ExaModels,200000,199996,999980,2199974,0.000114691,1.2641e-5,6.3575e-5,2.5687e-5,5.5927e-5,7.8952e-5,5.1432e-5,5.1971e-5,0.039975945
LV,broyden_banded,20,ExaModels,40,29,167,258,5.5588e-5,0.000103075,4.8395e-5,0.000115315,0.000136421,6.1649e-5,0.000143766,0.0001445,0.004499617
LV,broyden_banded,2000,ExaModels,4000,2999,18977,27978,6.9941e-5,0.000104727,5.185e-5,0.000123326,0.000144211,6.3585e-5,0.00015018,0.000149704,0.006412699
LV,broyden_banded,200000,ExaModels,400000,299999,1899977,2799978,0.000103562,9.8535e-5,4.8425e-5,0.000120793,0.000147013,6.761e-5,0.000157712,0.000155813,0.054690583
LV,trigo_tridiagonal,20,ExaModels,20,4,14,69,5.6006e-5,5.9399e-5,4.7937e-5,6.6579e-5,8.5661e-5,6.4638e-5,9.023e-5,9.6109e-5,0.004000606
LV,trigo_tridiagonal,2000,ExaModels,2000,4,14,6009,7.0035e-5,4.9818e-5,4.8939e-5,6.9581e-5,9.6252e-5,7.4171e-5,0.00011296,9.4429e-5,0.004860845
LV,trigo_tridiagonal,200000,ExaModels,200000,4,14,600009,0.000115288,4.9932e-5,4.9774e-5,6.7508e-5,8.5661e-5,6.6285e-5,9.5941e-5,9.4567e-5,0.008791764
LV,augmented_lagrangian,20,ExaModels,20,18,54,106,6.3282e-5,1.2326e-5,5.0174e-5,2.472e-5,3.9799e-5,6.5407e-5,4.9932e-5,5.221e-5,0.003758502
LV,augmented_lagrangian,2000,ExaModels,2000,1998,5994,10798,7.4204e-5,1.2441e-5,4.9805e-5,2.484e-5,3.9777e-5,6.5694e-5,5.0473e-5,5.1176e-5,0.004982594
LV,augmented_lagrangian,200000,ExaModels,200000,199998,599994,1079998,8.176e-5,1.3063e-5,4.9953e-5,2.4851e-5,4.0289e-5,6.5598e-5,5.0126e-5,5.1108e-5,0.027777568
LV,modified_brown,20,ExaModels,20,6,30,61,5.3575e-5,9.8592e-5,5.1758e-5,0.0001027,0.000129069,6.4522e-5,0.000135009,0.000135372,0.004242214
LV,modified_brown,2000,ExaModels,2000,6,30,3031,7.1657e-5,8.8469e-5,4.9441e-5,0.000111795,0.000132988,6.5871e-5,0.000146741,0.000149898,0.005177159
LV,modified_brown,200000,ExaModels,200000,6,30,300031,0.000107475,8.6335e-5,4.8994e-5,0.000104369,0.000128354,6.4815e-5,0.000135467,0.0001355,0.00756782
LV,generalized_brown,20,ExaModels,20,18,54,58,6.2749e-5,1.3112e-5,5.3807e-5,2.6843e-5,3.7813e-5,6.4129e-5,5.0297e-5,5.0732e-5,0.00397891
LV,generalized_brown,2000,ExaModels,2000,1998,5994,5998,7.4463e-5,1.2141e-5,4.9709e-5,2.4733e-5,3.8395e-5,6.4741e-5,5.4547e-5,5.1228e-5,0.005343994
LV,generalized_brown,200000,ExaModels,200000,199998,599994,599998,0.000106551,1.2212e-5,5.033e-5,2.6925e-5,3.8884e-5,6.4269e-5,5.0332e-5,5.0394e-5,0.026551572
LV,chained_hs46,20,ExaModels,20,11,33,79,6.2477e-5,2.5275e-5,4.8189e-5,3.7505e-5,6.1308e-5,6.4824e-5,6.3891e-5,6.5041e-5,0.00390824
LV,chained_hs46,2000,ExaModels,2000,1331,3993,9319,7.0642e-5,2.5094e-5,4.8798e-5,3.7635e-5,5.5609e-5,6.5413e-5,6.4962e-5,6.5025e-5,0.005288409
LV,chained_hs46,200000,ExaModels,200000,133331,399993,933319,0.000113354,2.8166e-5,5.3355e-5,4.0494e-5,6.0296e-5,6.6427e-5,6.5762e-5,6.6582e-5,0.023521204
LV,chained_hs47,20,ExaModels,20,11,30,57,6.0455e-5,4.2357e-5,5.3734e-5,6.3976e-5,7.5512e-5,6.3261e-5,8.0219e-5,8.1521e-5,0.004278134
LV,chained_hs47,2000,ExaModels,2000,1496,3990,7482,6.7939e-5,3.9099e-5,4.9576e-5,5.3955e-5,7.0035e-5,6.3548e-5,8.0921e-5,8.1612e-5,0.005542803
LV,chained_hs47,200000,ExaModels,200000,149996,399990,749982,0.00010101,3.9534e-5,5.0982e-5,5.7818e-5,7.1061e-5,6.5373e-5,8.1287e-5,8.1424e-5,0.023042417
LV,chained_hs48,20,ExaModels,20,12,48,54,5.4624e-5,2.4797e-5,4.8464e-5,3.8919e-5,6.002e-5,6.7384e-5,6.5992e-5,6.6218e-5,0.003827277
LV,chained_hs48,2000,ExaModels,2000,1332,5328,5994,7.0545e-5,2.5218e-5,5.1497e-5,4.1389e-5,6.0555e-5,6.8367e-5,6.8801e-5,6.8186e-5,0.00517673
LV,chained_hs48,200000,ExaModels,200000,133332,533328,599994,0.000105718,2.4905e-5,4.8961e-5,3.9223e-5,5.935e-5,6.8723e-5,6.7106e-5,6.7236e-5,0.020356096
LV,chained_hs49,20,ExaModels,20,12,36,48,5.4924e-5,2.4854e-5,5.0684e-5,3.8611e-5,5.545e-5,6.4661e-5,6.594e-5,6.6583e-5,0.003933247
LV,chained_hs49,2000,ExaModels,2000,1332,3996,5328,7.0242e-5,2.5008e-5,4.9963e-5,3.8505e-5,5.6697e-5,6.5828e-5,6.7863e-5,6.7359e-5,0.005198913
LV,chained_hs49,200000,ExaModels,200000,133332,399996,533328,0.000105686,2.4961e-5,4.8748e-5,3.851e-5,5.7511e-5,6.6298e-5,6.7292e-5,6.7652e-5,0.020334729
LV,chained_hs50,20,ExaModels,20,11,33,51,5.4196e-5,3.7029e-5,4.9485e-5,5.2075e-5,6.7762e-5,6.3964e-5,8.1337e-5,8.1558e-5,0.004005606
LV,chained_hs50,2000,ExaModels,2000,1496,4488,6486,6.7746e-5,3.6851e-5,4.9434e-5,5.2054e-5,6.7443e-5,6.4356e-5,8.2075e-5,8.2581e-5,0.005318013
LV,chained_hs50,200000,ExaModels,200000,149996,449988,649986,7.4009e-5,3.7409e-5,4.9645e-5,5.3636e-5,7.1888e-5,7.0039e-5,8.1416e-5,8.2682e-5,0.021462348
LV,chained_hs51,20,ExaModels,20,11,26,39,5.3734e-5,4.0716e-5,4.9752e-5,6.143e-5,8.7074e-5,6.5702e-5,9.2051e-5,9.1574e-5,0.004088655
LV,chained_hs51,2000,ExaModels,2000,1496,3491,4989,6.7452e-5,4.0678e-5,4.9875e-5,6.2866e-5,8.6835e-5,6.6262e-5,9.23e-5,9.191e-5,0.005351959
LV,chained_hs51,200000,ExaModels,200000,149996,349991,499989,0.000107728,4.1552e-5,5.0298e-5,6.3028e-5,8.7555e-5,6.6554e-5,9.3108e-5,9.2477e-5,0.021583874
LV,chained_hs52,20,ExaModels,20,11,26,39,5.413e-5,4.2283e-5,5.0122e-5,6.5039e-5,9.4393e-5,7.0331e-5,9.2521e-5,9.2797e-5,0.004200911
LV,chained_hs52,2000,ExaModels,2000,1496,3491,4989,7.1005e-5,4.1675e-5,4.9944e-5,6.5017e-5,9.4382e-5,7.346e-5,9.5244e-5,9.3357e-5,0.005492439
LV,chained_hs52,200000,ExaModels,200000,149996,349991,499989,0.000108263,5.1749e-5,5.7253e-5,7.1944e-5,0.00010284,7.0166e-5,9.2806e-5,9.252e-5,0.022064966
LV,chained_hs53,20,ExaModels,20,11,26,39,5.4276e-5,4.1822e-5,4.967e-5,6.4984e-5,8.67e-5,6.5751e-5,9.357e-5,9.3361e-5,0.004258953
LV,chained_hs53,2000,ExaModels,2000,1496,3491,4989,6.9292e-5,4.1838e-5,5.0059e-5,6.5083e-5,8.6381e-5,6.6512e-5,9.4639e-5,9.3654e-5,0.005546575
LV,chained_hs53,200000,ExaModels,200000,149996,349991,499989,0.000112336,4.8575e-5,5.7586e-5,7.3641e-5,9.804e-5,6.7875e-5,9.4186e-5,9.3548e-5,0.022562895
COPS,bearing,"(5, 5)",ExaModels,49,28,28,360,0.000169956,0.000108672,0.000112498,7.2074e-5,0.000144145,0.000110359,0.000103909,0.000105443,0.004848393
COPS,bearing,"(35, 35)",ExaModels,1369,148,148,12960,0.00018134,8.6873e-5,0.000112892,7.2364e-5,0.000160393,0.000123258,0.000118483,0.000120243,0.00617568
COPS,bearing,"(320, 320)",ExaModels,103684,1288,1288,1030410,0.000185915,9.4346e-5,0.00012398,8.3225e-5,0.000160316,0.000125177,0.000105596,0.000105622,0.014780326
COPS,camshape,20,ExaModels,20,43,100,115,7.0371e-5,0.000302665,7.0538e-5,0.000396121,0.000342565,6.8004e-5,0.000436646,0.000436367,0.005391657
COPS,camshape,2000,ExaModels,2000,4003,10000,11995,0.000134365,0.000291769,6.4351e-5,0.000399925,0.000343571,6.8505e-5,0.000438055,0.000437954,0.007833723
COPS,camshape,170000,ExaModels,170000,340003,850000,1019995,0.00010657,0.000291766,6.4625e-5,0.000400596,0.000343617,6.8702e-5,0.000460486,0.000457833,0.042517444
COPS,catmix,3,ExaModels,71,62,266,144,7.0063e-5,9.3485e-5,7.0816e-5,0.000109849,0.000142525,7.5334e-5,0.000135202,0.000141755,0.006085093
COPS,catmix,200,ExaModels,4602,4002,17602,10191,0.000120585,9.2753e-5,6.1837e-5,0.000109615,0.000147824,7.9163e-5,0.000135676,0.000135444,0.007286661
COPS,catmix,20000,ExaModels,460002,400002,1760002,1019991,0.000103583,9.7094e-5,6.169e-5,0.000109095,0.000147654,7.963e-5,0.000149276,0.000147729,0.05833911
COPS,chain,50,ExaModels,48,38,159,88,6.3495e-5,0.000100852,4.7702e-5,0.00011693,0.000132043,6.1306e-5,0.000164414,0.000163502,0.004785779
COPS,chain,5000,ExaModels,5000,3752,17491,9992,6.1911e-5,0.000116,5.542e-5,0.000134662,0.000151114,7.1381e-5,0.00016506,0.00016425,0.006783389
COPS,chain,500000,ExaModels,500000,375002,1749991,999992,6.1192e-5,0.000116307,5.5376e-5,0.000140324,0.000150477,6.5729e-5,0.00016763,0.00014693,0.049951514
COPS,channel,5,ExaModels,200,200,1521,120,6.1319e-5,0.000119666,1.3145e-5,0.000140455,0.000139613,6.1034e-5,0.000148473,0.000150219,0.005432942
COPS,channel,400,ExaModels,16000,16000,123181,9600,5.6408e-5,0.000103874,1.1298e-5,0.000128427,0.000139318,6.165e-5,0.000147443,0.000149004,0.008747953
COPS,channel,42000,ExaModels,1680000,1680000,12935981,1008000,5.5487e-5,0.000105068,1.1341e-5,0.000123873,0.000140618,6.2254e-5,0.000160119,0.000152735,0.32625778
COPS,dirichlet,5,ExaModels,10564,8331,62619,71172,6.2047e-5,0.000155113,4.7817e-5,0.000157251,0.000154239,6.229e-5,0.000176526,0.000165668,0.016980149
COPS,dirichlet,20,ExaModels,33199,24261,197154,227097,5.4348e-5,0.000134488,5.5677e-5,0.000155406,0.000174585,7.1504e-5,0.000189207,0.000187373,0.034281057
COPS,dirichlet,100,ExaModels,153919,109221,914674,1058697,6.1383e-5,0.000152365,5.54e-5,0.000155913,0.000173864,7.1446e-5,0.000166618,0.000164737,0.135486048
