suite,problem,size,ams,nvar,ncon,nnzj,nnzh,tobj,tcon,tgrad,tjac,thess,thprod,tjprod,tjtprod,tcreate
LV,rosenrock,20,ExaModels,20,18,54,165,3.14e-7,8.05e-7,6.93e-7,1.241e-6,2.503e-6,1.433e-6,1.67e-6,1.617e-6,2.8967e-5
LV,rosenrock,2000,ExaModels,2000,1998,5994,17985,7.336e-6,3.7285e-5,3.3534e-5,7.012e-5,0.000166435,8.6957e-5,9.9343e-5,9.9482e-5,0.002573288
LV,rosenrock,200000,ExaModels,200000,199998,599994,1799985,0.000331602,0.000670087,0.001171123,0.002505492,0.007596929,0.005902325,0.003372273,0.003496312,0.412650773
LV,wood,20,ExaModels,20,13,39,102,5.42e-7,9.11e-7,7.36e-7,7.89e-7,1.526e-6,1.379e-6,1.206e-6,1.227e-6,3.0792e-5
LV,wood,2000,ExaModels,2000,1993,5979,12972,2.1438e-5,3.1316e-5,3.0758e-5,3.3699e-5,6.9927e-5,7.6942e-5,5.4121e-5,5.4199e-5,0.002441554
LV,wood,200000,ExaModels,200000,199993,599979,1299972,0.000459842,0.000209604,0.00158672,0.001333301,0.003377365,0.004856126,0.002113836,0.001986089,0.331848972
LV,chained_powell,20,ExaModels,20,2,4,79,4.62e-7,6.64e-7,8.06e-7,7.62e-7,1.664e-6,1.694e-6,1.131e-6,1.127e-6,2.5657e-5
LV,chained_powell,2000,ExaModels,2000,2,4,7999,1.4855e-5,7.14e-7,3.6814e-5,7.98e-7,3.594e-5,7.9487e-5,1.115e-6,1.467e-6,0.000944425
LV,chained_powell,200000,ExaModels,200000,2,4,799999,0.000359293,6.71e-7,0.001866842,7.84e-7,0.002514851,0.003757995,1.073e-6,5.1763e-5,0.130926824
LV,cragg_levy,20,ExaModels,20,18,54,135,7.1e-7,3.62e-7,1.214e-6,4.83e-7,2.021e-6,2.484e-6,9.27e-7,9.39e-7,2.7093e-5
LV,cragg_levy,2000,ExaModels,2000,1998,5994,14985,4.5458e-5,9.242e-6,7.804e-5,2.1933e-5,0.000161952,0.000183995,4.0301e-5,4.0098e-5,0.002211039
LV,cragg_levy,200000,ExaModels,200000,199998,599994,1499985,0.000751033,4.9102e-5,0.002047846,0.000884654,0.005757156,0.007413995,0.001931038,0.001873757,0.319880617
LV,broyden_tridiagonal,20,ExaModels,20,16,80,194,8.03e-7,3.73e-7,1.262e-6,5.12e-7,2.117e-6,2.536e-6,9.49e-7,9.41e-7,3.9161e-5
LV,broyden_tridiagonal,2000,ExaModels,2000,1996,9980,21974,2.5205e-5,9.595e-6,5.1402e-5,2.7595e-5,0.000117406,0.000154305,4.9844e-5,4.8878e-5,0.003427308
LV,broyden_tridiagonal,200000,ExaModels,200000,199996,999980,2199974,0.000480442,6.9559e-5,0.002230991,0.001453313,0.006695086,0.009144632,0.002959017,0.002568211,0.564189152
LV,broyden_banded,20,ExaModels,40,29,167,258,5.26e-7,3.823e-6,1.006e-6,4.635e-6,6.34e-6,2.366e-6,5.342e-6,5.119e-6,0.000109465
LV,broyden_banded,2000,ExaModels,4000,2999,18977,27978,2.4e-5,2.8609e-5,4.9436e-5,5.8647e-5,0.000161862,0.000145934,8.2997e-5,9.2031e-5,0.004820452
