suite,problem,size,ams,nvar,ncon,nnzj,nnzh,tobj,tcon,tgrad,tjac,thess,thprod,tjprod,tjtprod,tcreate
LV,rosenrock,20,ExaModels,20,18,54,165,1.9e-8,5.35e-7,1.2e-7,1.032e-6,1.926e-6,2.53e-7,1.027e-6,1.075e-6,1.2912e-5
LV,rosenrock,2000,ExaModels,2000,1998,5994,17985,2.0e-8,5.2757e-5,9.486e-6,0.000108849,0.000204424,2.3584e-5,0.000112435,0.00011353,0.000128267
LV,rosenrock,200000,ExaModels,200000,199998,599994,1799985,1.9e-8,0.005333946,0.000988689,0.011238408,0.022113614,0.00232863,0.011065744,0.011416068,0.018473657
LV,wood,20,ExaModels,20,13,39,102,7.8e-8,1.03e-7,1.54e-7,1.63e-7,6.08e-7,3.51e-7,2.46e-7,2.61e-7,9.893e-6
LV,wood,2000,ExaModels,2000,1993,5979,12972,4.652e-6,6.355e-6,1.4069e-5,1.9666e-5,6.9832e-5,3.5147e-5,2.6656e-5,3.0459e-5,0.000124348
LV,wood,200000,ExaModels,200000,199993,599979,1299972,0.000459248,0.000610714,0.001474586,0.002080707,0.007465338,0.003187544,0.002736329,0.003108083,0.018479627
LV,chained_powell,20,ExaModels,20,2,4,79,1.73e-7,1.01e-7,2.19e-7,1.08e-7,5.54e-7,4.58e-7,1.28e-7,1.29e-7,1.5662e-5
LV,chained_powell,2000,ExaModels,2000,2,4,7999,1.4863e-5,1.01e-7,2.049e-5,9.9e-8,4.5677e-5,4.5677e-5,1.28e-7,2.14e-7,2.9536e-5
LV,chained_powell,200000,ExaModels,200000,2,4,799999,0.001441522,1.02e-7,0.002042866,9.9e-8,0.00474713,0.004777778,1.28e-7,5.0402e-5,0.00174009
LV,cragg_levy,20,ExaModels,20,18,54,135,4.39e-7,1.11e-7,5.86e-7,2.1e-7,1.431e-6,1.179e-6,2.51e-7,2.79e-7,1.1797e-5
LV,cragg_levy,2000,ExaModels,2000,1998,5994,14985,4.528e-5,5.425e-6,6.3572e-5,2.0435e-5,0.000161901,0.00012933,2.2129e-5,2.3661e-5,0.000126813
LV,cragg_levy,200000,ExaModels,200000,199998,599994,1499985,0.004421657,0.000522998,0.006583221,0.002200833,0.016992603,0.013468976,0.002201761,0.002471665,0.018294624
LV,broyden_tridiagonal,20,ExaModels,20,16,80,194,2.73e-7,1.44e-7,4.27e-7,2.5e-7,1.215e-6,1.058e-6,3.01e-7,3.23e-7,1.7284e-5
LV,broyden_tridiagonal,2000,ExaModels,2000,1996,9980,21974,2.1561e-5,9.138e-6,3.7435e-5,2.7331e-5,0.000127202,0.000105039,3.0485e-5,3.1439e-5,0.00014136
