suite,problem,size,ams,nvar,ncon,nnzj,nnzh,tobj,tcon,tgrad,tjac,thess,tcreate
OPF-polar,pglib_opf_case3_lmbd.m,pglib_opf_case3_lmbd.m,JuMP,24,28,97,134,6.5e-8,4.25e-7,9.03e-7,1.737e-6,9.654e-6,0.001274613
OPF-polar,pglib_opf_case5_pjm.m,pglib_opf_case5_pjm.m,JuMP,44,53,191,264,6.8e-8,7.17e-7,9.28e-7,3.136e-6,1.903e-5,0.002498771
OPF-polar,pglib_opf_case14_ieee.m,pglib_opf_case14_ieee.m,JuMP,118,169,612,881,6.5e-8,2.292e-6,1.191e-6,1.0582e-5,6.4396e-5,0.007100773
OPF-polar,pglib_opf_case24_ieee_rts.m,pglib_opf_case24_ieee_rts.m,JuMP,266,315,1208,1695,1.37e-7,4.341e-6,2.577e-6,1.9276e-5,0.000165996,0.014703326
OPF-polar,pglib_opf_case30_ieee.m,pglib_opf_case30_ieee.m,JuMP,236,348,1245,1806,6.5e-8,4.718e-6,1.539e-6,2.1972e-5,0.000170656,0.016495455
OPF-polar,pglib_opf_case30_as.m,pglib_opf_case30_as.m,JuMP,236,348,1245,1812,7.3e-8,4.366e-6,1.66e-6,2.197e-5,0.000174516,0.014321009
OPF-polar,pglib_opf_case39_epri.m,pglib_opf_case39_epri.m,JuMP,282,401,1401,2024,6.6e-8,4.493e-6,2.101e-6,2.2912e-5,0.000198686,0.016033966
OPF-polar,pglib_opf_case57_ieee.m,pglib_opf_case57_ieee.m,JuMP,448,675,2418,3523,7.5e-8,8.973e-6,2.914e-6,5.919e-5,0.000396175,0.034029936
OPF-polar,pglib_opf_case60_c.m,pglib_opf_case60_c.m,JuMP,518,737,2699,3884,8.5e-8,1.0971e-5,4.07e-6,7.0388e-5,0.000403739,0.035977768
OPF-polar,pglib_opf_case73_ieee_rts.m,pglib_opf_case73_ieee_rts.m,JuMP,824,987,3802,5349,3.21e-7,1.3987e-5,7.876e-6,0.000103666,0.000530361,0.045946647
OPF-polar,pglib_opf_case89_pegase.m,pglib_opf_case89_pegase.m,JuMP,1042,1649,6395,9310,8.3e-8,3.1709e-5,5.803e-6,0.000235031,0.001077923,0.084098943
OPF-polar,pglib_opf_case118_ieee.m,pglib_opf_case118_ieee.m,JuMP,1088,1539,5703,8198,8.3e-8,2.3468e-5,8.38e-6,0.000204758,0.001236622,0.080643957
