suite,problem,size,ams,nvar,ncon,nnzj,nnzh,tobj,tcon,tgrad,tjac,thess,thprod,tjprod,tjtprod,tcreate
LV,rosenrock,20,ExaModels,20,18,54,165,0.001886807,0.000546996,0.002544641,0.001130694,0.001565105,0.002648172,0.002726105,0.001566625,0.152628545
LV,rosenrock,2000,ExaModels,2000,1998,5994,17985,0.003079963,0.000455877,0.002052795,0.000981317,0.000821333,0.003831661,0.009234567,0.002368838,0.295540992
LV,rosenrock,200000,ExaModels,200000,199998,599994,1799985,0.002996935,0.000674993,0.00191953,0.001426832,0.001902794,0.002873153,0.003290808,0.002476729,0.580850817
LV,chained_powell,20,ExaModels,20,2,4,79,0.001889582,0.001105497,0.002596258,0.001825386,0.002567288,0.003103548,0.003247942,0.002302239,0.202973271
LV,chained_powell,2000,ExaModels,2000,2,4,7999,0.001944672,0.000814704,0.002845364,0.00183715,0.001990305,0.003737457,0.003001123,0.002948814,0.274384943
LV,chained_powell,200000,ExaModels,200000,2,4,799999,0.002999251,0.000780298,0.002632551,0.005056842,0.002362879,0.003759489,0.002911201,0.003209457,0.391927282
LV,cragg_levy,20,ExaModels,20,18,54,135,0.001861056,0.000447071,0.002420288,0.003631019,0.001812948,0.003433006,0.002767171,0.002290352,0.222943348
LV,cragg_levy,2000,ExaModels,2000,1998,5994,14985,0.002175736,0.000415433,0.002667878,0.001755327,0.001762631,0.003724997,0.003278322,0.002556393,0.460814141
LV,cragg_levy,200000,ExaModels,200000,199998,599994,1499985,0.003531745,0.000425303,0.003519759,0.001247856,0.001935281,0.003364916,0.002531229,0.002998827,0.392701059
LV,trigo_tridiagonal,20,ExaModels,20,4,14,69,0.002014572,0.001765542,0.002720857,0.003198089,0.003235796,0.003649585,0.0041577,0.004523505,0.352672646
LV,trigo_tridiagonal,2000,ExaModels,2000,4,14,6009,0.003002494,0.001644188,0.00354238,0.003217872,0.003758272,0.003813494,0.004924242,0.004849395,0.350014637
LV,trigo_tridiagonal,200000,ExaModels,200000,4,14,600009,0.002874074,0.002291049,0.002599192,0.003795666,0.003469446,0.003439563,0.004320663,0.004266841,0.385775666
LV,generalized_brown,20,ExaModels,20,18,54,58,0.002151548,0.000532033,0.001642116,0.001607357,0.002093216,0.003185797,0.013276927,0.002092054,0.292953509
LV,generalized_brown,2000,ExaModels,2000,1998,5994,5998,0.002294363,0.000489251,0.002525903,0.001561012,0.001752395,0.003403497,0.002909821,0.002265641,0.37974735
LV,generalized_brown,200000,ExaModels,200000,199998,599994,599998,0.003072618,0.00037513,0.002904325,0.00191801,0.001609407,0.0037949,0.002617613,0.002569423,0.587688975
LV,chained_hs46,20,ExaModels,20,11,33,79,0.002006432,0.000788208,0.002878159,0.008526588,0.002130489,0.003416311,0.003169267,0.003187496,0.213853474
LV,chained_hs46,2000,ExaModels,2000,1331,3993,9319,0.002433584,0.000843297,0.002732955,0.001865276,0.002291052,0.003493555,0.00301772,0.003526226,0.395344216
LV,chained_hs46,200000,ExaModels,200000,133331,399993,933319,0.003439195,0.000849153,0.003065258,0.002012898,0.002960877,0.014269665,0.002882848,0.003568935,0.5539366
LV,chained_hs47,20,ExaModels,20,11,30,57,0.002026281,0.001270962,0.002447687,0.003650965,0.003363093,0.003581613,0.003991113,0.00361788,0.199415031
LV,chained_hs47,2000,ExaModels,2000,1496,3990,7482,0.002375584,0.001646656,0.003286478,0.009209552,0.002720502,0.003480893,0.00373492,0.004256548,0.484081814
LV,chained_hs47,200000,ExaModels,200000,149996,399990,749982,0.003215012,0.001246169,0.003351692,0.002437147,0.003289279,0.006368192,0.003673019,0.004019793,0.650412502
LV,chained_hs48,20,ExaModels,20,12,48,54,0.002110337,0.000908042,0.002732277,0.001973676,0.002657404,0.003751341,0.003116441,0.002610166,0.239058157
LV,chained_hs48,2000,ExaModels,2000,1332,5328,5994,0.00202145,0.003537618,0.002650062,0.002313007,0.002600953,0.003407789,0.004959909,0.00284698,0.420591239
LV,chained_hs48,200000,ExaModels,200000,133332,533328,599994,0.002901981,0.000934842,0.003053431,0.006846981,0.002398525,0.003574683,0.002694531,0.003813848,0.558143593
LV,chained_hs49,20,ExaModels,20,12,36,48,0.001964816,0.000862818,0.002612808,0.00187246,0.002271144,0.002626826,0.003506632,0.002537564,0.253544001
LV,chained_hs49,2000,ExaModels,2000,1332,3996,5328,0.00199618,0.000959285,0.003082602,0.006140266,0.002388943,0.003929443,0.002998116,0.003736729,0.458405222
LV,chained_hs49,200000,ExaModels,200000,133332,399996,533328,0.003573949,0.000916683,0.002872833,0.009516182,0.002386997,0.003658754,0.00276851,0.003580503,0.655240085
LV,chained_hs50,20,ExaModels,20,11,33,51,0.002036213,0.001393209,0.002811021,0.011732708,0.002896272,0.003108823,0.020116917,0.003969063,0.137313268
LV,chained_hs50,2000,ExaModels,2000,1496,4488,6486,0.00215785,0.00824674,0.002540425,0.002842411,0.002818698,0.00336854,0.008865303,0.003781454,0.447799687
LV,chained_hs50,200000,ExaModels,200000,149996,449988,649986,0.003050837,0.001858593,0.003195339,0.011916314,0.002866401,0.003607969,0.004229715,0.004124891,0.635468871
LV,chained_hs51,20,ExaModels,20,11,26,39,0.00233738,0.001419216,0.002515763,0.002776468,0.002932426,0.003668749,0.004616108,0.003915656,0.263179424
