suite,problem,size,ams,nvar,ncon,nnzj,nnzh,tobj,tcon,tgrad,tjac,thess,thprod,tjprod,tjtprod,tcreate
LV,rosenrock,20,ExaModels,20,18,54,165,0.00028475,3.3458e-5,0.000116125,6.4292e-5,0.0001085,0.000166542,0.000126792,0.000121375,0.017202583
LV,rosenrock,2000,ExaModels,2000,1998,5994,17985,0.000224875,3.3416e-5,0.000120292,6.3583e-5,0.000108334,0.000166458,0.000131167,0.000135167,0.016087
LV,rosenrock,200000,ExaModels,200000,199998,599994,1799985,0.00032675,3.3708e-5,0.000120208,6.8958e-5,0.000115833,0.000198667,0.000142625,0.000143375,0.2007955
LV,chained_powell,20,ExaModels,20,2,4,79,0.000228292,6.9e-5,0.000123,0.000107834,0.000165791,0.000166084,0.0001825,0.000177709,0.010070458
LV,chained_powell,2000,ExaModels,2000,2,4,7999,0.000285542,6.85e-5,0.000117417,0.000111334,0.000164875,0.000164458,0.000170416,0.000172667,0.010469
LV,chained_powell,200000,ExaModels,200000,2,4,799999,0.0003305,7.0625e-5,0.000115459,0.000105541,0.000163792,0.000215083,0.000170417,0.000170167,0.07868775
LV,cragg_levy,20,ExaModels,20,18,54,135,0.000279292,3.35e-5,0.000120625,6.375e-5,0.000122208,0.000171792,0.000129333,0.000132167,0.008975584
LV,cragg_levy,2000,ExaModels,2000,1998,5994,14985,0.000283208,3.4125e-5,0.000124875,6.5e-5,0.00011175,0.000166625,0.000134583,0.000129583,0.012765083
LV,cragg_levy,200000,ExaModels,200000,199998,599994,1499985,0.000344583,3.3458e-5,0.000124125,6.3584e-5,0.000126708,0.000201375,0.000131792,0.000133708,0.171267583
LV,trigo_tridiagonal,20,ExaModels,20,4,14,69,0.000266042,0.000138541,0.0001175,0.000197917,0.000259375,0.00016475,0.000269583,0.000262916,0.011692667
LV,trigo_tridiagonal,2000,ExaModels,2000,4,14,6009,0.000317709,0.00015,0.000120916,0.000208833,0.000259125,0.000176333,0.000266875,0.000275917,0.012396625
LV,trigo_tridiagonal,200000,ExaModels,200000,4,14,600009,0.000379208,0.000152208,0.000125667,0.000199042,0.000279458,0.000207459,0.000268375,0.000265209,0.093847417
LV,generalized_brown,20,ExaModels,20,18,54,58,0.000314041,3.4542e-5,0.00013275,6.675e-5,0.000112625,0.000171292,0.000131375,0.000135458,0.006662209
LV,generalized_brown,2000,ExaModels,2000,1998,5994,5998,0.000287417,3.4458e-5,0.000125041,6.5541e-5,0.000117292,0.000173,0.000126917,0.000128667,0.010987667
LV,generalized_brown,200000,ExaModels,200000,199998,599994,599998,0.00038625,3.4667e-5,0.00012475,6.375e-5,0.000111291,0.000200042,0.000131708,0.000132416,0.108910959
LV,chained_hs46,20,ExaModels,20,11,33,79,0.000309167,7.4333e-5,0.0001235,0.000107583,0.000155584,0.0001645,0.000172917,0.000175625,0.010855125
LV,chained_hs46,2000,ExaModels,2000,1331,3993,9319,0.000282167,7.0916e-5,0.000118875,0.000113083,0.000165959,0.0001665,0.000179708,0.000178167,0.013844875
LV,chained_hs46,200000,ExaModels,200000,133331,399993,933319,0.000384417,7.5125e-5,0.000132958,0.000128042,0.000178792,0.00023075,0.000203417,0.000182542,0.160801583
LV,chained_hs47,20,ExaModels,20,11,30,57,0.00032525,0.000106958,0.000123042,0.000160666,0.000346042,0.000171916,0.000320417,0.000230042,0.009490792
LV,chained_hs47,2000,ExaModels,2000,1496,3990,7482,0.000246292,0.000115958,0.000117416,0.000213875,0.00026625,0.000176625,0.000228458,0.000250208,0.015337709
LV,chained_hs47,200000,ExaModels,200000,149996,399990,749982,0.000387333,0.000111625,0.000124583,0.000156333,0.000206833,0.000218542,0.000306792,0.000224666,0.127847208
LV,chained_hs48,20,ExaModels,20,12,48,54,0.000326667,7.0042e-5,0.000125583,0.000306125,0.0001845,0.000195708,0.000217083,0.000194459,0.011206791
LV,chained_hs48,2000,ExaModels,2000,1332,5328,5994,0.000304583,7.15e-5,0.000124416,0.000106,0.000171125,0.000169625,0.000172541,0.000184458,0.014662959
LV,chained_hs48,200000,ExaModels,200000,133332,533328,599994,0.00037575,7.0083e-5,0.000122083,0.000119209,0.000172792,0.000235083,0.000198125,0.000177167,0.153484708
LV,chained_hs49,20,ExaModels,20,12,36,48,0.000296917,7.075e-5,0.000121583,0.000136,0.000166459,0.000188084,0.0001825,0.000200333,0.008301875
LV,chained_hs49,2000,ExaModels,2000,1332,3996,5328,0.000329541,7.1542e-5,0.000121875,0.0001135,0.000166417,0.00017525,0.000180084,0.000236583,0.012276
LV,chained_hs49,200000,ExaModels,200000,133332,399996,533328,0.000393667,7.2959e-5,0.000125792,0.000113375,0.000206542,0.012907792,0.000238125,0.000186042,0.093087583
LV,chained_hs50,20,ExaModels,20,11,33,51,0.000314209,0.000110917,0.000131875,0.001419209,0.000236292,0.000182041,0.000244208,0.000226167,0.010276666
LV,chained_hs50,2000,ExaModels,2000,1496,4488,6486,0.000332792,0.000109542,0.000134459,0.000240958,0.00022625,0.000175208,0.000225417,0.000219208,0.014813875
LV,chained_hs50,200000,ExaModels,200000,149996,449988,649986,0.000380625,0.000121458,0.000145541,0.00230125,0.000260667,0.000228792,0.00026225,0.000222042,0.110217334
LV,chained_hs51,20,ExaModels,20,11,26,39,0.000251459,0.000123208,0.000149041,0.000168041,0.0002375,0.000186667,0.000248708,0.000241791,0.010211292
LV,chained_hs51,2000,ExaModels,2000,1496,3491,4989,0.000328625,0.000130709,0.000141625,0.000189166,0.000238917,0.00018025,0.000253084,0.000233417,0.014929917
LV,chained_hs51,200000,ExaModels,200000,149996,349991,499989,0.000394583,0.00011925,0.000138459,0.000199167,0.000251166,0.000206042,0.000251417,0.000232083,0.091536125
LV,chained_hs52,20,ExaModels,20,11,26,39,0.000384333,0.000151541,0.00014325,0.000195375,0.000269833,0.000220833,0.000246333,0.0002335,0.011404292
LV,chained_hs52,2000,ExaModels,2000,1496,3491,4989,0.000331084,0.000126917,0.000140791,0.000168917,0.000237834,0.00017925,0.0002365,0.001596166,0.01477725
LV,chained_hs52,200000,ExaModels,200000,149996,349991,499989,0.00038825,0.00012675,0.000143709,0.000173333,0.000231208,0.000357,0.000340625,0.000245542,0.0803955
LV,chained_hs53,20,ExaModels,20,11,26,39,0.000326041,0.000107833,0.000117042,0.000162292,0.000242125,0.000168834,0.000215042,0.000246959,0.008135167
LV,chained_hs53,2000,ExaModels,2000,1496,3491,4989,0.000328416,0.000115875,0.000135875,0.000194416,0.00022725,0.000170625,0.000231667,0.000214041,0.013853583
LV,chained_hs53,200000,ExaModels,200000,149996,349991,499989,0.000440167,0.000141458,0.000124542,0.000172667,0.00023575,0.000204458,0.000257292,0.000254,0.080870792
COPS,bearing,"(5, 5)",ExaModels,49,28,28,360,0.000540583,0.000165042,0.000253292,0.000230125,0.000432292,0.00043725,0.00035,0.0002745,0.032998834
COPS,bearing,"(35, 35)",ExaModels,1369,148,148,12960,0.000485167,0.000153625,0.000228792,0.000197292,0.00066525,0.000372791,0.000359416,0.000369708,0.018704333
COPS,bearing,"(320, 320)",ExaModels,103684,1288,1288,1030410,0.000614375,0.000152083,0.000229709,0.00021275,0.000381583,0.000351458,0.000257625,0.000319875,0.172971833
COPS,camshape,20,ExaModels,20,43,100,115,0.000352875,0.000351584,0.000142666,0.000492959,0.0006205,0.000179167,0.000451209,0.000491667,0.0165395
COPS,camshape,2000,ExaModels,2000,4003,10000,11995,0.000333792,0.000314042,0.000124667,0.000387041,0.000438,0.000162917,0.00049175,0.000491,0.024507583
COPS,camshape,170000,ExaModels,170000,340003,850000,1019995,0.000408333,0.000409666,0.00014525,0.000402209,0.000536958,0.000206666,0.0005145,0.000532625,0.23439075
COPS,chain,50,ExaModels,48,38,159,88,0.000375458,0.000351292,0.000135584,0.000419667,0.00054775,0.000165583,0.000553834,0.000488375,0.022385041
COPS,chain,5000,ExaModels,5000,3752,17491,9992,0.000392292,0.0003085,0.000116625,0.000420667,0.000497416,0.000179667,0.000578834,0.0005595,0.029703167
COPS,chain,500000,ExaModels,500000,375002,1749991,999992,0.000335042,0.000308917,0.000161167,0.000495083,0.000528083,0.000310375,0.000510875,0.00048325,0.30230675
COPS,channel,5,ExaModels,200,200,1521,120,0.000320208,0.000348667,2.1542e-5,0.000533,0.000701708,0.000276292,0.000581,0.000443709,0.016229167
COPS,channel,400,ExaModels,16000,16000,123181,9600,0.000379958,0.000436083,2.6083e-5,0.00325775,0.000629458,0.000213,0.000607833,0.000576875,0.031738834
COPS,channel,42000,ExaModels,1680000,1680000,12935981,1008000,0.000327541,0.00033925,2.6e-5,0.000878541,0.00118325,0.0002305,0.001969333,0.00130975,2.747482125
COPS,elec,5,ExaModels,15,5,15,225,0.000461708,0.000584375,0.000201333,7.5875e-5,0.000126417,0.000167875,0.000156292,0.000190125,0.011454875
COPS,elec,50,ExaModels,150,50,150,25875,0.00247325,4.2917e-5,0.001672375,9.45e-5,0.000161,0.000308708,0.000175291,0.000146542,0.015619084
COPS,elec,200,ExaModels,600,200,600,418500,0.000453709,4.1625e-5,0.000139042,7.8625e-5,0.000134125,0.0008565,0.000158375,0.000175,0.050681292
COPS,minsurf,"(5, 5)",ExaModels,49,102,102,504,0.000457125,0.0003325,0.000251625,0.000337166,0.000567959,0.000424333,0.000574834,0.000492625,0.016333792
COPS,minsurf,"(30, 30)",ExaModels,1024,1476,1476,13454,0.000452542,0.000300208,0.000237,0.000403083,0.000534708,0.000307584,0.000430792,0.000497583,0.021926541
COPS,minsurf,"(280, 280)",ExaModels,79524,100816,100816,1105454,0.0005145,0.000327833,0.000327042,0.000401625,0.001683,0.000390042,0.000451958,0.000547083,0.178235125
COPS,polygon,10,ExaModels,10,16,50,140,0.001402917,0.000172875,0.000138917,0.0002475,0.00039225,0.000204875,0.000305083,0.000360583,0.014938292
COPS,polygon,100,ExaModels,100,1276,5000,12740,0.000453,0.000158458,0.000132125,0.000242291,0.000305875,0.000181875,0.00033325,0.000294333,0.021580708
COPS,polygon,800,ExaModels,800,80201,320000,801990,0.0003725,0.000174708,0.000181208,0.000390333,0.000372375,0.000719375,0.000346583,0.001140625,0.110718292
COPS,torsion,"(5, 5)",ExaModels,49,49,49,360,0.000611083,3.8708e-5,0.000366666,8.5e-5,0.000345417,0.000418834,0.0001635,0.000188708,0.011224125
COPS,torsion,"(35, 35)",ExaModels,1369,1369,1369,12960,0.000669,6.075e-5,0.000418625,0.001752709,0.000339,0.00054575,0.000201792,0.000162708,0.019293541
COPS,torsion,"(320, 320)",ExaModels,103684,103684,103684,1030410,0.000653042,3.9333e-5,0.000286834,0.000407084,0.000305417,0.000441833,0.000146167,0.000155542,0.216768042
